"","SC78_9_factor1","SC78_9_factor2","SC78_9_factor3","SC78_9_factor4","SC78_9_factor5","SC78_9_factor6"
"84","Cd52","Aldoa","Vav3","Sorl1","H2-D1","Lmnb1"
"85","Polr2a","Npepps","Pip5k1b","Cyth1","Arpc5","Atp6v1g1"
"86","Ccnd3","Rps27","1700112E06Rik","Csf3r","Atxn10","Arpc3"
"87","Stk17b","Tpd52","Med13l","Neat1","Cotl1","Fbxl5"
"88","Serf2","Rabgef1","Wfdc17","Lyn","Msrb1","Ddx5"
"89","S100a11","Ets2","Rlf","Msrb1","Dstn","Iqgap1"
"90","Rpl19","Cd9","Diaph1","Dusp16","Rps29","Cyba"
"91","Fgl2","Arid5b","Mxd1","Jdp2","Serf2","mt-Co2"
"92","Rplp1","Ankrd33b","Tmem164","Ncf2","Ubb","Rpl37"
"93","Rpl37","Lyst","Zfand3","mt-Co3","Rplp0","Selplg"
"94","Ubc","Plin2","Mctp2","Fcer1g","Fau","Dennd4a"
"95","Cox8a","Rab7","Mtus1","mt-Atp6","Glrx","Sat1"
"96","Gng5","Igf1r","Rbm47","Stx11","Gmfg","Prdx5"
"97","Rpl37a","Ldha","Ddx6","Hif1a","Ncf4","Mmp8"
"98","Calm2","Fam134b","Myo1f","Iqgap1","R3hdm4","Jun"
"99","Rpl34","Elmo1","Numb","Lilrb4a","Vim","Pkm"
"100","Litaf","Fcer1g","Stat3","Fosl2","Rps4x","Pla2g7"
"101","Lsp1","Btg2","Tbc1d14","Ccr1","Pygl","Anxa2"
"102","Rps11","Emilin2","Atp11b","Ptprc","Arpc3","mt-Co3"
"103","Klf6","H2-Q7","Actb","Asprv1","Msra","Vim"
"104","Hdc","Rps29","Samhd1","Coro1a","Actr3","mt-Atp6"
"105","Cyba","Ddx5","Rfwd2","Tpm4","Cdc42","Mcemp1"
"106","Hspa5","Rab8b","Ncf2","Hilpda","AA467197","Ier2"
"107","Rpl8","Cd300lf","Syk","Ptprj","Eif1","Ptprc"
"108","Gadd45b","Ero1l","Il1rap","Cd52","Cfl1","Rps27"
"109","Mxd1","Zfp36l2","Bcl6","Dusp1","Rps20","Gnai2"
"110","Rabac1","Ier5","Luc7l2","Igf1r","Srgn","Trem1"
"111","Rbm3","mt-Co3","Fyb","Ccl6","Cd9","Ube2h"
"112","Wfdc17","Erbb2ip","Ptbp3","Ccnl1","Cebpb","Cdc42"
"113","Igfbp6","Etf1","Hectd1","Actr3","Rps12","Gmfg"
"114","Rbm39","Jun","Arhgap24","Stk17b","Lcp1","Arhgap15"
"115","S100a8","App","Map3k3","Bcl2l1","Slfn4","Rnf149"
"116","Rhoa","Cstb","Tnrc6b","Stfa2","Oaz1","G0s2"
"117","Ptprc","Antxr2","Mirt1","Plek","Rpl37a","Arpc1b"
"118","Hist1h2bc","Rsrp1","Ppp1r12a","Ddx6","Itgam","Cers6"
"119","Pfdn5","Rnf149","Fndc3b","Hp","Anxa11","Ncf2"
"120","Serinc3","Snap23","Fgd4","Lilr4b","Rps10","Gm26825"
"121","Plek","Csf1","Kpna4","Cd53","Mettl9","Mtus1"
"122","Arpc3","Adam17","Mef2a","Rdh12","Rpl7","Fcgr3"
"123","Pfn1","mt-Co1","Hipk1","Notch2","Actn1","Mir142hg"
"124","Rps8","Cd53","Rnf149","Arpc2","Mcemp1","App"
"125","Rap1b","Tpi1","Pam","Lamp2","Cnn2","Osm"
"126","Txn1","Atp2b1","Osbpl9","Rap1b","Pgd","Svil"
"127","Rpl18","Eno1","Pten","Btg2","Clic1","Ier5"
"128","Gabarap","Smox","Itga4","Gm42418","Myl12b","Clic1"
"129","H2-K1","1700112E06Rik","March1","Arhgap15","Rps16","Hspa8"
"130","mt-Co1","Grina","Alcam","Ier3","Ncf1","BC117090"
"131","Rpl13a","Fxyd5","Atp2b1","Ctsd","Cap1","Rps16"
"132","Rpl21","Irf1","Cd33","Rabgef1","Gng5","Nfkbiz"
"133","Itm2b","Gabarap","Notch2","Rps27a","Mrpl33","Ncf4"
"134","Gm5150","Sema4d","Gm26740","Map1lc3b","Ifitm1","Cd300lf"
"135","Rpl10","Picalm","Pnpla7","Clec4e","Ldha","Arpc2"
"136","Coro1a","Lmnb1","Ncor1","Adam8","Dhrs7","Ccr1"
"137","Rps25","Xylt1","Lamp2","Kpna4","Grina","Gabarap"
"138","Alox5ap","Fbxl5","Fcho2","Zyx","Plaur","Itm2b"
"139","Cdk2ap2","Sgms2","Nipbl","Pik3ap1","H3f3b","Rpl41"
"140","Gm2a","Ddx3x","Gnaq","Lcn2","Aldoa","Cd14"
"141","Atp6v0e","Rbm39","Pla2g7","Rbm39","Rpl19","Gpx1"
"142","Rps5","2810474O19Rik","Braf","Suco","Cd24a","Sorl1"
"143","Cfl1","Bcl2l11","Susd6","Etf1","Ctsd","Spi1"
"144","Gcnt2","P4hb","Nt5c2","Diaph1","Pnkp","Eif4ebp1"
"145","Rpl24","Phf21a","Plcl2","Mcemp1","Rpl23","Atg3"
"146","Cd84","Hspa5","Rock1","Baz2b","Rpl9","Stat3"
"147","Rpl11","Tyrobp","Pygl","Pnrc1","Mcl1","Glrx"
"148","Arpc1b","Ostf1","Grina","Kdm6b","Gnb2","Lyn"
"149","Rps28","Ninj1","Tsc22d3","Sdcbp","Mrgpra2b","Rpl9"
"150","Gm26825","Txn1","Cxcr2","Map2k4","Cd14","Ddx6"
"151","Rpl35a","Ncf1","Pan3","Rbms1","Rpl34","Emb"
"152","Snap23","Hif1a","Foxp1","Tspo","Ceacam10","Steap4"
"153","mt-Co3","Zfp292","Xpr1","Rsrp1","Rps11","Cfl1"
"154","Zfand5","Rlf","Klf6","Jund","Arhgap15","Atxn10"
"155","Calm1","Rsrc2","Mir142hg","Gabarap","Rhoa","Mmp9"
"156","AF251705","Ccr1","Il6ra","Ppp1r3b","Rps3","Mrpl33"
"157","Gmfg","Egr1","Btg1","Gda","G0s2","Akap13"
"158","Rps7","Map1lc3b","Dhrs9","Fbxl5","Fpr2","Ctsd"
"159","Rps12","Sik3","Crebrf","Pde7b","Mapk13","Gadd45a"
"160","Cox4i1","Rbpj","Junb","Por","Mbd2","Hsp90aa1"
"161","Egr1","Hmox1","Ankrd11","Sub1","Uba52","Cd33"
"162","Cdc42","Rps9","Il1r2","Rps29","mt-Cytb","Snap23"
"163","Pla2g7","Slfn2","Slpi","Zcchc6","Iqgap1","Asprv1"
"164","Sub1","Klf6","Slc40a1","Cdc42","Eno1","Rps10"
"165","Ppp1r15a","Tbc1d15","Adam19","Clic1","Rpl41","Myl12b"
"166","Nfkbia","Atf3","Msn","Eif4a1","Pirb","Ndel1"
"167","Ctsd","Lilr4b","Sirpb1a","Arpc5","Vsir","Ostf1"
"168","Oaz1","Atp6v1a","Trp53inp1","Cd300lf","Rpl39","Il1rap"
"169","Srsf5","Bnip3","Rab8b","Slc7a11","Flna","Gm42418"
"170","Gpcpd1","mt-Atp6","Chst11","Selk","Cd47","Aldoa"
"171","Ddx3x","Dennd4a","Gtdc1","Ubb","Spi1","Tgfbi"
"172","Rac2","Hectd1","Atp8a1","Rab20","1110008F13Rik","Chil1"
"173","Rpl13","Ctsz","Ndel1","Fam134b","Gm42418","Zfand5"
"174","Ncf4","Nlrp3","Mtmr3","Sat1","Unc119","Myl6"
"175","Lmnb1","Oser1","Kmt2e","Rps27","Myh9","Pygl"
"176","Slfn2","Slc2a1","Rnf144a","Anxa1","Dach1","Lilrb4a"
"177","Myl6","Hsp90aa1","Stk38","Gapdh","Cox4i1","Plaur"
"178","Tpd52","Csrnp1","Ptpn12","Ankrd33b","Rps3a1","Pde4b"
"179","Rsrp1","Hdc","Acap2","C5ar1","Rpl37","C5ar1"
"180","Gab2","Lamp2","Mcl1","Trem3","Gpsm3","B2m"
"181","Eef1a1","Rab20","Lilrb4a","Ehd1","Rps13","Hcst"
"182","Cd300a","Fcgr3","Gm20388","Snap23","Gabarap","Cdkn2d"
"183","Picalm","Ctsd","Zeb2","Rab7","Ube2d3","Pag1"
"184","Sat1","Eif5","Dmxl2","Mrpl33","Arpc4","Emilin2"
"185","Stat3","Arih2","March7","Clk1","Rps15a","Skap2"
"186","C5ar1","Stat3","Asxl1","Btbd9","Plp2","Arhgap24"
"187","H2afj","mt-Co2","Sell","Cfl1","Plac8","Rap1b"
"188","Cytip","Ap3s1","Antxr2","Lsp1","Rps19","Rpl18a"
"189","Arg2","Tmbim6","Rap1b","Pla2g7","Gsr","Serf2"
"190","Cxcr2","Ptp4a1","Zswim6","Lrrfip1","Atp6v1g1","Zfp36l2"
"191","Rnf149","Msrb1","Rapgef6","Fem1c","Rpl28","Actr3"
"192","Cirbp","Sat1","Vmp1","Tiparp","Hmgn2","Fam49b"
"193","Atp5l","Cmip","Sfxn5","Cxcr2","Fis1","Sub1"
"194","Rps15","Clk1","Zfp36l2","Lyst","Lsp1","Gng5"
"195","Hnrnpf","Lyn","Dock11","March7","Cmah","Cmip"
"196","Emb","Ifitm1","Arih1","Myl6","Syne1","Cyp4f18"
"197","mt-Atp6","Serinc3","Arid4b","Prdx5","Tpm3-rs7","Eno1"
"198","Sh3bgrl3","P4ha1","Wipf1","Txn1","Ncf2","Cd84"
"199","Ccr1","Slc16a3","Tbl1xr1","Hck","Sat1","Plek"
"200","Dazap2","Fam162a","Hdac4","Cyp4f18","Ppp1ca","Gpi1"
