"","SC78_9_factor1","SC78_9_factor2","SC78_9_factor3","SC78_9_factor4","SC78_9_factor5","SC78_9_factor6"
"84","Cd52","Aldoa","Vav3","Sorl1","H2-D1","Lmnb1"
"85","Polr2a","Npepps","Pip5k1b","Cyth1","Arpc5","Atp6v1g1"
"86","Ccnd3","Rps27","1700112E06Rik","Csf3r","Atxn10","Arpc3"
"87","Stk17b","Tpd52","Med13l","Neat1","Cotl1","Fbxl5"
"88","Serf2","Rabgef1","Wfdc17","Lyn","Msrb1","Ddx5"
"89","S100a11","Ets2","Rlf","Msrb1","Dstn","Iqgap1"
"90","Rpl19","Cd9","Diaph1","Dusp16","Rps29","Cyba"
"91","Fgl2","Arid5b","Mxd1","Jdp2","Serf2","mt-Co2"
"92","Rplp1","Ankrd33b","Tmem164","Ncf2","Ubb","Rpl37"
"93","Rpl37","Lyst","Zfand3","mt-Co3","Rplp0","Selplg"
"94","Ubc","Plin2","Mctp2","Fcer1g","Fau","Dennd4a"
"95","Cox8a","Rab7","Mtus1","mt-Atp6","Glrx","Sat1"
"96","Gng5","Igf1r","Rbm47","Stx11","Gmfg","Prdx5"
"97","Rpl37a","Ldha","Ddx6","Hif1a","Ncf4","Mmp8"
"98","Calm2","Fam134b","Myo1f","Iqgap1","R3hdm4","Jun"
"99","Rpl34","Elmo1","Numb","Lilrb4a","Vim","Pkm"
"100","Litaf","Fcer1g","Stat3","Fosl2","Rps4x","Pla2g7"
"101","Lsp1","Btg2","Tbc1d14","Ccr1","Pygl","Anxa2"
"102","Rps11","Emilin2","Atp11b","Ptprc","Arpc3","mt-Co3"
"103","Klf6","H2-Q7","Actb","Asprv1","Msra","Vim"
"104","Hdc","Rps29","Samhd1","Coro1a","Actr3","mt-Atp6"
"105","Cyba","Ddx5","Rfwd2","Tpm4","Cdc42","Mcemp1"
"106","Hspa5","Rab8b","Ncf2","Hilpda","AA467197","Ier2"
"107","Rpl8","Cd300lf","Syk","Ptprj","Eif1","Ptprc"
"108","Gadd45b","Ero1l","Il1rap","Cd52","Cfl1","Rps27"
"109","Mxd1","Zfp36l2","Bcl6","Dusp1","Rps20","Gnai2"
"110","Rabac1","Ier5","Luc7l2","Igf1r","Srgn","Trem1"
"111","Rbm3","mt-Co3","Fyb","Ccl6","Cd9","Ube2h"
"112","Wfdc17","Erbb2ip","Ptbp3","Ccnl1","Cebpb","Cdc42"
"113","Igfbp6","Etf1","Hectd1","Actr3","Rps12","Gmfg"
"114","Rbm39","Jun","Arhgap24","Stk17b","Lcp1","Arhgap15"
"115","S100a8","App","Map3k3","Bcl2l1","Slfn4","Rnf149"
"116","Rhoa","Cstb","Tnrc6b","Stfa2","Oaz1","G0s2"
"117","Ptprc","Antxr2","Mirt1","Plek","Rpl37a","Arpc1b"
"118","Hist1h2bc","Rsrp1","Ppp1r12a","Ddx6","Itgam","Cers6"
"119","Pfdn5","Rnf149","Fndc3b","Hp","Anxa11","Ncf2"
"120","Serinc3","Snap23","Fgd4","Lilr4b","Rps10","Gm26825"
"121","Plek","Csf1","Kpna4","Cd53","Mettl9","Mtus1"
"122","Arpc3","Adam17","Mef2a","Rdh12","Rpl7","Fcgr3"
"123","Pfn1","mt-Co1","Hipk1","Notch2","Actn1","Mir142hg"
"124","Rps8","Cd53","Rnf149","Arpc2","Mcemp1","App"
"125","Rap1b","Tpi1","Pam","Lamp2","Cnn2","Osm"
"126","Txn1","Atp2b1","Osbpl9","Rap1b","Pgd","Svil"
"127","Rpl18","Eno1","Pten","Btg2","Clic1","Ier5"
"128","Gabarap","Smox","Itga4","Gm42418","Myl12b","Clic1"
"129","H2-K1","1700112E06Rik","March1","Arhgap15","Rps16","Hspa8"
"130","mt-Co1","Grina","Alcam","Ier3","Ncf1","BC117090"
"131","Rpl13a","Fxyd5","Atp2b1","Ctsd","Cap1","Rps16"
"132","Rpl21","Irf1","Cd33","Rabgef1","Gng5","Nfkbiz"
"133","Itm2b","Gabarap","Notch2","Rps27a","Mrpl33","Ncf4"
"134","Gm5150","Sema4d","Gm26740","Map1lc3b","Ifitm1","Cd300lf"
"135","Rpl10","Picalm","Pnpla7","Clec4e","Ldha","Arpc2"
"136","Coro1a","Lmnb1","Ncor1","Adam8","Dhrs7","Ccr1"
"137","Rps25","Xylt1","Lamp2","Kpna4","Grina","Gabarap"
"138","Alox5ap","Fbxl5","Fcho2","Zyx","Plaur","Itm2b"
"139","Cdk2ap2","Sgms2","Nipbl","Pik3ap1","H3f3b","Rpl41"
"140","Gm2a","Ddx3x","Gnaq","Lcn2","Aldoa","Cd14"
"141","Atp6v0e","Rbm39","Pla2g7","Rbm39","Rpl19","Gpx1"
"142","Rps5","2810474O19Rik","Braf","Suco","Cd24a","Sorl1"
"143","Cfl1","Bcl2l11","Susd6","Etf1","Ctsd","Spi1"
"144","Gcnt2","P4hb","Nt5c2","Diaph1","Pnkp","Eif4ebp1"
"145","Rpl24","Phf21a","Plcl2","Mcemp1","Rpl23","Atg3"
"146","Cd84","Hspa5","Rock1","Baz2b","Rpl9","Stat3"
"147","Rpl11","Tyrobp","Pygl","Pnrc1","Mcl1","Glrx"
"148","Arpc1b","Ostf1","Grina","Kdm6b","Gnb2","Lyn"
"149","Rps28","Ninj1","Tsc22d3","Sdcbp","Mrgpra2b","Rpl9"
"150","Gm26825","Txn1","Cxcr2","Map2k4","Cd14","Ddx6"
"151","Rpl35a","Ncf1","Pan3","Rbms1","Rpl34","Emb"
"152","Snap23","Hif1a","Foxp1","Tspo","Ceacam10","Steap4"
"153","mt-Co3","Zfp292","Xpr1","Rsrp1","Rps11","Cfl1"
"154","Zfand5","Rlf","Klf6","Jund","Arhgap15","Atxn10"
"155","Calm1","Rsrc2","Mir142hg","Gabarap","Rhoa","Mmp9"
"156","AF251705","Ccr1","Il6ra","Ppp1r3b","Rps3","Mrpl33"
"157","Gmfg","Egr1","Btg1","Gda","G0s2","Akap13"
"158","Rps7","Map1lc3b","Dhrs9","Fbxl5","Fpr2","Ctsd"
"159","Rps12","Sik3","Crebrf","Pde7b","Mapk13","Gadd45a"
"160","Cox4i1","Rbpj","Junb","Por","Mbd2","Hsp90aa1"
"161","Egr1","Hmox1","Ankrd11","Sub1","Uba52","Cd33"
"162","Cdc42","Rps9","Il1r2","Rps29","mt-Cytb","Snap23"
"163","Pla2g7","Slfn2","Slpi","Zcchc6","Iqgap1","Asprv1"
"164","Sub1","Klf6","Slc40a1","Cdc42","Eno1","Rps10"
"165","Ppp1r15a","Tbc1d15","Adam19","Clic1","Rpl41","Myl12b"
"166","Nfkbia","Atf3","Msn","Eif4a1","Pirb","Ndel1"
"167","Ctsd","Lilr4b","Sirpb1a","Arpc5","Vsir","Ostf1"
"168","Oaz1","Atp6v1a","Trp53inp1","Cd300lf","Rpl39","Il1rap"
"169","Srsf5","Bnip3","Rab8b","Slc7a11","Flna","Gm42418"
"170","Gpcpd1","mt-Atp6","Chst11","Selk","Cd47","Aldoa"
"171","Ddx3x","Dennd4a","Gtdc1","Ubb","Spi1","Tgfbi"
"172","Rac2","Hectd1","Atp8a1","Rab20","1110008F13Rik","Chil1"
"173","Rpl13","Ctsz","Ndel1","Fam134b","Gm42418","Zfand5"
"174","Ncf4","Nlrp3","Mtmr3","Sat1","Unc119","Myl6"
"175","Lmnb1","Oser1","Kmt2e","Rps27","Myh9","Pygl"
"176","Slfn2","Slc2a1","Rnf144a","Anxa1","Dach1","Lilrb4a"
"177","Myl6","Hsp90aa1","Stk38","Gapdh","Cox4i1","Plaur"
"178","Tpd52","Csrnp1","Ptpn12","Ankrd33b","Rps3a1","Pde4b"
"179","Rsrp1","Hdc","Acap2","C5ar1","Rpl37","C5ar1"
"180","Gab2","Lamp2","Mcl1","Trem3","Gpsm3","B2m"
"181","Eef1a1","Rab20","Lilrb4a","Ehd1","Rps13","Hcst"
"182","Cd300a","Fcgr3","Gm20388","Snap23","Gabarap","Cdkn2d"
"183","Picalm","Ctsd","Zeb2","Rab7","Ube2d3","Pag1"
"184","Sat1","Eif5","Dmxl2","Mrpl33","Arpc4","Emilin2"
"185","Stat3","Arih2","March7","Clk1","Rps15a","Skap2"
"186","C5ar1","Stat3","Asxl1","Btbd9","Plp2","Arhgap24"
"187","H2afj","mt-Co2","Sell","Cfl1","Plac8","Rap1b"
"188","Cytip","Ap3s1","Antxr2","Lsp1","Rps19","Rpl18a"
"189","Arg2","Tmbim6","Rap1b","Pla2g7","Gsr","Serf2"
"190","Cxcr2","Ptp4a1","Zswim6","Lrrfip1","Atp6v1g1","Zfp36l2"
"191","Rnf149","Msrb1","Rapgef6","Fem1c","Rpl28","Actr3"
"192","Cirbp","Sat1","Vmp1","Tiparp","Hmgn2","Fam49b"
"193","Atp5l","Cmip","Sfxn5","Cxcr2","Fis1","Sub1"
"194","Rps15","Clk1","Zfp36l2","Lyst","Lsp1","Gng5"
"195","Hnrnpf","Lyn","Dock11","March7","Cmah","Cmip"
"196","Emb","Ifitm1","Arih1","Myl6","Syne1","Cyp4f18"
"197","mt-Atp6","Serinc3","Arid4b","Prdx5","Tpm3-rs7","Eno1"
"198","Sh3bgrl3","P4ha1","Wipf1","Txn1","Ncf2","Cd84"
"199","Ccr1","Slc16a3","Tbl1xr1","Hck","Sat1","Plek"
"200","Dazap2","Fam162a","Hdac4","Cyp4f18","Ppp1ca","Gpi1"
"201","H2afz","Gla","Ccl6","Ube2d3","Hspa8","Samhd1"
"202","Rps24","Fndc3b","Litaf","Hectd1","Cdkn2d","Clec4e"
"203","Pnrc1","Csf3r","Pacs1","Rac2","Ltb4r1","Calm1"
"204","Cmip","Optn","Diaph2","Pafah1b1","Rpl17","Clec4d"
"205","Ddit3","Zfand3","Hmha1","Fam107b","Rap1b","Kdm7a"
"206","Gm10076","Fus","Jak1","Ptbp3","Glipr2","Osbpl9"
"207","Hist1h1c","Cd24a","Mctp1","Sh2d3c","Lamtor4","Lilr4b"
"208","Btf3","Wsb1","Kmt2c","Fbxo11","Fam65b","Arhgdib"
"209","Pnpla2","March7","Ncoa1","Braf","Timp2","Tmcc1"
"210","Gm20388","Ankrd12","Ythdf3","Cyba","Mxd1","Tsc22d3"
"211","mt-Co2","Il1rn","Fam134b","Arpc1b","Rpl35a","Calm2"
"212","Myl12b","Wwp2","Rb1cc1","Trib1","Rps5","Cst3"
"213","Spi1","Abca1","Ddx5","Stat3","Rps28","Ube2d3"
"214","Gls","Zfp36l1","Dnm2","Spi1","Ier2","Stfa3"
"215","Taldo1","Gsap","Mgea5","Gpcpd1","Rps8","Fam65b"
"216","Dusp16","Gng5","Chd7","Skap2","Atp5f1","Cotl1"
"217","Tmem59","Pfkp","Ddi2","Slc22a15","Rps14","Gcnt2"
"218","Iqgap1","Rpl41","Atp8b4","Rpl41","Slc2a3","Marcks"
"219","Etf1","Fnip2","Xpo6","Rab8b","Sh3glb1","Cytip"
"220","Clic1","Lcp1","Iqgap2","Tax1bp1","Rplp2","Prr13"
"221","Ifrd1","Efhd2","Actr3","Cd33","Rplp1","Glipr2"
"222","Ets2","Cdc42","Ptpn1","Fcgr3","Esd","Rhoa"
"223","Rpl26","Atp6v0d1","Fnbp1","Ostf1","Limd2","Rps24"
"224","Atp6ap2","Nfe2l2","Fry","Mir142hg","Fcgr3","Kpna4"
"225","Arpc2","Tgoln1","Sla","Bcl2l11","H2afj","Ldha"
"226","Chchd2","Tmem189","Ogt","Agpat9","Hck","Adgre5"
"227","Fus","Calm2","Sirpa","Slc15a3","Rps23","Lamp2"
"228","Rpl6","Ptbp3","Marcks","Ncf4","Actr2","Slfn2"
"229","Tra2a","Polr2a","Mbd5","Coq10b","Padi4","Ptpn1"
"230","Skap2","Chd7","Pak2","Glrx","Dbnl","AB124611"
"231","Tnfaip2","Nktr","Rbms1","Anxa11","Lbr","Neat1"
"232","Cxcr4","Arih1","Rbm39","Qsox1","Rpl38","Rps12"
"233","Rps15a","Rplp2","Asap1","Sp140","Lrrk2","Eef1a1"
"234","Rps2","Atf4","Entpd1","Arih2","Slfn2","Ccnd3"
"235","Ostf1","Samhd1","Itch","2810474O19Rik","Rpl6","Rpl17"
"236","Atp6v1g1","Trem1","Klf3","Rhov","Ubl5","March7"
"237","Ubl5","C5ar1","Retnlg","Vmp1","Klf2","Smpdl3a"
"238","Vamp8","Rpl23","Rasa3","Lrg1","Rpl13","Fgr"
"239","Txnip","H2-T23","Cux1","Cotl1","Pira2","Klf6"
"240","Ssh2","Ptprj","Ctnnb1","Zfand3","Samhd1","Cd44"
"241","Gpx1","Gm5483","Cytip","Vps4b","Scand1","Cap1"
"242","Selplg","Fmnl2","Zfp407","Chmp4b","Rpl18a","Arpc5"
"243","Laptm5","Tnfaip2","Arg2","Top1","Dbi","R3hdm4"
"244","Atf3","Nfil3","Rab31","Pxn","Rps7","Nfkbia"
"245","Ube2b","Inpp5d","Ptpre","Atp11b","Rpl32","Zfp36l1"
"246","Eif5","Upp1","Sik3","Ubc","G6pdx","Il13ra1"
"247","Rpl32","Alcam","Fbxo11","Atg2a","Fam49b","Lst1"
"248","Rps26","Casp4","Lmnb1","Wbp1l","Junb","Cd53"
"249","Ndel1","Srsf5","Nlrp12","Gcnt2","Rps21","Pbx1"
"250","Cox6b1","Per1","mt-Nd4","Sh3glb1","Rpl27a","Phf21a"
"251","Ssu72","Sh2d3c","Itgal","Nfkbiz","Mctp1","Oaz1"
"252","March7","Chmp4b","Jund","Tlr4","Psap","Gpsm3"
"253","1700112E06Rik","Nedd9","Wnk1","Fgr","Lyn","Rpl37a"
"254","Rps6","Abtb2","Cd244","Sepn1","Tln1","Shfm1"
"255","Coq10b","Stfa2l1","Kras","Slc11a1","Rps25","Sdcbp"
"256","Rpl36","Rps16","Dock8","Gnai2","Gsn","Cox8a"
"257","Vim","Sf3b1","Plek","Ralgapa1","Clec4a2","Ssh2"
"258","Gnai2","Sod2","Il13ra1","Capzb","Ddx5","Sh3glb1"
"259","Cited2","Tax1bp1","Wdfy3","Calm1","Itgb2","Dazap2"
"260","Pglyrp1","Skap2","mt-Cytb","Themis2","Fpr1","Rpl34"
"261","Cd44","Ppp1r3b","Ttc7","Hmgb2","mt-Nd4","Serinc3"
"262","Ube2d3","Chd2","Snap23","Rhoa","Chchd2","Ier3"
"263","Ucp2","Soat1","Mbnl2","Slc25a3","Capza1","Ube2b"
"264","Atg3","Gtdc1","Nfkbiz","Capza1","Capzb","Cpd"
"265","Xylt1","Ddit3","Abi1","Pkm","Arf5","Gnb2"
"266","Dynll1","Snx18","Btg2","Rpl37","Arf1","Gm5150"
"267","Ptp4a1","Celf2","Gsk3b","Cap1","Sub1","Dhrs7"
"268","Tceb2","Isg15","Son","Tra2a","Rpl10","Pnrc1"
"269","Arf1","Bhlhe40","Ppp2r5a","Ago2","Gda","Tspan13"
"270","Rgs2","Gnb1","Clk1","Gmfg","Npepps","Hck"
"271","Ctnnb1","Jdp2","Arl15","Ptp4a1","Ckap4","Ypel3"
"272","Klf13","Kdm6b","Strn3","Gng5","Cox6c","Chmp4b"
"273","Srsf7","Cers6","Kansl1","Ube2b","Ccnd3","Rps14"
"274","Lyn","Arpc3","Irf2","Rps16","Chil1","Rbm39"
"275","Cotl1","Dedd2","Zfp36","Myh9","Tgfbi","Ipcef1"
"276","Brk1","Ube2d3","Inpp5d","Hpcal1","Flot1","Syk"
"277","Spag9","Tlr4","Plekhm3","Fndc3b","Stx11","Sell"
"278","Eif5a","Jak1","Fkbp5","Atp6v1g1","Atp5l","Slc16a3"
"279","Fam32a","F10","Lpcat2","Mbnl2","Cybb","Gab2"
"280","Cnbp","Pfn1","Trim30b","Chd7","Hacd4","Adipor1"
"281","Ube2h","Cox8a","Ankrd33b","Rpl9","Anxa3","Slc2a1"
"282","Fam49b","Iqgap1","Cmah","Taldo1","Vdac2","H2-K1"
"283","Cd47","Bsg","Zcchc6","Slc2a1","Rpl11","Slpi"
"284","Tbc1d15","Msra","Emb","Dazap2","Tmcc1","Samsn1"
"285","Chil1","Atp6ap2","S100a6","Marcks","Lst1","Slc2a3"
"286","Atp5e","Rap1b","Wasf2","Pitpna","Ptprc","Rpl30"
"287","Arhgdib","Ctnnb1","Mapk14","Arf5","Rbm3","Scand1"
"288","Sorl1","Iqsec1","Clec4d","Arf4","Gyg","Mctp2"
"289","Atox1","Bri3","Atrx","Gab2","Myo1f","Rpl23"
"290","Tspo","Mapk6","Iqsec1","Itgb2","Trem3","Mbd2"
"291","Ncf2","Tet2","Cbl","Cytip","Flot2","Adam8"
"292","Rsrc2","Fos","Mier1","Srsf5","Abracl","Pten"
"293","Zyx","Itgam","Atp6v0a1","Fmnl1","Ndufb7","Plin2"
"294","Kdm6b","Tnfrsf1b","Slfn4","Tnfrsf1b","Lims1","Rab8b"
"295","Chst11","Arpc2","Myh9","Abtb2","Hk3","Rpl27a"
"296","Mbnl2","Cd44","Gpr141","Ell2","AB124611","Usp32"
"297","Grina","Morf4l1","Tab2","Serf2","H2afz","Bcl6"
"298","Rps20","Rpl18a","Arhgap30","Samhd1","Upp1","Fam32a"
"299","Syf2","Arf4","Smad4","Myl12b","Osm","Atp5l"
"300","Clta","Sorl1","Arid4a","Sell","Atp6v0e","Rps23"
