"","SC78_8_factor1","SC78_8_factor2","SC78_8_factor3","SC78_8_factor4","SC78_8_factor5","SC78_8_factor6","SC78_8_factor7","SC78_8_factor8","SC78_8_factor9"
"113","Skap2","Pnrc1","Atp6v0d1","Rpl37","Cfl1","Polr2a","Hcar2","Kansl1","Lilrb4a"
"114","Npepps","Il1rap","Arpc3","Gng5","Ubb","Il1rap","Lrg1","Wnk1","Cd9"
"115","Ago2","App","G0s2","Iqgap1","Clec4e","Fgr","Txn1","Itsn2","Gm42418"
"116","Stat3","Cd52","Kdm6b","Sat1","Lst1","Sat1","Chst11","Srrm2","H2-Q4"
"117","Cd53","Gm42418","Trib1","H3f3b","Gcnt2","Arpc1b","Hspa5","Zeb1","Trem1"
"118","Fem1c","Pik3ap1","2810474O19Rik","Oaz1","Diaph1","Plek","Ankrd33b","Atp2b1","Plaur"
"119","Pde7b","Gda","Fam134b","Atp6v1g1","Arg2","Cytip","Lpcat2","Rplp0","Cd52"
"120","Fnip1","Iqgap1","S100a8","Rdh12","Ier3","Tpt1","Rab11fip1","Klf2","Lst1"
"121","Vps4b","Gabarap","Ccnl1","Tkt","Map2k4","Arhgap24","Antxr2","Nsf","Clec4d"
"122","Inpp5d","Sh2d3c","Skap2","Calm1","Prdx5","Gadd45a","Gm42418","Rpl18a","Rnf213"
"123","Cdk17","Suco","Ptk2b","Stfa2","Ets2","Tspan13","Traf3","Mir142hg","Plin2"
"124","Myo1d","Nedd9","Plk3","Prok2","Lilr4b","Gadd45b","Lst1","Cst3","Entpd1"
"125","Lcp1","Tiparp","Mir142hg","Rpl9","Cdk2ap2","Rac2","Icam1","Fli1","Slc15a3"
"126","Eif1","Stfa2l1","Rpl39","Atp11b","Cyth1","Adgre5","Nr4a1","Fndc3a","Usp25"
"127","Etf1","Rab7","Rpl18a","Cers6","Sorl1","Steap4","Pfn1","Prkch","Basp1"
"128","Sh2d3c","Ptprj","Tgoln1","Actr3","Selk","Gnai2","Ddx6","Baz1a","Sp140"
"129","Ncf2","Osm","Tra2a","Slc16a3","Coro1a","Klf6","Gsap","Macf1","Ccnl1"
"130","Nfkbiz","March7","Ptafr","Aldh2","Plin2","Pim1","Fxyd5","Rpl22l1","Ptgs2"
"131","Anxa11","Vps37b","Ccr1","Samsn1","Cyba","Fcgr3","Jund","Dock2","Marcks"
"132","Slfn4","Sat1","Srsf5","Gpsm3","Pnrc1","March7","Entpd1","Aff1","Arg2"
"133","Cyp4f18","Anxa2","Alox5ap","Asprv1","Cxcl3","Pglyrp1","Bcl2a1b","Tbc1d5","Antxr2"
"134","Gpcpd1","Braf","Selk","Chil1","Cdc42","Cers6","Ppp1r15a","Arid1b","Fos"
"135","Jdp2","Rac2","Jdp2","Gadd45a","March7","Map3k5","N4bp1","Pak2","Csf3r"
"136","Sdcbp","Alcam","Csrnp1","Cnn2","Itm2b","Ier5","Vasp","Calm2","Tap1"
"137","Agpat9","Lsp1","Cmip","Fam65b","Igf1r","Rap1b","Iqgap1","Eml4","Chst11"
"138","Smchd1","Ccl6","Cstb","Rpl34","Pla2g7","Pde4b","Cd44","Pik3c2a","Cd47"
"139","Syk","Mrpl33","Entpd1","Uba52","Irg1","Usp32","Il1r2","Birc6","Tapbp"
"140","Dhrs9","Gm5150","Rps16","Fbxl5","Gapdh","Phf21a","Adam17","Zfp638","Gab2"
"141","Grina","Actr3","Rpl23","Hacd4","Jdp2","Entpd1","Nfe2l2","Prkcb","Sppl2a"
"142","Btg2","Hcar2","Gla","Actn1","Notch2","Ipcef1","Gpbp1","Nipbl","Lgals9"
"143","Ptgs2","Lst1","Rpl17","Lrrfip1","Rps27","Gmfg","Snx18","B2m","Cd300lf"
"144","Tnfrsf1b","Gcnt2","Sorl1","4932438A13Rik","Iqgap1","Mir142hg","Trem1","Cdc42","Msn"
"145","Aff4","Stx11","Slc16a3","Pgd","Myh9","Atp6v1g1","Rbpj","Ubac2","2810474O19Rik"
"146","Snx18","Mrgpra2b","Arg2","1110008F13Rik","Jund","Bcl6","Picalm","Mtdh","Helz2"
"147","Map3k5","Lamp2","Rpl41","Glipr2","Pde7b","Osm","Lsp1","Vps13b","Fcgr3"
"148","Mirt1","Gnai2","Sat1","Junb","Gmfg","Ier2","Rac2","Fbxl17","Zbp1"
"149","Gda","Ier5","Clec4e","Cd14","Gnai2","Gab2","Rap1b","Rpl15","Gsap"
"150","Actr3","Gab2","1700112E06Rik","Dhrs7","Emilin2","Sfxn5","Fndc3b","Gm42418","Samsn1"
"151","Zcchc6","Pla2g7","Gng5","Grina","Lsp1","Gm42418","Cd274","Dock8","Actr2"
"152","Tra2a","Myl6","Rap1b","Hspa8","Fosl2","Itm2b","Ncf4","Inpp5d","Gadd45b"
"153","Notch2","Ccnl1","March7","Clic1","Slc11a1","Cst3","Rabgef1","Itga4","Ccr1"
"154","H3f3b","Nfkbiz","Antxr2","Rhoa","Klhl2","Cd300lf","Cd52","Elf1","Xylt1"
"155","Adam8","Cd53","Igfbp6","Rps29","Osbpl9","Igf1r","Hck","Rab2a","Tlr4"
"156","Map2k4","Prr13","H2-K1","Stfa2l1","Lamp2","Apbb1ip","Mrgpra2b","Smg1","Upp1"
"157","Vmp1","Arpc2","Hspa5","Gm8730","Anxa2","Arhgap15","S100a6","Gm10073","Gabarap"
"158","Gk","Ctsd","Emilin2","Osm","Trib1","Cdc42","Sorl1","Srrm1","Casp4"
"159","Msra","Baz2b","Ndel1","Gabarap","Adam8","Gabarap","Gpcpd1","Stk17b","Picalm"
"160","Wfdc17","Cyp4f18","Dusp5","Tarm1","Ctsd","Pag1","Ell2","Ythdc1","Trim12c"
"161","Gtdc1","Etf1","Mapkapk2","Anxa11","Serf2","Slfn2","Nfkbie","Fnbp1","Tspan13"
"162","Celf2","Lcn2","Gm5150","Itgam","Csf2rb","Clic1","Igsf6","Serbp1","Csf1"
"163","Trem1","Rps27a","Anxa11","Esd","Basp1","Ifitm3","Trem3","Mycbp2","Atf3"
"164","Fbxl5","mt-Cytb","Basp1","Cdkn2d","Itpkb","Lilrb4a","Cdc42ep2","Lrch1","Oasl2"
"165","Wnk1","Ptgs2","Serinc3","Gnb2","Hif1a","Fbxl5","Smox","Sh3kbp1","Pfn1"
"166","Stk17b","Zyx","Ier3","Myh9","Gm26740","Calm2","Fas","Stag1","Emilin2"
"167","Tlr4","Mir142hg","Ier5","Elmo1","Myl12b","Ctsd","Gpr132","Rps25","Hcar2"
"168","Abtb2","Arpc1b","Pla2g7","Lbr","Hmgb2","Klhl2","App","Tmsb4x","Cd53"
"169","Sp140","Sdcbp","Nfe2l2","Lilrb4a","Calm1","Ptpn1","Adgre5","Pfn1","Slc7a11"
"170","Rlf","B2m","Arpc1b","Adam8","Ccl6","Ccl6","Gmfg","Ezr","Ifi35"
"171","Tpm4","Snap23","Snap23","BC117090","Tlr4","Tgfbi","Zfand3","H3f3b","Il1rap"
"172","Homer1","Fosl2","Ankrd12","Spi1","Fam134b","Il13ra1","Oser1","Dock11","Cxcr4"
"173","Klhl2","Gmfg","Ctsd","Litaf","Anxa1","Fgl2","Arpc3","Fryl","Irak2"
"174","Sntb2","Myl12b","Cdc42","Pag1","Cap1","Nfkbiz","Irak3","Irf2","Epsti1"
"175","Cd300lf","Plk3","Rbm39","Plin2","Rac2","Trps1","Txnrd1","Pip4k2a","Bcl2l1"
"176","Chd2","Rap1b","Ncf4","Rps11","Cox8a","Cdkn2d","Kpna4","Ltb","Arpc2"
"177","Ptbp3","Cyba","Ctnnb1","Rps10","Atp6v1g1","G0s2","Ubb","Camk1d","Ell2"
"178","Ptk2b","Por","Serf2","Cox4i1","Gng5","Cd44","Pde7b","Utrn","Cd44"
"179","Slc15a3","Atp6v1g1","Zfp36l2","Cap1","Ralgapa1","Fyb","Ctnnb1","Ptbp3","Baz2b"
"180","Arih2","Ctnnb1","Per1","Slfn4","Eif4a1","Whsc1l1","Zc3h12a","Rock2","Cxcr2"
"181","1700112E06Rik","Pglyrp1","Gm42418","Itgb2","Klra2","Ccrl2","Alox5ap","Huwe1","Mir142hg"
"182","Fxyd5","Ifitm3","Btbd9","Ctsd","Nudt4","Arpc3","Prdx5","Ube2d2a","Rps27"
"183","Tgoln1","Cd300lf","Osbpl9","Upp1","Ube2d3","Ndel1","Pbx1","Rps27a","Arpc3"
"184","mt-Co1","Atg3","Alcam","Kdm7a","Gm5150","Nfkbia","Nadk","Fus","Lamp2"
"185","Pafah1b1","Lyst","Ncf2","Svil","D8Ertd738e","Myl12b","Anxa1","Atp9b","Cdk2ap2"
"186","Rbms1","Tnfaip2","Rpl9","Rpl7","Rps29","Adipor1","Slc15a3","Sgms1","Inpp5d"
"187","Gm26756","Lilr4b","Fosl2","Rps14","Cdk17","Myl6","Cmip","Jak1","Tiparp"
"188","Bcl2l1","Arpc5","Cytip","Rps16","B2m","Rbm39","Il1f9","Eef2","Irgm1"
"189","4932438A13Rik","Mcemp1","Sntb2","Lyn","2810474O19Rik","Actr3","Lilr4b","Bclaf1","Jund"
"190","Arhgap24","Adam8","Nr4a1","Rps13","Por","Prkcb","Lyst","Ikzf1","Ppp1r3b"
"191","Phf21a","Gpcpd1","Hmgb2","Arpc4","Snap23","Klf3","Steap4","Ncoa1","Nfkbia"
"192","Snap23","Dusp16","Atp6v1g1","Pnkp","Atp6v0e","Arhgdib","Taldo1","Zfp148","Ptafr"
"193","Tnrc6b","Csrnp1","Grina","Ube2d3","Zyx","Pkm","Chil1","Kmt2e","Fam134b"
"194","Fosl2","Sell","Klf6","Cmip","Stfa2l1","Chst11","Nab1","Ccl4","Tra2a"
"195","Whsc1l1","Tpm4","Gmfg","Ddx5","Rhoa","Clec4d","Lcn2","Ube2s","Il1rn"
"196","Fam65b","Gapdh","AF251705","Rpl28","Slc2a1","Serinc3","Grina","mt-Nd3","Rps9"
"197","Dopey2","Marcks","Rps8","Rpl37a","Rap1b","Camk1d","Susd6","Gls","Ptk2b"
"198","Fbxo11","Cdc42","Sh2d3c","Rpl23","Glrx","Sdcbp","Tank","Ago2","Ubc"
"199","Trib1","Sp140","Hp","Fpr1","Cyp4f18","Emilin2","Neurl3","Cd47","Atp2b1"
"200","Ctsd","Ell2","Picalm","Psap","Ptbp3","Gapdh","Lyn","Nfat5","Wnk1"
