"","SC78_4_factor1","SC78_4_factor2","SC78_4_factor3","SC78_4_factor4","SC78_4_factor5","SC78_4_factor6"
"47","Rnf149","Actg1","Litaf","Ssh2","Btbd9","Ptafr"
"48","Wnk1","Rpl18a","Pfn1","Mcl1","S100a11","Cd9"
"49","Mxd1","Fth1","Lmnb1","Cmip","Rnf149","Ptprj"
"50","Ddx5","Ftl1","Itm2b","H3f3a","Fxyd5","Pik3ap1"
"51","Zfp36","Marcksl1","Lcp1","Ncf2","Kpna4","Rab8b"
"52","Samsn1","Srgn","Anxa1","Cd44","Mir142hg","Cd44"
"53","Fau","Ppia","Txn1","Tpd52","H2-D1","Sgms2"
"54","Btg2","G0s2","Mcl1","Rnf149","Tpd52","Csf3r"
"55","Dennd4a","Cst3","Mmp9","Lyn","Ccr1","Ets2"
"56","Egr1","Rpl28","Mctp1","Lcp1","Sorl1","Mcl1"
"57","Ptgs2","Rps27a","H3f3b","S100a6","Lilrb4a","Lmnb1"
"58","Fxyd5","Eif1","Clec4d","Arg2","Ndel1","Ptprc"
"59","Ifitm2","Rpl7","Fxyd5","Tmcc1","Baz2b","Ptgs2"
"60","Rab7","Rps6","Gda","Hdc","Ptprc","Ifitm2"
"61","Rabgef1","Gm10076","Sgms2","Xylt1","Irg1","H3f3b"
"62","Pik3ap1","Rps15","Wfdc21","Fau","Fam134b","Dusp16"
"63","Irg1","Msn","Mgst1","Celf2","Junb","Msrb1"
"64","Ptprc","Rpl21","Irg1","Litaf","Samsn1","Marcks"
"65","Antxr2","Rpl11","Osbpl9","Gpcpd1","Smox","Ifrd1"
"66","Atf3","Cfl1","Antxr2","Taldo1","Atp2b1","Arg2"
"67","Fam134b","Eef1b2","Rac2","Marcks","Diaph1","S100a11"
"68","Hcar2","Fcer1g","Msra","B2m","Ctnnb1","Litaf"
"69","Cxcr4","Rac2","Tpt1","Lmnb1","Ets2","Samsn1"
"70","Pnrc1","Cebpb","Fcer1g","Dock2","Tpm4","Mapkapk2"
"71","Ifrd1","S100a9","Cyba","Slc7a11","Mrpl33","Neat1"
"72","Sgms2","H3f3b","Gapdh","Ccnd3","Picalm","Vasp"
"73","Rps9","Rpl24","Arhgdib","Eif1","Gcnt2","Chst11"
"74","Ptafr","Rps26","Arhgap15","Map3k5","Tlr4","B2m"
"75","Slc7a11","Nfkb1","Hmgb2","Zfp36l2","Lilr4b","Erbb2ip"
"76","H3f3a","Btg1","Cd52","Fxyd5","Gm26740","Zfp36"
"77","Alcam","Kansl1","Mmp8","Lsp1","Emilin2","Rel"
"78","Sdcbp","H3f3a","Junb","Cxcr4","Ccnl1","Dennd4a"
"79","Emilin2","Pfn1","Hdc","Ccl6","Msrb1","2810474O19Rik"
"80","Etf1","Kdm6b","Lyn","Adgre5","S100a6","Ncf1"
"81","Braf","H2-D1","Pim1","Txn1","Sp140","Ier5"
"82","Sorl1","Runx1","Plek","Pla2g7","Csf3r","Ccl3"
"83","Vps37b","Serf2","Anxa2","Ccrl2","Gab2","Fgr"
"84","Mbnl2","Pim1","Trem1","Camk1d","Map2k4","Trem1"
"85","Ndel1","Cd9","Entpd1","Iqgap1","Sdcbp","Slc7a11"
"86","Lst1","Rac1","Taldo1","Gm42418","Trib1","Nr4a1"
"87","Ccr1","Tyrobp","Ndel1","Myo1f","Ppp1r3b","H3f3a"
"88","Plaur","Tgm2","Cd44","Ifi27l2a","Isg15","Il1r2"
"89","Coq10b","Rps11","Rps27a","Hp","Pik3ap1","Ier3"
"90","Basp1","Asprv1","Pglyrp1","Ddx5","March7","Btg2"
"91","Cmip","Il1b","Alox5ap","Snap23","Arhgap15","Lcp1"
"92","Csrnp1","Hnrnpf","Lsp1","Coro1a","Ncf2","Lilrb4a"
"93","Gab2","Atf7ip","Slc7a11","Akap13","Snx18","Nadk"
"94","Tpt1","Junb","Ddx5","Antxr2","Cyth1","Tnfrsf1b"
"95","B2m","Rplp0","Arg2","Ppp3ca","Fcer1g","Adgre5"
"96","Ctsd","B2m","Gnai2","Pim1","Tpt1","Plaur"
"97","Fgl2","Arpc2","Picalm","Phf21a","Cd300lf","C5ar1"
"98","Suco","Cdc42","Prr13","G0s2","Ier3","Abtb2"
"99","Trem1","Arhgap15","Ubb","Ipcef1","Ankrd33b","Rps9"
"100","Ncf2","Ssh2","Arpc1b","Cd9","Rap1gap2","Ddx5"
"101","Fnip1","Ddx5","Stfa2l1","Pag1","Lst1","Actr3"
"102","Btbd9","Zeb2","Arpc2","Svil","Ifitm2","Ctsz"
"103","Tnfaip2","Rps9","Cmip","Trem1","H3f3a","Entpd1"
"104","Arg2","AF251705","Adam8","Igf1r","Adam8","Fcer1g"
"105","Picalm","Ptprc","Lyst","Cers6","Slc15a3","Snap23"
"106","Gabarap","H2-K1","Fbxl5","Mctp1","Actr3","Ninj1"
"107","Cd14","Uqcrh","mt-Co1","Usp32","Rab7","Ankrd33b"
"108","Snap23","Fxyd5","Ccr1","Samsn1","Lcp1","Lst1"
"109","Lcp1","Tnfrsf1b","Tpd52","Elmo1","Wnk1","S100a6"
"110","Fem1c","Fam107b","Ets2","Cd52","Myo1d","Fxyd5"
"111","Osbpl9","Uba52","Sik3","Ndel1","Arpc2","Nedd9"
"112","Serinc3","Lyz2","Btg2","Hmgb2","Dennd4a","Bcl2a1b"
"113","Ctnnb1","Vti1a","Ctsd","Syk","Trem1","Cd274"
"114","Sh2d3c","Uvrag","Trib1","Gab2","Fem1c","Tpt1"
"115","Plk3","Rpl36","Arpc5","Pfn1","Arpc3","Antxr2"
"116","Lilrb4a","Cxcl2","Ncf2","Fgl2","Fosl2","Tpd52"
"117","Cd53","Calm1","Xylt1","Selplg","Ralgapa1","Lyn"
"118","Mapkapk2","Ncf2","Cdc42","Nedd9","Lyst","Rap1b"
"119","Ccnl1","Laptm5","Gmfg","Rap1b","Btg2","H2-K1"
"120","Txn1","Ubb","Serf2","Ifitm2","Ptafr","Cmip"
"121","Isg15","Elmo1","Ptprc","Clec4d","Hectd1","Malt1"
"122","Lyst","Fyb","Ifitm2","Cytip","Grina","Fau"
"123","Slc15a3","Sp100","Sat1","Ltb","Basp1","Hspa5"
"124","Ptk2b","Rpl37","Sorl1","Slfn4","Plk3","Emilin2"
"125","Rap1b","Ifitm3","Klra2","Cap1","Mcl1","Slfn2"
"126","Jund","Dennd4a","Alcam","Fcer1g","Ddx6","Txn1"
"127","Inpp5d","Rps25","Pkm","H3f3b","Vmp1","Sema4d"
"128","Kdm6b","Eef2","Cotl1","Apbb1ip","Dock2","Picalm"
"129","Tnfrsf1b","Oaz1","Ralgapa1","Nfkbiz","Arg2","Snx18"
"130","Cdk2ap2","S100a8","Anxa11","Prkcb","Nudt4","Icam1"
"131","Dusp5","Sat1","Mir142hg","Klf6","Igf1r","Rab11fip1"
"132","Map1lc3b","Msrb1","Ankrd33b","Ccr1","C5ar1","Ddx3x"
"133","Ddx3x","Btg2","Tpm4","Sell","Cdk17","Iqgap1"
"134","Ubb","Samsn1","Snap23","Retnlg","Myh9","Rabgef1"
"135","Ier3","Cox8a","Actr3","March7","Cyp4f18","Zc3h12a"
"136","March7","Clta","Lilr4b","Ptgs2","Il1rn","Dock2"
"137","Nudt4","Plek","Dennd4a","Asap1","Nfkbiz","Jund"
"138","Csf1","Cd52","Myl6","Spi1","Pfn1","N4bp1"
"139","Tiparp","Aldoa","Ptprj","Pglyrp1","Rps9","Lsp1"
"140","Fos","Nfkbiz","Cap1","Emb","Il1rap","Kpna4"
"141","Pbx1","Rps28","Rdh12","Il1rap","Taldo1","Gsap"
"142","Tgoln1","Gnai2","Fos","Alox5ap","Fam107b","Ell2"
"143","Fcer1g","Atp2b1","Mrpl33","Itgal","Rabgef1","Hck"
"144","Irak2","Ptpn6","Iqgap1","Mmp9","Mirt1","Pfn1"
"145","Gm43661","Vasp","Stk17b","Anxa2","Ddx5","Trem3"
"146","Igf1r","Map4k4","Lst1","Fgr","Dusp16","Smox"
"147","S100a6","Pitpna","Baz2b","Tsc22d3","Txn1","Ccnl1"
"148","Arhgap15","Rpl27","Zyx","H2-K1","Braf","Slc16a3"
"149","Ubc","Nfkbia","Glrx","Ier5","Fau","Sorl1"
"150","Iqgap1","Rpl19","Cfl1","Zyx","Ccl6","Arhgap15"
"151","Trib1","Alcam","Csf3r","Mrpl33","Inpp5d","Pla2g7"
"152","Mir142hg","Gab2","Map1lc3b","Chst11","Stx11","Nfe2l2"
"153","H2-K1","Pafah1b1","Cd14","Ncor1","B2m","Lcp2"
"154","Atp6v0d1","Ptpre","App","Slfn2","Dhrs9","Traf3"
"155","Lyn","Arpc5","Lilrb4a","Tnfaip2","Por","Rbpj"
"156","Arih2","Ostf1","mt-Atp6","Rps27a","Pbx1","Rab20"
"157","Tgm2","Prrc2c","Fosl2","Cd101","Etf1","Neurl3"
"158","Fosl2","Lst1","Cers6","Atp2b1","Arih2","Bcl2l11"
"159","Ddit3","Itga4","Ncf4","Ddx3x","Egr1","Cd52"
"160","Gcnt2","Hspa5","Rpl37","Mir142hg","Slc22a15","Hcar2"
"161","Alox5ap","Atox1","Zfp36","Osbpl9","H2-K1","Xylt1"
"162","Rps27","Itch","Rap1b","Nr4a1","Irak2","Sik3"
"163","Mirt1","Hnrnpk","Ddx6","Fcgr3","Trem3","Trib1"
"164","Gm42418","Npc2","Mrgpra2b","Alcam","Ehd1","Mir142hg"
"165","Cd300lf","Cd44","Emilin2","Cyba","Osm","Gm42418"
"166","Coro1a","Rps2","Rab8b","Ptpn12","Klhl2","Ccr1"
"167","Lamp2","Selk","Pbx1","Rassf3","Gpr35","Taldo1"
"168","Pfn1","Gm42418","Dnaja1","Sdcbp","Iqgap1","Rps27"
"169","Sp140","Chchd2","Ube2b","Gm5150","Kdm6b","Vmp1"
"170","Srsf5","Gng5","Rps29","Lilrb4a","Rbms1","Skil"
"171","Taldo1","Rheb","Rabgef1","Slpi","Gfod1","Zfand3"
"172","Ppp1r15a","Hnrnpc","Suco","Psap","Rap1b","Nr4a3"
"173","Il1rn","Cytip","Notch2","Pten","Gabarap","Ncf4"
"174","C5ar1","Gngt2","Gabarap","1700112E06Rik","Ctsd","Spi1"
"175","Dock2","Hdc","Myl12b","Polr2a","Eml1","Gcnt2"
"176","Ier5","Ly6e","Spi1","Tpt1","Tes","Cd53"
"177","Osm","Fam32a","Vasp","Rab8b","Tnrc18","Irak3"
"178","Sat1","Taok1","Sdcbp","Ptpre","Fgl2","Fgl2"
"179","Ptp4a1","Sgms1","Selk","Arhgdib","Cap1","Atp2b1"
"180","Fndc3b","Stat3","4932438A13Rik","Slc9a9","Pla2g7","Pnrc1"
"181","Pla2g7","D8Ertd738e","Pygl","Mapkapk2","Ptbp3","Ndel1"
"182","2810474O19Rik","Gnb1","Shfm1","Hmha1","Slc11a1","Rab7"
"183","1700112E06Rik","Kpna4","Kpna4","Itm2b","Gm42418","Alox5ap"
"184","Selk","Eif5","Hcar2","Tra2a","Itpkb","Bcl3"
"185","Sgpl1","Cox6b1","Jund","Emilin2","App","Etf1"
"186","Adam17","Apbb1ip","Neat1","Ddx6","Stk17b","Jak1"
"187","Hectd1","Mxd1","Ostf1","Sat1","Snap23","Ier2"
"188","Stat3","Atp5l","Gm42418","Braf","Rab20","Jak2"
"189","Rab20","Trem3","C5ar1","Baz2b","Fbxo11","Rac2"
"190","Gadd45b","Qk","Gadd45a","Mctp2","Notch2","Arpc2"
"191","Cyth1","Lamp1","Sell","Pde4b","Sp100","Fam134b"
"192","Actr3","Irak2","Etf1","Etf1","Sepn1","Cyba"
"193","Jdp2","Rapgef6","Fmnl1","Slc40a1","Tnfrsf1b","Pbx1"
"194","Elmo1","Jak1","Sp140","Grina","Eif4a1","Slc15a3"
"195","Per1","Fam49b","Rab7","Calm2","Jund","Adam17"
"196","Stk17b","Myl12b","Clec4e","Ankrd44","Cd52","Cd300a"
"197","Nlrp3","Btbd9","Chst11","Samhd1","Zcchc6","Gpr132"
"198","Arfgef2","Dusp5","Gng5","Amica1","Ddx3x","Arih2"
"199","Grina","Plac8","Rnf149","Hspa8","2810474O19Rik","Snx20"
"200","Ccl3","Map1lc3b","Cd53","Cd84","Slfn4","Itm2b"
