"","SC78_8_factor1","SC78_8_factor2","SC78_8_factor3","SC78_8_factor4","SC78_8_factor5"
"48","Isg15","Wnk1","Lst1","Lmnb1","Lrg1"
"49","Irg1","Rps26","Eif1","Il1rn","Eif1"
"50","S100a11","Jun","Ccrl2","H3f3a","Mrgpra2b"
"51","Rnf149","Rps27","Jund","Clec4d","Nedd9"
"52","Trem1","Rpl28","Txn1","Fcer1g","H2-D1"
"53","Btbd9","Rpl18a","Hp","Msrb1","Slc16a3"
"54","Btg2","Rpl21","Gcnt2","Pde4b","Mxd1"
"55","Pim1","Rbm25","Lmnb1","Fau","mt-Co1"
"56","Plaur","Rpl14","Rnf149","Ifitm1","Cd14"
"57","Picalm","Lncpint","Zfp36l2","Tpt1","Hmgb2"
"58","Tyrobp","Rps15a","Cxcr2","Neat1","Arpc1b"
"59","Tiparp","Rpl17","Marcks","Nfkb1","Arhgdib"
"60","Fxyd5","Gnas","Arg2","Arg2","Cyba"
"61","Tpt1","Rpl36","Plek","Ets2","Gnai2"
"62","Cmip","Rps12","Gadd45b","Btg2","Ifitm3"
"63","Msrb1","Arhgap15","Ddx5","Tnfaip3","BC100530"
"64","H3f3a","Hnrnpf","Skap2","Litaf","Fau"
"65","Ptprc","Rpl26","Hmgb2","Tnfaip2","Itm2b"
"66","Pik3ap1","Cst3","Fxyd5","S100a11","Arpc3"
"67","Fcer1g","Morf4l1","Lcp1","Mapkapk2","Gda"
"68","Ddx5","Rps16","Atf3","Rps9","Mgst1"
"69","Rabgef1","Rps6","Ube2h","Marcks","Arpc2"
"70","Csf3r","Ptma","Osbpl9","Ptafr","Glrx"
"71","Lilrb4a","Hspa8","B2m","Tpd52","Myl6"
"72","Braf","Csf1","Lyn","Dusp16","App"
"73","Rps9","Cnbp","Socs3","Il1r2","Mcl1"
"74","Lyn","Diaph2","Cmip","B2m","Cd9"
"75","Baz2b","Rbm39","Gab2","Ptprj","Fcer1g"
"76","Ccr1","Gls","Ddx6","Samsn1","Pkm"
"77","Arpc3","mt-Nd5","Polr2a","Csf3r","Iqgap1"
"78","Ctnnb1","Ptp4a2","Gm5150","Ptprc","Lsp1"
"79","Gab2","Prrc2c","Fam49b","Ddx5","Stfa2l1"
"80","Ankrd33b","Rps28","Pbx1","Pnrc1","Tpt1"
"81","Sorl1","Gm10076","Alox5ap","Sgms2","Ubb"
"82","Osbpl9","Ubb","Pim1","Cd9","Junb"
"83","Emilin2","Uba52","Tsc22d3","Chst11","Arpc5"
"84","Ptprj","Inpp5d","Lyst","Rab8b","Ifitm1"
"85","Fau","Malat1","Tpt1","Slc7a11","Mmp9"
"86","Rab7","Foxp1","Taldo1","Lst1","Mrpl33"
"87","Fam134b","Akap13","Coro1a","Fxyd5","Cdc42"
"88","Wfdc17","Rpl22","Snap23","Txn1","Btg1"
"89","H2-D1","Atp2b1","Stat3","H2-K1","Actr3"
"90","Il1rap","Arih1","Pfn1","2810474O19Rik","Lyz2"
"91","Igf1r","Vps13b","Cd84","Wfdc17","H3f3b"
"92","March7","Btf3","Zfand5","Snap23","Myl12b"
"93","Ncf2","Cd47","Ssh2","Cd44","Gmfg"
"94","Dennd4a","Eef2","Map1lc3b","Lilrb4a","Cfl1"
"95","Cyth1","Calm1","Ncf2","Hcar2","Grina"
"96","Arg2","Eef1b2","Syk","Trem1","Sgms2"
"97","Basp1","Cox8a","Sat1","Ehd1","Trem1"
"98","Pde7b","Hnrnpa2b1","Fgl2","Ubb","Fxyd5"
"99","Lamp2","Cdc42","Pla2g7","Erbb2ip","Atxn10"
"100","Atp2b1","Rps25","Akap13","Lcp1","Sh3bgrl3"
"101","Ccnl1","Pan3","Iqgap1","Ankrd33b","Msra"
"102","Grina","Pitpna","Hcar2","Antxr2","Gpx1"
"103","Cd53","Peli1","March7","Entpd1","Cotl1"
"104","Stk17b","Srrm2","Ets2","Lrg1","Ddx5"
"105","Nedd9","Ankrd44","Xylt1","Jund","Adam8"
"106","Sp140","Pip4k2a","Svil","Kpna4","Ostf1"
"107","Gm42418","Sh3bgrl3","Gm42418","Abtb2","Litaf"
"108","Plk3","Osbpl8","Grina","Slfn2","Samsn1"
"109","Mir142hg","Dynll1","Chst11","Ier5","Rdh12"
"110","Lcp1","Ambra1","Celf2","C5ar1","Lyn"
"111","Suco","Rpl6","Entpd1","Rabgef1","Atp6v1g1"
"112","Pnrc1","Son","Il1rap","Pfn1","Clic1"
"113","Ell2","Ube2d2a","Arhgap26","Ppp1r15a","Spi1"
"114","App","Ssh2","Gadd45a","Hp","Serf2"
"115","Jdp2","Calm2","Atg3","Gm42418","Rps12"
"116","Etf1","Zcchc7","Steap4","Isg15","Arhgap15"
"117","Ifitm1","Nipbl","Calm2","Rel","Cmip"
"118","Txn1","Zfp36l2","Cytip","Arpc3","Tpd52"
"119","Hectd1","Cox4i1","Suco","Tnfrsf1b","Hdc"
"120","Fem1c","mt-Nd4l","Tnfaip2","Sema4d","Dusp1"
"121","Ddx6","Ankrd12","Ier5","Smox","Vasp"
"122","Tpm4","Pak2","Klf6","Picalm","Antxr2"
"123","Myo1d","Rbm3","Cd52","Hspa5","Rpl37"
"124","Sdcbp","Pfn1","Osm","Fgr","Picalm"
"125","Lilr4b","Gng5","Lsp1","Ncf1","Ifitm6"
"126","Vps37b","Tpt1","Fam65b","Ccl3","Lmnb1"
"127","Trib1","Ctss","Sdcbp","Actr3","Lilrb4a"
"128","Gcnt2","Ppp3ca","Igf1r","Lcp2","Fbxl5"
"129","Fosl2","Ythdc1","S100a6","Cd52","Arg2"
"130","Inpp5d","Klf2","Zyx","Nfe2l2","Zyx"
"131","Ptgs2","Dgkd","Gabarap","Casp4","Csf3r"
"132","Arih2","Chchd2","Tmcc1","Xylt1","Mctp1"
"133","Egr1","Clint1","Rap1b","Ninj1","Map1lc3b"
"134","Tnfaip2","Aff4","Ccnd3","Gabarap","Sat1"
"135","Mbnl2","Bri3","Anxa2","Rap1b","Ptprc"
"136","Dusp16","Ppia","Ifitm3","Nr4a1","Aldoa"
"137","Tlr4","Baz1a","Mbnl2","Slc16a3","Clec4d"
"138","2810474O19Rik","Dock2","Cd44","Rps27","mt-Co3"
"139","Kdm6b","Fus","Map3k5","Sorl1","Pygl"
"140","Gabarap","Pcbp2","Samsn1","Ell2","Entpd1"
"141","Lst1","Dip2b","Tspan13","Grina","Gabarap"
"142","Sntb2","Rps2","Sh2d3c","Rac2","Ncf2"
"143","Actr3","Ezr","Cd300lf","Ddx6","Fam65b"
"144","Ralgapa1","Zcchc11","Ltb","Ncf4","Ndel1"
"145","S100a6","Rps27a","Emilin2","Ccnl1","Il1r2"
"146","Hif1a","Itsn2","Trem1","Malt1","Ncf4"
"147","Ctsd","Itga4","Tspo","Dusp2","Gpsm3"
"148","Hp","Chka","Ctsd","Cmip","Cyp4f18"
"149","Mrpl33","Prdx5","Cst3","Pde7b","Stk17b"
"150","Por","Ncl","Rps27a","Ctnnb1","Pim1"
"151","Cyp4f18","Uvrag","Adgre5","Ndel1","Ccr1"
"152","Ier3","Clta","Phf21a","Coq10b","Cers6"
"153","Slc15a3","Zbtb20","Coq10b","H2-Q7","Lyst"
"154","Smchd1","Fndc3a","Mir142hg","Emilin2","Osbpl9"
"155","Iqgap1","H3f3b","Atp6v1g1","Lsp1","Notch2"
"156","Jund","Tra2b","Lilrb4a","Ccr1","Irg1"
"157","Clec4e","Fau","Irg1","Gmfg","Gng5"
"158","Ubb","Dyrk1a","Ankrd33b","Alox5ap","Cd44"
"159","C5ar1","Top1","Selplg","Fgl2","Ddx6"
"160","Map2k4","Gm20388","Pag1","Sod2","Emilin2"
"161","Lrg1","Polr2a","Etf1","Sik3","Mmp8"
"162","Snap23","Jarid2","Ccr1","Rab7","Atg3"
"163","Dusp5","Arid1b","Arpc1b","Fbxo11","Shfm1"
"164","Slfn4","Tmsb4x","Cyba","Lyn","Oaz1"
"165","Rab20","Srrm1","G0s2","Cst3","Jund"
"166","Vmp1","Rab2a","Serinc3","Rps29","Tpm4"
"167","Map1lc3b","Gnb1","Tbc1d15","Ddx3x","Cxcr2"
"168","Tgoln1","Nptn","Rac2","Atp2b1","Hif1a"
"169","Vps4b","Lst1","Fam134b","Cdk2ap2","Eno1"
"170","Skap2","Fnbp1","Cxcl2","Slc15a3","Btg2"
"171","Agpat9","Mir142hg","Spi1","Fosl2","Ctsd"
"172","Cd300lf","Naca","Csrnp1","Iqgap1","Ube2d3"
"173","Lyst","Shfm1","Clec4d","Arpc1b","Cap1"
"174","Csf2rb","Aff1","Arhgap24","Ifitm3","Sell"
"175","Slc11a1","Brk1","Ndel1","Gpcpd1","Calm1"
"176","Nlrp3","Rock1","Arpc3","Trem3","R3hdm4"
"177","Sp100","Zfp638","Rbm39","Etf1","Myh9"
"178","Arpc2","Cox7a2","Ddx3x","Arih2","mt-Co2"
"179","Coq10b","Kmt2c","Rsrc2","Jdp2","Clec4e"
"180","Selk","Serf2","Anxa1","Pla2g7","Hck"
"181","Pbx1","Abi1","Usp32","Fndc3b","Rnf149"
"182","Marcks","Rabac1","Cxcr4","Skap2","Lilr4b"
"183","Ppp1r3b","Eif5a","Gmfg","Adgre5","Uba52"
"184","Ddx3x","B2m","Ipcef1","Steap4","Rps16"
"185","Mirt1","Nufip2","Cers6","Lpcat2","Osm"
"186","Pfn1","Eif5","Gda","Basp1","Rap1b"
"187","Zcchc6","Eml4","Cdc42","Mir142hg","Lrrfip1"
"188","Snx18","Ssu72","Fcgr3","Taldo1","Rab8b"
"189","Sepn1","Ier2","Antxr2","Sat1","Kdm7a"
"190","Wnk1","Tgfb1","Lamp2","Rab11fip1","Timp2"
"191","Nfkbiz","Arpc2","Tra2a","Trib1","Gnb2"
"192","Anxa11","Xist","Cdk2ap2","Btbd9","Nfkbiz"
"193","Rap1b","Itch","Bcl6","Plaur","Glipr2"
"194","Nfe2l2","Ptbp3","Dock2","Vasp","Asprv1"
"195","Dhrs9","Usp34","Isg15","Hmgb2","Diaph1"
"196","Nudt4","Tnrc6c","Ddit3","Gm5150","Rhoa"
"197","Cdkn1a","Atf7ip","Rab7","Gpbp1","Svil"
"198","Fam107b","Gdi2","Slfn4","S100a6","Snap23"
"199","Sh2d3c","Bre","2810474O19Rik","Cfl1","Rpl9"
"200","Adam8","Ltb","Fgr","Osbpl9","Pilra"
