"","SC78_1_factor1","SC78_1_factor2","SC78_1_factor3","SC78_1_factor4"
"80","Dennd4a","Rab8b","Hmgb2","Ssh2"
"81","Tpm4","Ehd1","B2m","Jmjd1c"
"82","Fau","Slc16a3","Rps27","Lyn"
"83","Ctnnb1","Marcks","Fcgr3","Cul3"
"84","Braf","Lilrb4a","Ccrl2","Lgals3"
"85","Lyn","Fxyd5","Arhgap15","Itsn2"
"86","Picalm","Ier3","Cmip","Wdfy4"
"87","Rab7","Abtb2","Fam65b","Lnpep"
"88","Rabgef1","Trem1","Pglyrp1","Cdk13"
"89","Cyth1","C5ar1","Cxcr2","Cdc42"
"90","Rps9","Ier5","Ptgs2","Ankrd33b"
"91","Cyp4f18","Actr3","Tmcc1","Fus"
"92","Baz2b","Tnfrsf1b","Zfp36l2","Alcam"
"93","Pik3ap1","Zfp36","Samhd1","Fyb"
"94","Lst1","Fcer1g","Skap2","Itpkb"
"95","Fosl2","Ankrd33b","Grina","Apbb1ip"
"96","Jund","Mir142hg","Pbx1","Mir142hg"
"97","Sp140","Plaur","Antxr2","Laptm5"
"98","Ell2","Atp2b1","Cdc42","Coro1a"
"99","Ptgs2","Vasp","Marcks","Pbx1"
"100","Cd53","B2m","Trem1","Tpm3"
"101","Gcnt2","Snap23","Fgl2","Slc7a11"
"102","Kdm6b","Fgr","Gm42418","Rap1gap2"
"103","Tpt1","Jund","Adgre5","Kmt2e"
"104","Isg15","Rps9","Gnai2","Csde1"
"105","Osm","Lst1","Snap23","Rtn3"
"106","Gab2","Rabgef1","Arhgdib","Itpr2"
"107","Grina","Ell2","Arpc1b","Arfgef1"
"108","Taldo1","2810474O19Rik","Anxa1","Wdr26"
"109","Mrpl33","Emilin2","Alox5ap","Cd9"
"110","Vps37b","Xylt1","Clec4d","Hnrnpa2b1"
"111","Lilr4b","Cmip","Klf6","Chd7"
"112","Sdcbp","Adgre5","Rap1b","Spag9"
"113","Etf1","Ndel1","Cytip","Btbd9"
"114","Fam134b","Btbd9","Igf1r","Zhx2"
"115","Actr3","Ncf1","Pla2g7","Diaph2"
"116","March7","Rel","Cd52","Csnk1a1"
"117","Ccnl1","Nr4a1","Zyx","Ptprc"
"118","Smox","Dusp2","Osbpl9","Ube2d3"
"119","Ptprj","Ninj1","Tpt1","Diaph1"
"120","Egr1","Fau","Ccr1","Ptpn1"
"121","Arg2","Sorl1","Samsn1","mt-Nd5"
"122","Txn1","Bcl2a1b","Gmfg","Tpt1"
"123","Slc15a3","Picalm","Atf3","Sorl1"
"124","Nfkbiz","Erbb2ip","Etf1","Pde4b"
"125","Fem1c","Trib1","Myl12b","Dgkd"
"126","Sepn1","Rap1b","Rps29","Cbl"
"127","Igf1r","Slc15a3","Lyz2","Xylt1"
"128","Tnfaip2","Kpna4","Ddx6","Whsc1l1"
"129","Ralgapa1","Nedd9","Map3k5","Dyrk1a"
"130","Tlr4","Sik3","Cd84","Ankhd1"
"131","Nudt4","Lilr4b","Cyba","Tpd52"
"132","Nlrp3","Ccr1","Emb","Abi1"
"133","Pnrc1","Nr4a3","Itgal","H2-D1"
"134","Tnfrsf1b","Nfe2l2","Sat1","Mrpl33"
"135","Ier3","Lyn","Gabarap","Ube2d2a"
"136","Tiparp","Pnrc1","Sh2d3c","Sp100"
"137","Vmp1","Hspa5","Arpc2","Susd6"
"138","Zcchc6","Taldo1","Lyn","Picalm"
"139","Tgm2","Ddx3x","Plaur","Ptbp3"
"140","Por","Txn1","Cxcr4","Pafah1b1"
"141","Arih2","Pfn1","Tnfaip2","Pitpnc1"
"142","Adam8","Sema4d","Tgfbi","Notch2"
"143","Coq10b","Nadk","Cap1","Msn"
"144","Clec4e","Tpt1","H2-K1","Lyst"
"145","Myo1d","Gabarap","Ier5","Lamp2"
"146","Snap23","Ctnnb1","Spi1","Pfn1"
"147","Ddx3x","Hcar2","Ets2","Ddx3x"
"148","Inpp5d","Gcnt2","Mbnl2","Ppp6r3"
"149","Ddx6","H2-K1","Stat3","Taok1"
"150","Adgre5","Fosl2","Map1lc3b","Chd1"
"151","Il1rn","Ncf2","Gm5150","Iqgap1"
"152","Irak2","Iqgap1","Mmp9","Tyrobp"
"153","Dhrs9","Ccnl1","Myl6","Cytip"
"154","Gabarap","Tgm2","Fyb","Gng5"
"155","Ptafr","Rab20","Psap","Gls"
"156","C5ar1","Coq10b","Svil","Fgd4"
"157","Iqgap1","Fgl2","Ltb","H3f3b"
"158","Gm42418","Alcam","Hcar2","Sik3"
"159","Arhgap15","Snx18","Celf2","Luc7l2"
"160","Wnk1","Gpr132","Selplg","Cdk17"
"161","Jdp2","Fbxo11","Prdx5","Actr3"
"162","Fmnl1","Arih2","Slc16a3","Cyth1"
"163","Ccl6","Ncf4","Osm","Atp1b3"
"164","Rap1b","Cxcr4","Dock2","Gnaq"
"165","Csrnp1","Gm42418","Kras","Osbpl9"
"166","Cap1","Grina","Rpl37","Osbpl8"
"167","Mapkapk2","Cd52","March7","Far1"
"168","Anxa11","Cd53","Nfkbiz","1700112E06Rik"
"169","Hp","Smox","Lilrb4a","Gpcpd1"
"170","Pbx1","Cap1","Rac2","Irg1"
"171","Pfn1","Mrpl33","Sik3","Chd4"
"172","Hectd1","Vmp1","Chst11","Erbb2ip"
"173","Pla2g7","Fem1c","Coq10b","Irak2"
"174","Fgl2","Lsp1","Fgr","Ddx5"
"175","Kctd12","Ddx6","Mapkapk2","Clec4e"
"176","Map2k4","Arhgap15","Nr4a1","Rab8b"
"177","Stk17b","Rab11fip1","Prr13","Brd4"
"178","Diaph1","Pbx1","Gadd45b","Ppp1r12a"
"179","Lyst","Icam1","Sell","Acap2"
"180","Pde7b","Rab7","Gapdh","Slfn2"
"181","Selk","Osbpl9","Ankrd33b","Rap1b"
"182","2810474O19Rik","Baz2b","Emilin2","Dock8"
"183","Arpc2","Alox5ap","Il1rap","Inpp5d"
"184","Fos","Spi1","Gadd45a","Rps27"
"185","Ppp1r3b","Arpc2","Serinc3","Stag2"
"186","Itm2b","Arpc3","Apbb1ip","Mctp1"
"187","Rab20","Trem3","Rab8b","Tlr4"
"188","Alox5ap","Pla2g7","Sfxn5","Sept7"
"189","Mirt1","Ccl3","Serf2","Top1"
"190","D8Ertd738e","Skil","Ccnl1","Rps9"
"191","Suco","Zc3h12a","Myo1f","Stk17b"
"192","Arpc5","Ppp1r15a","Arpc3","Samsn1"
"193","Il1rap","Zfand3","Atg3","Celf2"
"194","Lsp1","Fam134b","Rhoa","Hectd1"
"195","Lamp2","Sp140","Fam32a","Fau"
"196","Slc11a1","Hck","Ptafr","Msrb1"
"197","Dusp5","Jdp2","Gpx1","Lmnb1"
"198","Cd300lf","Neurl3","Pag1","Cmss1"
"199","Cd52","Bcl2l11","Ppp1r2","Rbm25"
"200","Anxa2","Basp1","Gab2","H3f3a"
