"","SC78_5_factor1","SC78_5_factor2","SC78_5_factor3","SC78_5_factor4","SC78_5_factor5","SC78_5_factor6","SC78_5_factor7","SC78_5_factor8","SC78_5_factor9"
"39","Ier3","Rps9","Hdc","Fth1","Eef1a1","Chst11","Rac2","Lcp1","Suco"
"40","Dusp16","Tpt1","Phf21a","Isg20","Rpl21","Igf1r","Pfn1","Eif1","H3f3a"
"41","Actb","Rnf149","Lyn","H2-T23","Rpl28","Nedd9","Coro1a","Btg1","Tpt1"
"42","Il1rn","Tpm4","Dock2","Trafd1","Rps15","Rabgef1","Rplp0","Tspo","Mxd1"
"43","Ptprj","Fxyd5","Ccnd3","Slfn2","Uba52","Litaf","Rps24","Trem1","Rnf149"
"44","Pik3ap1","Tpd52","Fgr","Ddx58","Rps24","Slc16a3","H3f3a","Lrg1","Chst11"
"45","Actg1","Plaur","Txnip","Samd9l","Serf2","Osbpl9","mt-Co2","Ubb","Braf"
"46","Hdc","Irg1","Akap13","Ftl1","Lst1","Lyst","Myl6","Alox5ap","Ptprc"
"47","Mcl1","Samsn1","Rps9","Tmsb4x","Rps28","Dock2","Tspo","Picalm","Fau"
"48","Ncf1","Ndel1","Kpna4","Rnf213","Rps15a","mt-Nd5","Shfm1","Btg2","Entpd1"
"49","Ftl1","Msrb1","Arg2","Ascc3","mt-Co1","Plek","mt-Co3","Rnf149","Etf1"
"50","Ehd1","Lmnb1","Tyrobp","Cebpb","Rpl24","Irg1","Plaur","Taldo1","Inpp5d"
