"","SC78_2_factor1","SC78_2_factor2","SC78_2_factor3","SC78_2_factor4","SC78_2_factor5","SC78_2_factor6","SC78_2_factor7","SC78_2_factor8"
"25","Sgms2","Rpl30","Birc3","Ets2","Fau","Cmip","Cmip","Pbx1"
"26","Eif1","Malat1","Pim1","Atp2b1","Gapdh","Btbd9","Samsn1","Lyst"
"27","Il1rn","mt-Nd3","Rab8b","Tyrobp","Txn1","Spag9","Dennd4a","Fam49b"
"28","Pim1","Rpl17","Mxd1","Mcl1","Cxcl2","Sik3","Plek","Stk17b"
"29","Marcksl1","Rplp2","Icam1","Lmnb1","Taldo1","Ifitm2","Ndel1","Gpcpd1"
"30","Dusp16","Rps23","Il1rn","Tpt1","Cebpb","Clec4d","Ankrd33b","Tpd52"
"31","Clec4d","Gm42418","Dusp2","Litaf","Mgst1","Il1r2","Actg1","Actg1"
"32","Clec4e","Rps16","Junb","S100a11","Msra","Plaur","Nedd9","Mxd1"
"33","Pde4b","Rps29","Ptafr","Fau","Pfn1","Dusp1","S100a8","Cxcr2"
"34","Ftl1","Rpl41","Erbb2ip","Xylt1","Coro1a","Fxyd5","Lyn","H3f3a"
"35","S100a11","Ccnd3","Hdc","Csf3r","Il1b","Ftl1","Pik3ap1","Btg2"
"36","Btg1","Rpl34","Ptprj","Rps9","Prdx5","Fam107b","Kpna4","Entpd1"
"37","Entpd1","Rpl10","Zfp36","Clec4d","Gm5483","Slc16a3","Baz2b","Hdc"
"38","H3f3a","Rps27a","Rnf149","Cd9","Anxa1","Lyn","Rabgef1","Klf2"
"39","Ifitm2","Rps12","Tnfaip2","Dennd4a","Slc16a3","Ndel1","Dusp1","Zfp36l2"
"40","Hdc","Runx1","Mapkapk2","Kpna4","Lgals3","S100a11","Lmnb1","Rnf149"
"41","Antxr2","Rbm39","Pde4b","Entpd1","Lcp1","Diaph1","Btg1","Celf2"
"42","Nlrp3","Rps8","Nr4a1","Hdc","Mmp9","Fth1","Pde7b","Cebpb"
"43","S100a6","Rps27","Ptgs2","Btg2","Hp","Cd53","Atp2b1","Map3k5"
"44","Lcp1","Gm10076","Pik3ap1","Lst1","Arpc3","Mxd1","Osbpl9","Mcl1"
"45","Irak2","Ubb","Dennd4a","H3f3a","Anxa2","Msrb1","Lilrb4a","S100a11"
"46","Cd44","Uba52","G0s2","Pim1","Tpt1","Gm26740","Litaf","Gcnt2"
"47","Slc7a11","Tpt1","Neat1","Zfp36","H2-D1","Ctnnb1","Smox","Tmcc1"
"48","Kdm6b","Rpl24","Ehd1","Fxyd5","Mcemp1","Tpt1","Tpd52","Akap13"
"49","Tyrobp","Fth1","Cd274","Rnf149","Malat1","Runx1","Mxd1","Marcks"
"50","Pik3ap1","Oaz1","Ftl1","Slc16a3","Cd52","Cxcl2","Zeb2","Phf21a"
"51","Spag9","Ftl1","B2m","Ptprc","Rac2","S100a8","mt-Co1","Arhgap15"
"52","Ptprj","Rpl39","Actb","Ifitm2","Rps27a","Ptprc","Braf","Skap2"
"53","Msrb1","Rpl38","Mcl1","Tpd52","Grina","Fcer1g","Slc16a3","Litaf"
"54","H3f3b","Prrc2c","Rel","Vps37b","H3f3b","Sgms2","Arhgap15","Pag1"
"55","Arg2","Rps25","Spag9","H2-D1","Mxd1","Pim1","Cd9","Cmip"
"56","H2-D1","Eif1","Actg1","Neat1","Itm2b","Tgm2","mt-Co3","Cers6"
"57","Nedd9","Rpl18","H2-D1","Irg1","Arhgdib","Picalm","Tiparp","Arg2"
"58","Lmnb1","Fau","Dusp1","Samsn1","Alox5ap","Ncf2","Fth1","Tyrobp"
"59","Mcl1","H3f3b","Tnfrsf1b","Ddx5","Adam8","Tlr4","App","Rps9"
"60","Cd9","Rps3","Marcks","Cxcr4","Arpc5","Ccr1","Ptgs2","Svil"
"61","Samsn1","Ybx1","Eif1","Sik3","Hmgb2","Arpc2","Dock2","Txn1"
"62","Ets2","Tmsb4x","Fgr","Mxd1","Prr13","Baz2b","Sorl1","Ncf2"
"63","Csf3r","Rps24","Slfn2","Slc7a11","Pglyrp1","Trem1","Plaur","Ubb"
"64","Btg2","Btf3","Lcp2","Ccrl2","Cd9","Hectd1","Ralgapa1","Btg1"
"65","Marcks","Rpl28","Clec4d","Fcer1g","Myl6","Egr1","mt-Co2","Iqgap1"
"66","Plaur","Ankrd17","Ccl3","Antxr2","Trem1","Trib1","Fam134b","Lst1"
"67","Ehd1","Cst3","Btg1","Egr1","Cap1","Neat1","March7","Cxcr4"
"68","Litaf","Eif5","Tyrobp","Alcam","Mmp8","S100a6","Igf1r","Lcp1"
"69","Ier3","Ptp4a2","Ptprc","Chst11","Gnai2","Mrpl33","Ell2","Slc7a11"
"70","Ptprc","Ncf1","Cd9","Ndel1","Cyba","Lmnb1","Ptprc","Igf1r"
"71","Rps9","Pafah1b1","Lmnb1","Txn1","Iqgap1","Litaf","Cyth1","Klf6"
"72","Tpd52","Prdx5","Hcar2","Coq10b","Arpc2","Isg15","Basp1","Ipcef1"
"73","Fgr","Ppp1r12a","Cd44","Ifrd1","Antxr2","Fam134b","Picalm","Lyn"
"74","Actr3","Gnaq","Cd14","Wnk1","Btg1","Samsn1","Nfkbiz","Lmnb1"
"75","Txn1","Lrrc8d","Dock10","Ddx3x","Fcer1g","Ier3","Nlrp3","H2-D1"
"76","Chst11","Rpl37","Chst11","Fos","Ifitm2","Snx18","Ccnl1","Prkcb"
"77","Il1r2","Atp6v0b","Dusp16","Cd14","Sgms2","Gab2","Mcl1","Stat3"
"78","Trem1","Serf2","Sgms2","Tnfaip2","Cd14","Plk3","Gcnt2","Jund"
"79","Birc3","Rab2a","Ncf1","Plaur","Lsp1","Nudt4","Sp140","Osbpl9"
"80","Ptafr","Wnk1","Ets2","Rab7","Il1r2","Gcnt2","Ddx6","Ccl6"
"81","C5ar1","Elf1","Csf1","Fgl2","Map1lc3b","C5ar1","Gab2","Fau"
"82","Vasp","B2m","Litaf","Sgms2","Pkm","Btg2","Ets2","Tsc22d3"
"83","Fxyd5","Rps2","Nr4a3","Ankrd33b","Rdh12","Lst1","Mirt1","Ncor1"
"84","Dennd4a","Atp6v1f","Ifitm2","Basp1","Serf2","Inpp5d","Junb","Ifitm2"
"85","Lilrb4a","Itpkb","Rabgef1","Ncf2","Gda","Pfn1","Lilr4b","Trps1"
"86","Fcer1g","Rpl21","H2-K1","Ubb","Arpc1b","Fosl2","Fem1c","Camk1d"
"87","Rab8b","Gng5","Samsn1","Sorl1","Gabarap","Slc7a11","Dusp16","Ddx6"
"88","Tpt1","Dennd4a","Msrb1","Csrnp1","Dusp1","Emilin2","Actb","Xylt1"
"89","Fau","Whsc1l1","Bcl2a1b","Etf1","Stfa2l1","Vmp1","Ptprj","Elmo1"
"90","Ndel1","Dlg1","Ier3","Picalm","Arhgap15","Csf3r","Ctnnb1","Taldo1"
"91","Lcn2","Cyba","Ninj1","Taldo1","Sell","Tpm4","Cyp4f18","Gm42418"
"92","Snx18","Derl1","Casp4","Rabgef1","Gmfg","Fem1c","Cd14","Usp32"
"93","Smox","Kif5b","Ankrd33b","Gab2","Mcl1","Junb","Arg2","Samsn1"
"94","Mapkapk2","H2-D1","Lilrb4a","March7","Irg1","Ets2","Map2k4","Cd44"
"95","Ier5","Rap1b","Sema4d","Ccr1","Glrx","Il1rap","Lyst","Plek"
"96","Slc16a3","Rpl7","Slc7a11","Pnrc1","Lmnb1","Tpd52","Plk3","Ddx5"
"97","Ptgs2","Rps9","Atp2b1","Plk3","Cyp4f18","Smox","Elmo1","Sfxn5"
"98","Ddx5","Hspa8","Ctsz","Emilin2","Fxyd5","Rnf149","Trib1","S100a6"
"99","Ccl6","Shfm1","H3f3b","Irak2","Samsn1","Cdk17","Emilin2","Snap23"
"100","2810474O19Rik","Rpl13a","Ddx5","Osm","Lyn","Map2k4","Ccr1","Fxyd5"
