"","SC78_9_factor1","SC78_9_factor2","SC78_9_factor3","SC78_9_factor4","SC78_9_factor5","SC78_9_factor6","SC78_9_factor7"
"57","Litaf","Fam134b","B2m","Jmjd1c","Tpd52","Rps13","Tyrobp"
"58","Grina","Npepps","Ptgs2","Kdm7a","Socs3","Plin2","Myl6"
"59","Spag9","Rab7","Ifitm2","Ipcef1","Fxyd5","Ppia","Anxa2"
"60","Fau","Pfkp","Antxr2","Fam49b","Lsp1","Kpna4","Arpc1b"
"61","Fxyd5","P4ha1","H3f3a","Whsc1l1","Pglyrp1","Rpl38","Ftl1"
"62","Sik3","Junb","Tnfaip2","Srgn","H3f3b","Btg2","Mgst1"
"63","Samsn1","Kpna4","Snap23","Cd44","Zyx","Tsc22d3","Rpsa"
"64","Cd44","Litaf","Picalm","Il18rap","Coro1a","Rps3a1","Gpx1"
"65","Plin2","Lyst","Tpt1","Trps1","Picalm","Hspa8","Vasp"
"66","Ddx5","Neat1","Rps9","Stk17b","Pfn1","Mir142hg","Txn1"
"67","Pfn1","Igf1r","Pnrc1","Lcp1","Txn1","Rpl19","Rps27a"
"68","Alcam","H2-K1","Ier5","Iqgap1","Hdc","Mcl1","Shfm1"
"69","Arg2","Gm5483","Irf1","Map3k5","Cxcr2","Rpl30","Gpi1"
"70","Stx11","Ppp1r3b","Nlrp3","Cd84","Btg2","Saa3","Adpgk"
"71","Stfa2","Phf21a","Fau","Rassf3","Gda","Ier5","Prr13"
"72","App","Ctsb","Ppp1r15a","Ube2h","Eif1","Serf2","Taldo1"
"73","Nedd9","Rps27","Lilrb4a","Camk1d","Ifitm3","Rpl37a","Arpc2"
"74","Snx18","Ap3s1","Ddx5","Nedd9","Rac2","Rplp1","Itm2b"
"75","mt-Co2","Clec4d","Trem1","Vav3","Taldo1","Cox8a","Pkm"
"76","Ctnnb1","Arid5b","2810474O19Rik","Atxn1","Stk17b","Hmgb2","Sri"
"77","Osbpl9","Gadd45b","Csf3r","Cask","Atp6v1g1","Polr2a","Dstn"
"78","Il1rap","H3f3a","Ubb","Tmsb4x","Gpcpd1","Rps11","Gnai2"
"79","H2-D1","Emilin2","Abtb2","Pip5k1b","Rps29","Rpl34","Ostf1"
"80","Hilpda","Osbpl9","Wfdc17","Txnip","Mxd1","Gng5","H2-D1"
"81","Msrb1","Tpd52","Tpd52","Ddx6","Arpc3","Rpl37","Hmgb2"
"82","Junb","Grina","Gm42418","Cpd","Cyba","Ddx5","Fcer1g"
"83","Ccl6","Hmox1","Kpna4","Tpd52","Arg2","Ier2","Calm1"
"84","mt-Atp6","Gm42418","Clec4d","Myo1f","Litaf","Ccnd3","Arpc5"
"85","Ets2","G0s2","Ccnl1","Diaph1","Fbxl5","Cd52","Cotl1"
"86","Ncf2","Hif1a","Ptprc","Mxd1","mt-Co2","Rbm3","Gm8730"
"87","Klhl2","mt-Co3","Rab8b","1700112E06Rik","Lmnb1","Rabac1","Eef1a1"
"88","Lcp1","Elmo1","C5ar1","Zfand3","Ddx5","Socs3","Msrb1"
"89","Cyth1","Rlf","Jund","Med13l","Selplg","Gm26825","Atxn10"
"90","mt-Co3","Hectd1","Rap1b","App","Cxcl2","Rpl8","Rps29"
"91","Cd52","Fcer1g","Ddx6","Tmem164","Rpl37","Dennd4a","Serf2"
"92","Fcer1g","Spag9","H2-K1","Klf2","Iqgap1","Cyba","Rplp0"
"93","Rnf149","Cd300lf","Rabgef1","Rlf","Mmp8","Csf3r","Actr3"
"94","Rdh12","Tmem189","Ankrd33b","Numb","Jun","Adgre5","Ncf4"
"95","Sorl1","Rps29","Rbm39","Stat3","Prdx5","Hist1h2bc","Ubb"
"96","Coro1a","Actb","Slfn2","Mctp2","Pim1","Calm2","R3hdm4"
"97","Lyn","Ostf1","Fbxl5","Actb","Sat1","Lrg1","Gmfg"
"98","Hif1a","Egln3","Nfe2l2","Rbm47","Vim","Rpl18","Glrx"
"99","Jdp2","Actg1","Nfkb1","Dusp1","Pkm","Rps8","Fau"
"100","Asprv1","Samsn1","Coq10b","Samhd1","Dennd4a","Stk17b","Vim"
"101","Csf3r","mt-Co1","Oser1","Atp11b","Anxa2","Rps5","Pygl"
"102","Ccr1","Btg1","H2-Q7","Fyb","Gm26825","Neat1","AA467197"
"103","Tpm4","Xylt1","Hcar2","Tbc1d14","Pla2g7","Lsp1","Rps4x"
"104","Rps27a","Gabarap","Bcl2l11","Il1rap","Mcemp1","Pfdn5","Cdc42"
"105","Lcn2","Pik3ap1","Ubc","Syk","mt-Atp6","Rpl21","Arpc3"
"106","Arpc2","Map1lc3b","Cmip","Bcl6","mt-Co3","B2m","Msra"
"107","Bcl2l1","Fxyd5","Marcks","Wfdc17","Ier2","Ubc","Cfl1"
"108","Fosl2","Fcgr3","Tra2a","Ncf2","Gnai2","Klf6","Cd9"
"109","Tspo","Msra","Ptprj","Mtus1","Mtus1","S100a11","Eif1"
"110","Iqgap1","1700112E06Rik","Iqgap1","Rfwd2","Arhgap15","Atp6v0e","Srgn"
"111","Adam8","Ptgs2","Ddx3x","Luc7l2","Ube2h","Igfbp6","Rps20"
"112","Neat1","Ctsd","Hspa5","Ptbp3","Ptprc","Rpl13a","Lcp1"
"113","Hp","Fmnl2","Tyrobp","Hectd1","Arpc1b","Fgl2","Cebpb"
"114","Ctsd","Cd53","Chst11","Mirt1","Rps27","Rhoa","Ncf1"
"115","Lilrb4a","Smox","Sgms2","Ppp1r12a","Gmfg","Rpl10","Slfn4"
"116","Igf1r","Fnip2","Erbb2ip","Fndc3b","Cdc42","Itm2b","Anxa11"
"117","Stk17b","Atp6v1a","mt-Co1","Mef2a","Mir142hg","Serinc3","Mettl9"
"118","Actr3","Txn1","Msrb1","Tnrc6b","Ncf2","Txn1","Rps12"
"119","Gapdh","Lilrb4a","Adgre5","Hipk1","Fcgr3","Rps28","Itgam"
"120","Ptprc","Hsp90aa1","Osbpl9","Map3k3","Cers6","Hspa5","Actn1"
"121","Map1lc3b","Wwp2","Etf1","Rnf149","Svil","Rpl24","Oaz1"
"122","Zyx","Rsrp1","Fcer1g","Fgd4","Clic1","Rps25","Pgd"
"123","Cd53","Bsg","Suco","Itga4","BC117090","Ccrl2","Cnn2"
"124","Mcemp1","Rbpj","Rps27","Arhgap24","Osm","Gabarap","Rpl37a"
"125","Arhgap15","App","Clk1","Alcam","Hspa8","Il1r2","Mcemp1"
"126","Lilr4b","Chd7","Lcp1","Kpna4","Trem1","Arpc3","Rpl7"
"127","Ccnl1","mt-Atp6","Casp4","Notch2","Arpc2","Pim1","Rps10"
"128","Lamp2","Soat1","Entpd1","Susd6","Itm2b","Rpl11","Mrgpra2b"
"129","Ppp1r3b","Atp2b1","Adam17","Osbpl9","Ncf4","Pfn1","Cap1"
"130","Notch2","Upp1","S100a11","Gm26740","Rps16","AF251705","Myl12b"
"131","Dusp16","Pfkl","Sema4d","Zeb2","Gpx1","Cox4i1","Clic1"
"132","Dusp1","Cd274","Lyn","Atp2b1","App","Rbm39","Rps16"
"133","Clic1","Tyrobp","Csrnp1","Pten","Eif4ebp1","Gm2a","Cd24a"
"134","Irg1","Etf1","Tnfrsf1b","Ncor1","Cd300lf","mt-Co1","Plaur"
"135","Anxa1","Ddx5","Rps29","Pam","Ier5","Rpl35a","Ceacam10"
"136","Map2k4","Higd1a","Lilr4b","Rock1","Rpl41","Rps7","Cd14"
"137","Ddx6","Gla","Nr4a1","Fcho2","Gabarap","Rpl13","Pnkp"
"138","Gm42418","Ccl3","Lcp2","Nipbl","Rnf149","Coro1a","Mrpl33"
"139","Arpc5","Atf3","Rel","Gnaq","Ccr1","Alox5ap","Grina"
"140","Rap1b","Tbc1d15","Ncf1","Lamp2","Glrx","Cdk2ap2","H3f3b"
"141","Gda","Ankrd12","Klf2","Plcl2","Spi1","Gm5150","Dhrs7"
"142","Sub1","Cd14","Irak2","Msn","Atg3","Litaf","Gng5"
"143","Ptprj","Rabgef1","Cd44","Pan3","G0s2","Arpc1b","Mcl1"
"144","Por","B2m","App","Braf","Sorl1","H2-K1","Ldha"
"145","Diaph1","Sik3","Arf4","Il6ra","Rpl9","Zfand5","Rpl19"
"146","Gabarap","Plek","Fxyd5","Cd33","Emb","Calm1","Rpl23"
"147","Rabgef1","Il1b","Rsrp1","Dhrs9","Atxn10","Cfl1","Ifitm1"
"148","Btg2","Ankrd33b","Gpcpd1","Cxcr2","Mrpl33","Eef1a1","Arhgap15"
"149","Mrpl33","Rsrc2","Skap2","Xpr1","Lyn","Ctsd","Fpr2"
"150","Cdc42","Ccr1","Rab11fip1","Pnpla7","Ctsd","Gcnt2","G0s2"
"151","Selk","Eif5","Lpcat2","Sirpb1a","Stat3","mt-Co3","Gnb2"
"152","Rps29","Rgcc","Syk","Crebrf","Mmp9","Oaz1","Ctsd"
"153","Prdx5","Pim1","Ctnnb1","Foxp1","Cd33","H2afj","Aldoa"
"154","Sdcbp","Nfil3","Igsf6","Ankrd11","Hsp90aa1","Sub1","Mapk13"
"155","Baz2b","Hk2","Stat3","Klf6","Myl12b","Ptprc","Rpl9"
"156","Plek","Gsn","Klf6","Pygl","Akap13","Cd84","Iqgap1"
"157","Eif4a1","Isg15","mt-Co3","Pla2g7","Cfl1","Rap1b","Flna"
"158","Zcchc6","Dedd2","Hp","Nt5c2","Aldoa","S100a8","Rhoa"
"159","Suco","Ppp1r15a","N4bp1","Stk38","Pygl","Wfdc17","Pirb"
"160","Ubb","Zeb2","Sod2","Chst11","Rps10","Rps12","mt-Cytb"
"161","Kpna4","Mxd1","Sorl1","Il1r2","Steap4","Cdc42","Gm42418"
"162","Rbm39","Lamp2","Ccr1","Slpi","Ostf1","Cirbp","Rpl34"
"163","Ier3","Gng5","Arih2","March1","Tgfbi","Gmfg","Rps11"
"164","Sat1","Wsb1","Emilin2","Gtdc1","Asprv1","Txnip","Rps3"
"165","Rsrp1","Dusp1","mt-Co2","Antxr2","Zfand5","Rps15","Vsir"
"166","Myl6","Sat1","Arih1","Ndel1","Nfkbiz","Hnrnpf","Mbd2"
"167","Rbms1","Retnlg","Cd300lf","Grina","Cd14","Atp5l","Uba52"
"168","Lsp1","Bri3","Stk17b","Ptpn12","Gadd45a","Hist1h1c","Spi1"
"169","Cfl1","Atf4","Lrg1","Lilrb4a","Myl6","Mxd1","Unc119"
"170","Etf1","Slc16a3","Pfn1","Mir142hg","Pag1","Rps24","Cd47"
"171","Txn1","Agpat9","Gab2","Acap2","Ddx6","Gab2","Rpl39"
"172","Lrrfip1","Ddit3","Susd6","Atp8a1","Ndel1","Btf3","Fam65b"
"173","Pde7b","Tnfrsf23","Srsf5","Rap1b","Cdkn2d","Sh3bgrl3","Myh9"
"174","Cd300lf","Chmp4b","Gsap","Btg1","Hcst","Hdc","1110008F13Rik"
"175","Rps27","Bhlhe40","Xylt1","Kmt2e","Gpi1","Pla2g7","Rpl41"
"176","Jund","mt-Co2","Arhgap26","Zswim6","Snap23","Myl6","Cmah"
"177","Rab7","Lgals3","Slc7a11","Slc40a1","Serf2","Egr1","Rps19"
"178","Cxcr2","Tmbim6","Actr3","Rapgef6","Chil1","Pnpla2","Plac8"
"179","Pnrc1","Klf6","Egr1","Rnf144a","Gm42418","Rpl6","Dach1"
"180","Cyp4f18","Ptbp3","Ctsb","Dock11","Il1rap","Srsf5","Syne1"
"181","Fbxl5","Irg1","Il1rap","Sell","Arhgap24","Gm20388","Hmgn2"
"182","Fam134b","Atp11b","Cd53","Tsc22d3","Zfp36l2","Ncf4","Rap1b"
"183","Glrx","March7","Fgr","Arih1","Cyp4f18","Gm10076","Plp2"
"184","Rab20","Ifitm3","Fndc3b","Vmp1","Sub1","Cytip","Mxd1"
"185","Cyba","Fus","Sdcbp","March7","Plaur","mt-Atp6","Eno1"
"186","Rac2","Fndc3a","Mbnl2","Adam19","Rpl18a","Ddit3","Ube2d3"
"187","Arpc1b","Ptp4a1","Arpc3","Mcl1","Eno1","Rac2","Gpsm3"
"188","Pla2g7","Ctsz","Sik3","Mtmr3","Gng5","Chchd2","Arpc4"
"189","Btbd9","Egr1","Fbxo11","Junb","Skap2","Sat1","Cox4i1"
"190","Ube2d3","Rps9","Igf1r","Gm20388","Fam49b","Rsrp1","Rps15a"
"191","Fam107b","Stfa2l1","Lamp2","Hdac4","Emilin2","Emb","Rpl28"
"192","Clec4e","Plekhm2","Ndel1","Trp53inp1","Arhgdib","Clic1","Gsr"
"193","March7","Arg2","Serinc3","Tbl1xr1","Lilrb4a","Rps15a","Gabarap"
"194","Fcgr3","Bnip3l","Rpl41","Wipf1","Tsc22d3","Myl12b","Rps3a1"
"195","Tiparp","Msrb1","Ninj1","Dmxl2","C5ar1","Tmem59","Lamtor4"
"196","C5ar1","Picalm","Ehd1","Diaph2","Calm1","Ddx3x","Rps13"
"197","Fem1c","Rbm39","Ell2","Asxl1","Samhd1","Arpc2","Fis1"
"198","Trem3","Stat3","Fosl2","Sfxn5","Actr3","H2afz","Cdkn2d"
"199","Ostf1","Cdc42","Gabarap","Litaf","B2m","Taldo1","Rpl37"
"200","Cd33","Nedd9","Dock2","Kmt2c","Kdm7a","Rpl32","Ncf2"
