"","SC78_9_factor1","SC78_9_factor2","SC78_9_factor3","SC78_9_factor4","SC78_9_factor5","SC78_9_factor6","SC78_9_factor7"
"57","Litaf","Fam134b","B2m","Jmjd1c","Tpd52","Rps13","Tyrobp"
"58","Grina","Npepps","Ptgs2","Kdm7a","Socs3","Plin2","Myl6"
"59","Spag9","Rab7","Ifitm2","Ipcef1","Fxyd5","Ppia","Anxa2"
"60","Fau","Pfkp","Antxr2","Fam49b","Lsp1","Kpna4","Arpc1b"
"61","Fxyd5","P4ha1","H3f3a","Whsc1l1","Pglyrp1","Rpl38","Ftl1"
"62","Sik3","Junb","Tnfaip2","Srgn","H3f3b","Btg2","Mgst1"
"63","Samsn1","Kpna4","Snap23","Cd44","Zyx","Tsc22d3","Rpsa"
"64","Cd44","Litaf","Picalm","Il18rap","Coro1a","Rps3a1","Gpx1"
"65","Plin2","Lyst","Tpt1","Trps1","Picalm","Hspa8","Vasp"
"66","Ddx5","Neat1","Rps9","Stk17b","Pfn1","Mir142hg","Txn1"
"67","Pfn1","Igf1r","Pnrc1","Lcp1","Txn1","Rpl19","Rps27a"
"68","Alcam","H2-K1","Ier5","Iqgap1","Hdc","Mcl1","Shfm1"
"69","Arg2","Gm5483","Irf1","Map3k5","Cxcr2","Rpl30","Gpi1"
"70","Stx11","Ppp1r3b","Nlrp3","Cd84","Btg2","Saa3","Adpgk"
"71","Stfa2","Phf21a","Fau","Rassf3","Gda","Ier5","Prr13"
"72","App","Ctsb","Ppp1r15a","Ube2h","Eif1","Serf2","Taldo1"
"73","Nedd9","Rps27","Lilrb4a","Camk1d","Ifitm3","Rpl37a","Arpc2"
"74","Snx18","Ap3s1","Ddx5","Nedd9","Rac2","Rplp1","Itm2b"
"75","mt-Co2","Clec4d","Trem1","Vav3","Taldo1","Cox8a","Pkm"
"76","Ctnnb1","Arid5b","2810474O19Rik","Atxn1","Stk17b","Hmgb2","Sri"
"77","Osbpl9","Gadd45b","Csf3r","Cask","Atp6v1g1","Polr2a","Dstn"
"78","Il1rap","H3f3a","Ubb","Tmsb4x","Gpcpd1","Rps11","Gnai2"
"79","H2-D1","Emilin2","Abtb2","Pip5k1b","Rps29","Rpl34","Ostf1"
"80","Hilpda","Osbpl9","Wfdc17","Txnip","Mxd1","Gng5","H2-D1"
"81","Msrb1","Tpd52","Tpd52","Ddx6","Arpc3","Rpl37","Hmgb2"
"82","Junb","Grina","Gm42418","Cpd","Cyba","Ddx5","Fcer1g"
"83","Ccl6","Hmox1","Kpna4","Tpd52","Arg2","Ier2","Calm1"
"84","mt-Atp6","Gm42418","Clec4d","Myo1f","Litaf","Ccnd3","Arpc5"
"85","Ets2","G0s2","Ccnl1","Diaph1","Fbxl5","Cd52","Cotl1"
"86","Ncf2","Hif1a","Ptprc","Mxd1","mt-Co2","Rbm3","Gm8730"
"87","Klhl2","mt-Co3","Rab8b","1700112E06Rik","Lmnb1","Rabac1","Eef1a1"
"88","Lcp1","Elmo1","C5ar1","Zfand3","Ddx5","Socs3","Msrb1"
"89","Cyth1","Rlf","Jund","Med13l","Selplg","Gm26825","Atxn10"
"90","mt-Co3","Hectd1","Rap1b","App","Cxcl2","Rpl8","Rps29"
"91","Cd52","Fcer1g","Ddx6","Tmem164","Rpl37","Dennd4a","Serf2"
"92","Fcer1g","Spag9","H2-K1","Klf2","Iqgap1","Cyba","Rplp0"
"93","Rnf149","Cd300lf","Rabgef1","Rlf","Mmp8","Csf3r","Actr3"
"94","Rdh12","Tmem189","Ankrd33b","Numb","Jun","Adgre5","Ncf4"
"95","Sorl1","Rps29","Rbm39","Stat3","Prdx5","Hist1h2bc","Ubb"
"96","Coro1a","Actb","Slfn2","Mctp2","Pim1","Calm2","R3hdm4"
"97","Lyn","Ostf1","Fbxl5","Actb","Sat1","Lrg1","Gmfg"
"98","Hif1a","Egln3","Nfe2l2","Rbm47","Vim","Rpl18","Glrx"
"99","Jdp2","Actg1","Nfkb1","Dusp1","Pkm","Rps8","Fau"
"100","Asprv1","Samsn1","Coq10b","Samhd1","Dennd4a","Stk17b","Vim"
