"","SC78_8_factor1","SC78_8_factor2","SC78_8_factor3","SC78_8_factor4","SC78_8_factor5","SC78_8_factor6"
"34","Cd52","Actb","S100a11","Rpl34","Hdc","Plek"
"35","Pfn1","Il1rn","Atf3","Diaph2","Ubb","Btg1"
"36","Msrb1","Actg1","Rps29","Rpl23","Cxcr2","Irg1"
"37","Prdx5","Ptprj","Spag9","Rps6","Litaf","Dusp1"
"38","Tpt1","Pik3ap1","Gadd45b","Rps13","Ube2h","Samsn1"
"39","Arpc1b","Ifrd1","Gabarap","Rpl27a","Rps9","Rnf149"
"40","Cxcl2","Hdc","Ifitm1","Foxp1","Btg1","Eif1"
"41","Anxa2","Ftl1","Ddx5","Rpl35a","Lcp1","Lmnb1"
"42","Rac2","Dennd4a","Cdk2ap2","Ptp4a2","Lyst","Ptprj"
"43","H2-D1","Zfp36","Txn1","Rpl28","Ddx6","Cd9"
"44","Ubb","Mcl1","Rps16","Rbm25","Rnf149","Btbd9"
"45","Pglyrp1","Arg2","Cst3","mt-Nd4l","Arg2","Mcl1"
"46","Ifitm3","Rab8b","Fxyd5","Ccnd3","Marcks","Kpna4"
"47","Coro1a","Ifitm2","Pfn1","Rps28","Lyn","Cmip"
"48","Arhgdib","Ier3","Plek","Rps21","Pbx1","Lilrb4a"
"49","Lrg1","Clec4d","Lmnb1","Rpl22","S100a11","Plaur"
"50","Stx11","Spag9","Map1lc3b","Rpl37a","Osbpl9","Litaf"
"51","Gm5483","Marcks","Jund","Hsp90aa1","Skap2","Baz2b"
"52","Fcer1g","Mapkapk2","Pnrc1","Dock2","H3f3a","Lyn"
"53","Itm2b","Eif1","Ets2","Jun","Actg1","H3f3b"
"54","Gnai2","Ptgs2","Litaf","Rpl39","Ssh2","Sorl1"
"55","Plaur","Slc7a11","Pim1","Ssh2","Svil","Wfdc17"
"56","Cyba","Sgms2","Cxcl2","Prrc2c","Zfp36l2","Igf1r"
"57","Myl6","Btg1","Hdc","Rpl30","Hp","Ets2"
"58","Cd14","Neat1","H2-K1","Lncpint","Lrg1","App"
"59","H3f3b","Ptafr","Rpl41","Rpl6","Cmip","Nedd9"
"60","Lgals3","Ehd1","Cd14","Rpl24","Ifitm2","Osbpl9"
"61","Arpc3","Lmnb1","Rpl17","Ptma","Stat3","Ctnnb1"
"62","Mcemp1","Tpd52","Cxcr4","Pan3","Iqgap1","Ptprc"
"63","Arpc2","H2-D1","Calm2","Ankrd44","Socs3","Cyth1"
"64","Hmgb2","H3f3b","Rpl18a","Zcchc11","Tmcc1","Pik3ap1"
"65","Cfl1","Wfdc17","Arpc1b","Rps23","Celf2","Ankrd33b"
"66","Arpc5","Litaf","G0s2","Rpl36","Arhgap26","Rabgef1"
"67","Prr13","Ets2","Ptgs2","Ppp3ca","Syk","Pim1"
"68","Serf2","Ifitm1","Rps27a","Ppia","Fam65b","Junb"
"69","Slc16a3","Csf3r","Ifitm3","Hspa8","Tyrobp","Il1rap"
"70","Sh3bgrl3","Erbb2ip","Kpna4","Rps14","Hmgb2","Emilin2"
"71","Ifitm1","Tnfaip2","Tnfaip2","Morf4l1","H2-D1","Trem1"
"72","Myl12b","Ptprc","Wnk1","Nipbl","S100a6","Tiparp"
"73","Lsp1","Lilrb4a","Rpl9","Rpl26","Cd84","Gab2"
"74","Mcl1","Btg2","Ppp1r15a","Clint1","Gab2","Csf3r"
"75","Map1lc3b","Samsn1","Lrg1","Naca","Fam49b","Braf"
"76","BC100530","Rel","Neat1","Son","Lmnb1","Fam134b"
"77","Cd9","Msrb1","Gng5","Dip2b","Map3k5","Btg2"
"78","Stfa2l1","Lcp1","Trem1","Akap13","Plek","Ddx6"
"79","Cdc42","Abtb2","Rpl23","Rps2","Cers6","Ccr1"
"80","Rps16","Tyrobp","Ifrd1","Xist","Phf21a","Arg2"
"81","Lcp1","H3f3a","Arpc3","Zcchc7","Gm42418","S100a11"
"82","Gmfg","Antxr2","Cd52","Zbtb20","Jund","March7"
"83","Junb","Fcer1g","Fgl2","Gdi2","Akap13","Gm42418"
"84","Fxyd5","Slfn2","Cox8a","Prkcb","Osm","Dusp16"
"85","Mrpl33","Chst11","Serf2","Rbm39","Txn1","Ifitm2"
"86","Btg1","Entpd1","Cd44","Arih1","Gda","Dennd4a"
"87","Mrgpra2b","S100a11","Selk","Rpl41","Fau","Pde7b"
"88","Gabarap","Ankrd33b","Rps10","Osbpl8","Igf1r","Lilr4b"
"89","Atp6v1g1","Hcar2","Cd9","Rps29","Pag1","Lamp2"
"90","Rpl37","Snap23","Csf3r","Ambra1","Arhgap24","Lcp1"
"91","Mgst1","B2m","Alox5ap","Fndc3a","Il1rap","Ell2"
"92","Mxd1","Rps9","Atp2b1","Itsn2","Snap23","Fxyd5"
"93","Pkm","Cd9","S100a8","Smg1","Fcer1g","Ncf2"
"94","Clic1","Il1r2","Cfl1","Cnbp","Tsc22d3","Ccnl1"
"95","Ddx5","2810474O19Rik","Mxd1","Arid5b","Entpd1","Hectd1"
"96","Gng5","Tpt1","Calm1","Myh9","Gadd45a","Rab7"
"97","Trem1","Fau","Inpp5d","Rel","Ddx5","Suco"
"98","Ostf1","Gm42418","Zfp36","Sh3kbp1","Ccrl2","Hif1a"
"99","Glrx","Tnfrsf1b","Samsn1","Zfp638","Arhgap15","Basp1"
"100","Rps29","Casp4","Dennd4a","Aff4","Coro1a","Ftl1"
"101","Lyz2","Ddx5","Tpd52","Srrm2","Ipcef1","Gcnt2"
"102","Gpx1","Smox","Ptprc","Gls","March7","Ralgapa1"
"103","Calm1","C5ar1","Rpl39","Rpl9","Polr2a","Cd53"
"104","Oaz1","Cd44","Stk17b","Kansl1","Ncf2","Ddx5"
"105","Cotl1","Fgr","Mir142hg","Zfand3","H3f3b","Grina"
"106","Rpl9","Pnrc1","Hp","Fnbp1","Lilrb4a","Tpm4"
"107","Grina","Picalm","Ier3","Lims1","Lst1","Arpc3"
"108","Nedd9","Rabgef1","Ubc","Hnrnpa2b1","Usp32","Isg15"
"109","Rps12","Lcp2","Chst11","Cyth1","Suco","Msrb1"
"110","Jund","Sema4d","Csf1","Mycbp2","Gadd45b","Sp140"
"111","Dusp1","Sod2","Clec4e","Wnk1","Gm5150","Fem1c"
"112","Ncf4","Ddx6","Clec4d","Jarid2","Steap4","Por"
"113","Mmp9","Kpna4","Xylt1","Map4k4","Fxyd5","Stk17b"
"114","Litaf","Ncf1","Myl6","Ikzf1","Taldo1","Myo1d"
"115","Spi1","Dusp2","Atp6v1g1","Camk1d","Sh2d3c","Atp2b1"
"116","Sat1","Actr3","Rac2","Pip4k2a","Zfand5","Lyst"
"117","Gpsm3","H2-K1","Itm2b","Utrn","Grina","S100a6"
"118","Lmnb1","Trem1","Cdc42","Fam107b","Ccnd3","Iqgap1"
"119","Actr3","Malt1","Egr1","Peli1","Cd300lf","Tyrobp"
"120","Gda","Txn1","Ifi27l2a","Kmt2e","Zyx","Ppp1r3b"
"121","Cst3","Fxyd5","Gmfg","Ybx1","Xylt1","H3f3a"
"122","Samsn1","Fbxo11","Ier2","Pitpnc1","Atg3","Rps9"
"123","Cox8a","Ccl3","2810474O19Rik","Vps13b","Pim1","Actr3"
"124","Shfm1","Ell2","Tiparp","Rps26","Dock2","Nfkbiz"
"125","Il1r2","Lrg1","Rps13","Pitpna","Pde4b","Tlr4"
"126","Iqgap1","H2-Q7","Ier5","Ppp1r12a","Chst11","Jdp2"
"127","Aldoa","Ier5","Pla2g7","Baz1a","Mctp1","Pbx1"
"128","Atxn10","Sorl1","Rab7","Ptbp3","Hcar2","Cyp4f18"
"129","Ifitm6","Jund","Taldo1","Rpl14","Trps1","Snx18"
"130","Selk","Hp","Coq10b","Malat1","Atrnl1","Fcer1g"
"131","Ube2d3","Ninj1","Arpc2","Pik3c2a","Sat1","Etf1"
"132","mt-Co1","Lst1","Kdm6b","Zeb1","Alox5ap","Mir142hg"
"133","Rps27","App","Sdcbp","Rplp0","Klf6","Notch2"
"134","Rhoa","mt-Atp6","Ncf4","Eef2","Pla2g7","Mbnl2"
"135","Rps10","Iqgap1","Myl12b","Birc6","Fbxl5","Slfn4"
"136","Hdc","Hspa5","Cyba","Abi1","Sfxn5","Map2k4"
"137","Lst1","Lpcat2","Hmgb2","Ube2d2a","Emilin2","Plk3"
"138","Zyx","Ctnnb1","Dhx40","Rps10","Eif1","Dock2"
"139","Btg2","Pde7b","Sat1","Rpl7a","Whsc1l1","Adam8"
"140","Rdh12","Nfe2l2","Rpl10","Gm26740","Ankrd33b","Fosl2"
"141","Pim1","Gpcpd1","Atp6v0e","Fli1","Dusp16","Arih2"
"142","Ncf2","Cmip","Rap1b","Myo1f","Irg1","Rab8b"
"143","App","Gsap","Etf1","Prkch","Fgr","Vps37b"
"144","Stk17b","Ppp1r15a","Ube2b","Wac","Slfn4","Fam107b"
"145","Msra","Slc16a3","Rpl30","Rps19","Nfkbiz","Vmp1"
"146","Atg3","Rab11fip1","Gm5150","Ythdc1","B2m","Slc11a1"
"147","Ctsd","Nr4a1","AF251705","Rpl21","Antxr2","Sdcbp"
"148","Ccr1","Lyn","Oaz1","Dock11","Mbnl2","Agpat9"
"149","Clec4e","Fndc3b","Hspa5","Usp34","Lsp1","Zeb2"
"150","Uba52","Ccnl1","Pfdn5","Kmt2c","Fgl2","Vps4b"
"151","Vasp","Emilin2","Sik3","Lrrc8d","Adgre5","Dhrs9"
"152","Clec4d","Relb","Igfbp6","Bre","Spi1","Gda"
"153","Ier3","Pbx1","Srsf5","Dyrk1a","Tspan13","Trib1"
"154","Csf3r","Xylt1","Cstb","Gm42418","App","Inpp5d"
"155","Eno1","Arpc3","Irg1","Col4a3bp","Ltb","Dopey2"
"156","Tpd52","Cd274","Rnf149","Cdk13","Fam134b","Slc15a3"
"157","Tmbim6","Adam17","Gnai2","Rassf3","Tspo","Arhgap15"
"158","Ier5","Vasp","Trib1","Arid1b","Bcl6","Arhgap26"
"159","Rap1b","Mrgpra2b","Fos","Fus","Cd44","Sntb2"
"160","Sgms2","Grina","Ccr1","Sppl3","Cytip","H2-D1"
"161","H2-K1","Rap1b","Rpl37","Rock1","Sdcbp","Tpt1"
"162","Gnb2","Pfn1","Sh3bgrl3","Btbd7","Rap1b","Nlrp3"
"163","Adam8","Rbpj","Cytip","Gm20388","Nup98","Zcchc6"
"164","Sri","Slc15a3","Ddit3","Crebbp","Tbc1d15","Diaph1"
"165","Arf5","Gpbp1","Lsp1","Rock2","Prkcb","Cdk17"
"166","Ndel1","S100a6","Ctsb","Rps12","Pfn1","Sh2d3c"
"167","Cap1","Snx18","Arpc5","Arfgef1","Rab8b","mt-Co1"
"168","Arpc4","Lilr4b","Anxa2","Tnrc6c","Selplg","Cd300lf"
"169","Pygl","mt-Co3","Tmbim6","Epb41","Rsrc2","Gpcpd1"
"170","Sh3glb1","Ndel1","Emb","Elf1","Abtb2","Itpkb"
"171","Cmip","Lyst","Ddx3x","Srrm1","Camk1d","Ptgs2"
"172","1110008F13Rik","Traf3","Grina","Wasf2","Samsn1","Kdm6b"
"173","Fcgr3","Icam1","Pik3ap1","Pak2","Anxa2","Smchd1"
"174","Cd44","Osbpl9","Clic1","Atp2b1","Ndel1","Egr1"
"175","Asprv1","Trps1","Snap23","Gnb1","Lamp2","2810474O19Rik"
"176","Rpl41","Cd52","Tceb2","Chka","Ier5","Trps1"
"177","Ier2","Ccr1","Ube2d3","Aff1","Rbm39","Skap2"
"178","Arg2","Lsp1","Gm2a","Atrx","Ctsd","Klhl2"
"179","Ptprc","Adgre5","Ndel1","Ago2","Anxa1","Marcks"
"180","Rpl18a","Steap4","Ctsd","Dock8","Atp8a1","Pag1"
"181","Mmp8","N4bp1","Ncf2","Cd47","Cxcl2","Rab20"
"182","Ube2b","mt-Co2","Rhoa","Tnrc6b","Hdac4","Mirt1"
"183","Ubl5","Bcl2a1b","Gab2","Uvrag","Ets2","C5ar1"
"184","Lyn","Igf1r","Coro1a","Lrrfip2","Ccr1","Ctsd"
"185","Pnrc1","Ncf4","Supt4a","Hnrnpf","Klhl2","Aff4"
"186","H2afz","Hck","Rpl37a","Arid4b","Mctp2","Ptbp3"
"187","Dnaja1","Syk","Plk3","Nfat5","Cd52","Ifitm1"
"188","R3hdm4","Ubb","Slc16a3","Uba52","Dmxl2","Pnrc1"
"189","Tpm4","Gcnt2","Chmp4b","Ctss","Tnfaip2","Syk"
"190","Trem3","Trem3","Msn","Zfp407","G0s2","Ago2"
"191","Rpl17","Fosl2","Polr2a","Tgfb1","Trim30a","Bcl2l1"
"192","Emb","Rac2","Jdp2","Inpp5d","Serinc3","Snap23"
"193","B2m","Sik3","Rabgef1","Npc2","Apbb1ip","Txn1"
"194","Timp2","Ddx3x","Rps23","Eml4","Clec4d","Tnfrsf1b"
"195","Rps13","Coq10b","Chchd2","Tbc1d5","Klf3","Atrnl1"
"196","Cyp4f18","Skap2","Nfe2l2","Lnpep","Tra2a","Tnfaip2"
"197","Glipr2","Arih2","Zfand5","Stag1","Mir142hg","Rbms1"
"198","Rpl23","Fbxl5","Braf","Zfr","Ddx3x","Stat3"
"199","Fis1","Rab20","Mrpl33","Itga4","Ctnnb1","Anxa11"
"200","Dhrs7","Plaur","Rpl27a","Cdc42","Sell","Slc2a1"
"201","Emilin2","Suco","Arg2","Nufip2","Slc7a11","Mrpl33"
"202","Pla2g7","mt-Co1","Gm43661","Prdx5","Cdkn2d","Dgat1"
"203","Chmp4b","Dock2","Mbnl2","Lyn","Arih1","Tgoln1"
"204","Serp1","Zc3hav1","Dusp5","Smek2","Etf1","Hp"
"205","Pilra","Tra2a","Arhgdib","Pbx1","Csrnp1","Klra2"
"206","Sell","Arhgap26","Nudt4","Nfkb1","Map1lc3b","Sepn1"
"207","Atp6v0e","Il1rap","Skap2","Vav3","Prr5l","Sp100"
"208","Lilrb4a","Nedd9","D8Ertd738e","Igf1r","Fcgr3","Fndc3b"
"209","Mir142hg","Rab7","Fam32a","Adam10","Cyba","Gk"
"210","Cxcr2","Nfkbie","Entpd1","Mkln1","Actr3","Fau"
"211","Antxr2","Basp1","Vps37b","Tle4","Ncor1","Slc22a15"
"212","Selplg","Jdp2","Ptafr","Csnk1a1","Ccnl1","Ddx3x"
"213","H2afj","Btbd9","Rbm39","Celf2","Pglyrp1","Homer1"
"214","Gadd45a","Zfand3","Ptk2b","Mapk1","Atf3","Fbxo11"
"215","Supt4a","Igsf6","Gm10076","Ankrd11","Kdm7a","4932438A13Rik"
"216","Rpl37a","Gmfg","Rabac1","Ascc3","Mapkapk2","Gtdc1"
"217","Mbd2","Oser1","Ppp1r2","Mtmr3","Rapgef6","Csf2rb"
"218","Gpi1","Isg15","Ssu72","Klf2","Fyb","Irak2"
"219","Snap23","Fas","Hcar2","Senp6","Trem1","Cdkn1a"
"220","Osm","Neurl3","Sub1","Ubac2","Coq10b","Dusp5"
"221","Samhd1","Gpr132","Csrnp1","Whsc1l1","Adipor1","Kctd12"
"222","Entpd1","Il1f9","Marcks","Bclaf1","Ptpre","Clec4e"
"223","Rhog","Txnrd1","Ccnl1","Nptn","Ankrd11","Mctp1"
"224","Fbxl5","Nab1","Cd53","Prpf38b","Cd33","Sell"
"225","AB124611","Alox5ap","Rps14","Fbxl17","Il13ra1","Stx11"
"226","Osbpl9","Atp2b1","Serinc3","Itch","Tmem164","Chd7"
"227","Cnn2","Fgl2","H2-T23","Rtn3","Rac2","Nup98"
"228","Scand1","Cdc42ep2","Rps21","Nsf","Wipf1","Nfe2l2"
"229","Cdkn2d","Nadk","Rplp2","Ywhae","Clk1","Ier3"
"230","C5ar1","Gab2","Alcam","Ncoa1","Smox","Mapkapk2"
"231","Cdk2ap2","Etf1","Ostf1","Eef1b2","Calm2","Pafah1b1"
"232","Picalm","Baz2b","Klf6","Macf1","Elmo1","Rdh12"
"233","Fos","Cd53","Fam134b","Spop","Tgfbi","Cd84"
"234","Myh9","Prdx5","Rps8","Tra2b","Nfkbia","Npepps"
"235","Tgfbi","Gtdc1","Fosl2","Hnrnpa3","Slfn2","Ptafr"
"236","Sdcbp","Irak3","Atp6v0d1","Pdcd4","Themis2","Rap1b"
"237","Dstn","Gabarap","Basp1","Rps27","Hif1a","mt-Co3"
"238","Hcst","Pla2g7","2310001H17Rik","Jak1","Ptpn12","Lrg1"
"239","Sub1","Susd6","Vamp8","Itpkb","Notch2","mt-Co2"
"240","Hmgn2","Tgoln1","C5ar1","Ash1l","Ptpn1","Coq10b"
"241","Mctp1","Anxa1","Mapkapk2","Herc4","Gmfg","Chd2"
"242","Chil1","Trib1","Dnaja1","Rab2a","Pip5k1b","Cap1"
"243","Lrrfip1","Bcl2l11","Sntb2","Zfp36l1","Ppp3ca","Pde4b"
"244","Irg1","Zc3h12a","March7","Rapgef6","Ccl6","Tra2a"
"245","Ypel3","Sat1","Cmip","Actr2","Atp6v1g1","Map3k5"
"246","Ppp1r2","Tax1bp1","Tgoln1","Ncoa3","Msn","Cltc"
"247","Tarm1","Coro1a","Tspan13","Atf7ip","Mtus1","Fnip1"
"248","Hck","Hmgb2","Sh3glb1","Fam172a","Rab7","Arhgap24"
"249","Pfdn5","Mcemp1","1700112E06Rik","Gnaq","Gls","Plin2"
"250","Tpm3-rs7","Spi1","Ankrd33b","Faf1","Ifitm3","Arpc2"
"251","Fam65b","Snx20","Rps25","Ezr","2810474O19Rik","Nudt4"
"252","Chchd2","Taldo1","Cox6b1","Thoc2","Slc40a1","Top1"
"253","Atp5l","Fos","Cox4i1","Sgms1","Cd53","Rlf"
"254","mt-Co3","Gm5150","Hnrnpc","Chd2","Dhrs9","Cers6"
"255","Alcam","Chil1","Emilin2","Lrch1","Arpc3","Tax1bp1"
"256","Slfn2","March7","Rsrp1","Rab10","Cdc42","Fos"
"257","D8Ertd738e","Mir142hg","Sp140","Lcor","Pik3ap1","Themis2"
"258","Calm2","Msn","Eif5","Ankrd12","Slc16a3","Sat1"
"259","Cox4i1","Ctsz","Tspo","Sfpq","Samhd1","Abtb2"
"260","Ifi27l2a","Sntb2","Arih2","Jmjd1c","Por","Tnrc18"
"261","Fam32a","Atrnl1","Prdx5","Rpl17","Rps27a","Tnrc6b"
"262","Rac1","Tank","Atp5e","Larp4b","Tpt1","Klf3"
"263","Ppp1ca","Socs3","Bri3","Hectd1","Il1f9","Srsf5"
"264","Ldha","Ctsb","Atp5l","Baz2b","Braf","Wnk1"
"265","Rpl30","Cd300lf","Sp100","Zhx2","Prr13","Fbxl5"
"266","Psap","Tiparp","1810058I24Rik","Chd7","Lilr4b","Gm5150"
"267","Arhgap15","Slfn4","Selplg","Ccl4","Ptprj","Gpr35"
"268","Adipor1","Jak1","Rps3","Dynll1","Itgal","Hpcal1"
"269","Rnf149","Ifnar1","Rplp1","Dennd1b","Rlf","Clk1"
"270","Kdm7a","Rbm39","Clta","Prkce","Il17ra","Wbp1l"
"271","Cd53","Skil","Fnip1","Taok3","Vav3","Myh9"
"272","Stfa2","Bcl3","Smchd1","Plbd1","Slc6a6","Trem3"
"273","Ets2","Rps27","Tmem59","Irf2","Fndc3b","Atg2a"
"274","Plek","Npepps","Gla","Ggnbp2","Nfe2l2","Fam65b"
"275","Rhov","Mrpl33","Tnfrsf1a","Ankhd1","Gnai2","Jund"
"276","Gpx4","Nr4a3","Cox17","Rpl22l1","Dclre1c","Msra"
"277","Capza1","Sf3b1","Tax1bp1","Hspa4","Txnip","Gm26740"
"278","Rps14","Alcam","Hnrnpf","Zfp148","Numb","Osm"
"279","Hpcal1","Tlr2","Fam49b","Tsc22d2","Rassf3","Lrrfip1"
"280","Dazap2","Hif1a","Rbm3","Cdk12","Rbms1","Glrx"
"281","Lilr4b","Arpc2","Tra2a","Rap1a","St8sia4","Kdm7a"
"282","Isg15","Ntng2","Dazap2","Rpl15","Pkm","Hmgb2"
"283","Capzb","Optn","Zfp36l2","Ncl","Il18rap","Celf2"
"284","Notch2","Mefv","Plac8","Atp9b","Kctd12","Pla2g7"
"285","Ddx6","Csrnp1","Marcksl1","Usp9x","Gabarap","Usp32"
"286","Xylt1","Mirt1","Nr4a1","Mtdh","Qsox1","Rbm39"
"287","Rpl27a","Clk1","Atg3","Rpl35","Gm20388","Gabarap"
"288","Cd300lf","Tspan13","Plaur","Tpm3","Mef2a","Sbno1"
"289","Cytip","Baz1a","Laptm5","Phip","Cux1","Il18rap"
"290","Diaph1","Arf4","Btbd9","Kdm5a","Ddit3","Elmo1"
"291","Plin2","Ifitm3","Samhd1","Mgea5","Rsrp1","Qsox1"
"292","Fam49b","Snx10","Cd47","Heca","Ptp4a1","mt-Atp6"
"293","Upp1","Vps37b","Rac1","Atp11b","Arpc1b","Gfod1"
"294","Eif4ebp1","Cd300a","Sorl1","Cox5a","C5ar1","Il15"
"295","Hacd4","Chd2","Top1","Top1","Kras","Atp6v0d1"
"296","Rab7","Slc11a1","Shfm1","Sptan1","Myo1f","Isy1"
"297","H2-T23","Nup98","Csf2rb","Luc7l2","Tbc1d14","Fgl2"
"298","Rpl34","Nfkbid","Cd24a","Wdfy4","Slpi","Zyx"
"299","Gm5150","Cd84","Trem3","Pcbp2","Herc4","2810403A07Rik"
"300","Csf2rb","Cst3","Suco","Gm10073","1700112E06Rik","Whsc1l1"
