"","SC78_8_factor1","SC78_8_factor2","SC78_8_factor3","SC78_8_factor4","SC78_8_factor5","SC78_8_factor6","SC78_8_factor7"
"90","Tspo","Lrg1","Pag1","Lcp2","Ankrd33b","Shfm1","Rps14"
"91","Map1lc3b","Cfl1","Arhgap15","Ncf1","Pde7b","Atp6v1g1","Rpl22l1"
"92","mt-Co3","Arpc3","Ipcef1","Malt1","Ccr1","Mmp8","Ambra1"
"93","Anxa1","Rps13","Txn1","Dusp2","Ets2","Mmp9","Fus"
"94","Hmgb2","Alox5ap","Gadd45a","2810474O19Rik","Ccnl1","Stfa2l1","Rps21"
"95","Pfn1","Calm1","Fcer1g","S100a11","Isg15","Nedd9","Gdi2"
"96","mt-Atp6","Selk","Fau","Ankrd33b","Rab7","Rpl37","Rps29"
"97","Ncf2","Egr1","Gadd45b","Tnfrsf1b","Fem1c","Cd14","Kansl1"
"98","Lilrb4a","Rpl30","Gda","H2-K1","Tlr4","Rps16","Rpl35"
"99","Ddx6","Cd44","Ddx5","Sema4d","H3f3b","Cd9","Pik3c2a"
"100","Clec4e","Stk17b","March7","Chst11","Sp140","Atxn10","Pbx1"
