"","SC78_9_factor1","SC78_9_factor2","SC78_9_factor3","SC78_9_factor4","SC78_9_factor5","SC78_9_factor6","SC78_9_factor7","SC78_9_factor8"
"41","Actg1","Jund","Tyrobp","Hdc","mt-Co2","Junb","Picalm","Bnip3"
"42","Nlrp3","Fau","Rpl30","Lcp1","Pfn1","Anxa1","S100a11","Jun"
"43","Ftl1","Ddx3x","Rps11","Fgr","Mmp9","Ccl6","Cd44","Pnrc1"
"44","S100a8","Zfand5","Rpl34","Adgre5","Tspo","Grina","Samsn1","Tmsb4x"
"45","Nfkb1","Hspa5","Rabac1","Ipcef1","Lrg1","H2-D1","Ctnnb1","Prdx5"
"46","Ifitm1","Tpt1","Rpl37a","Ube2h","Tkt","Mcl1","Nedd9","Irak2"
"47","B2m","Stk17b","Msrb1","Cd300lf","Cyba","Mmp8","Cyth1","P4hb"
"48","Ifitm2","Mir142hg","Rbm3","mt-Co2","Hp","Fcer1g","Litaf","Ifrd1"
"49","Tnfaip2","Hdc","H2-D1","Actb","Rac2","Cxcl2","Hilpda","Slc2a1"
"50","Samsn1","Ddx5","Rps5","Apbb1ip","Tpt1","Map1lc3b","Emilin2","Cstb"
"51","Ets2","Mxd1","Cyba","Mtus1","Coro1a","Txn1","Plin2","Ubc"
"52","Slfn2","Stat3","Atp6v0e","Fam65b","Sh3bgrl3","Pglyrp1","Ifitm2","Ccnl1"
"53","Irf1","Ndel1","Gng5","Usp32","Myl6","Coro1a","Klhl2","Fam162a"
"54","Ptgs2","Eif1","Rpl37","Gcnt2","Rps24","Pfn1","Snx18","Zfp292"
"55","Il1r2","Msrb1","Rpl8","Ppp3ca","Rps9","Prdx5","Tpd52","Kpna4"
"56","Dennd4a","Suco","Cox8a","Iqgap1","Adpgk","Rac2","Neat1","Neat1"
"57","H2-Q7","Csf3r","Rplp1","Stk17b","Stfa2l1","Stfa3","Osbpl9","Litaf"
"58","Spag9","Ifitm2","Rpl18","Kdm7a","Ftl1","Lrg1","H3f3b","Fam134b"
"59","Btg2","Pim1","Actb","Cpd","Wfdc17","Hmgb2","Jdp2","Rab7"
"60","Casp4","Lmnb1","Ifitm2","Skap2","Tyrobp","Lsp1","H3f3a","Junb"
"61","H3f3b","Gls","Itm2b","Sgms1","Anxa2","Taldo1","Ets2","Igf1r"
"62","Snap23","Socs3","Cd52","Fam49b","Arpc1b","Cyba","App","Npepps"
"63","2810474O19Rik","Cited2","Fxyd5","Atrnl1","Mgst1","Arpc3","Ddx5","Lyst"
"64","Rab8b","Etf1","H2afj","Prkcb","Vasp","H3f3b","Il1rap","Cd9"
"65","Eif1","Tra2a","Cox4i1","Pip4k2a","Rpsa","Rpl37","Tpt1","Arid5b"
"66","Tpt1","Gpcpd1","Rps8","Elmo1","Dstn","Fxyd5","Arg2","Pfkp"
"67","Rps9","Plek","Rpl21","mt-Co3","Prr13","Csf3r","Sorl1","H2-D1"
"68","Fau","Zfp36l2","Eef1a1","mt-Atp6","Txn1","Eif1","Stx11","Phf21a"
"69","Btg1","Ptprc","Pfdn5","Celf2","Gpx1","Lcp1","Mcl1","P4ha1"
"70","C5ar1","Calm2","Rpl10","Tpd52","Shfm1","Rps29","Igf1r","Gadd45b"
"71","H2-K1","Lrg1","Hnrnpf","Trps1","Rps27a","Btg1","Tyrobp","Osbpl9"
"72","Antxr2","H2-D1","Rpl13a","Cd84","Gpi1","Pkm","Lyn","Ctsb"
"73","Hcar2","Tsc22d3","Eif1","Ankrd44","Taldo1","Anxa2","Tpm4","Gm42418"
"74","Clec4d","Arg2","Actg1","Whsc1l1","Arpc2","Atp6v1g1","Rnf149","Spag9"
"75","Sema4d","Tpd52","Rps28","Jmjd1c","Itm2b","Zyx","Rps9","Clec4d"
"76","Ptprj","Adgre5","Btg1","Mxd1","Pkm","G0s2","Hif1a","Elmo1"
"77","Wfdc17","Hp","Rpl11","Klhl2","Sri","Mcemp1","S100a6","Emilin2"
"78","Marcks","Sat1","Rpl24","Cd44","AA467197","Arpc1b","Ncf2","H2-K1"
"79","H3f3a","Iqgap1","Hist1h2bc","Pip5k1b","Calm1","Tpd52","mt-Co2","Tpd52"
"80","Trem1","mt-Co1","Rps7","Junb","Hmgb2","Cd14","Wfdc21","Ppp1r3b"
"81","Pnrc1","Cmip","Rpl13","Baz2b","Ostf1","Clic1","Bcl2l1","Hectd1"
"82","Ncf1","Mbnl2","Rps24","Il18rap","Gnai2","Asprv1","Ccnl1","Ptgs2"
"83","Lmnb1","Ier2","H3f3a","Map3k5","Cotl1","mt-Co2","Arpc3","Ap3s1"
"84","Irak2","S100a11","Srgn","Camk1d","H2-D1","Jund","Dusp16","Xylt1"
"85","Litaf","Ddit3","S100a9","Stat3","Fcer1g","Il1r2","Ftl1","Rlf"
"86","N4bp1","Tyrobp","Arpc1b","Tsc22d3","Arpc5","Glrx","Fosl2","H3f3a"
"87","Lcp2","Fxyd5","Plin2","Ddx6","Actr3","Rps16","Fxyd5","Rps27"
"88","Lpcat2","Nfkbiz","AF251705","Rbm47","Vim","Cxcr2","Grina","Cd300lf"
"89","Sod2","Ube2h","Rpl35a","Cxcr2","Ubb","Gnai2","Lilrb4a","Gm5483"
"90","Igsf6","Rsrp1","Txn1","Rassf3","Rps29","Itm2b","mt-Co3","Hmox1"
"91","Csf3r","Rbm39","Junb","Atxn1","Msrb1","Zfp36","mt-Atp6","Samsn1"
"92","Adam17","Rps27","Sh3bgrl3","Bcl6","Eef1a1","Gmfg","Ptprc","Grina"
"93","Neat1","Gab2","Rps25","Grina","Gm8730","Socs3","Rdh12","mt-Co3"
"94","Erbb2ip","Gadd45g","Gm2a","Mctp2","Atxn10","Arpc2","BC100530","Btg1"
"95","Gm42418","Ccnl1","Dusp1","Xylt1","Serf2","Rpl9","Map2k4","G0s2"
"96","Ppp1r15a","Srsf7","Hist1h1c","Numb","Ncf4","Fos","Diaph1","Tmem189"
"97","Lilrb4a","Fcer1g","Oaz1","Samhd1","R3hdm4","mt-Atp6","Pfn1","Hif1a"
"98","Rel","Coq10b","Btf3","Syk","Gmfg","Atxn10","Lamp2","Actb"
"99","Gsap","Clk1","Atp5l","Tbc1d14","Cd9","Gpx1","Kpna4","Lilrb4a"
"100","Tnfrsf1b","Rps29","Rpl6","Ifitm1","Pygl","Fcgr3","Iqgap1","Pik3ap1"
