"","SC78_5_factor1","SC78_5_factor2","SC78_5_factor3","SC78_5_factor4","SC78_5_factor5"
"38","H2-D1","Ubb","Pfn1","Sorl1","Kpna4"
"39","Kdm6b","Spag9","Mgst1","Cxcr2","Smox"
"40","Rnf149","mt-Cytb","Rac2","Ddx6","Cd9"
"41","Mcl1","Xylt1","Cyba","Tyrobp","Litaf"
"42","H2-K1","Rps23","Hp","Gcnt2","Isg15"
"43","Pde4b","Mir142hg","Malat1","Ifitm2","Sik3"
"44","Il1rn","Fgl2","Txn1","Hmgb2","Mcl1"
"45","Spag9","Rpl18","H3f3a","Neat1","H3f3a"
"46","Ifitm2","Cebpb","Ccl6","Ubb","Plek"
"47","Eif1","Rpl17","Atxn10","Gpcpd1","Samsn1"
"48","Nlrp3","Rpl35a","Tyrobp","Klf2","Csf3r"
"49","Isg15","Rpl37a","Anxa2","Ifitm1","Ifitm2"
"50","Pik3ap1","Rpl21","Glrx","Hp","Emilin2"
"51","Rab8b","Cdk2ap2","Lcp1","Arg2","Tyrobp"
"52","Btg1","Inpp5d","Plaur","Lmnb1","Cmip"
"53","Ifitm1","Dennd4a","Myl6","Fau","Msrb1"
"54","Dusp1","Rps16","Ifitm2","Plek","Slc7a11"
"55","Tnfaip2","Fth1","mt-Cytb","Marcks","Pim1"
"56","Nfkb1","Eif1","Taldo1","H2-D1","Lilrb4a"
"57","H3f3b","Srgn","Itm2b","Gm42418","Ndel1"
"58","Clec4d","Gadd45b","Ifitm3","Skap2","Trem1"
"59","Erbb2ip","Rpl13a","Arhgap15","Iqgap1","Neat1"
"60","Marcks","Rpl30","Vasp","Cmip","Rps9"
"61","Lmnb1","Runx1","Pkm","Osbpl9","Ptprc"
"62","Ets2","Tyrobp","R3hdm4","Txn1","Fxyd5"
"63","Slfn2","Ankrd12","Rplp0","Grina","Sorl1"
"64","2810474O19Rik","Egr1","Gpx1","Jund","Pik3ap1"
"65","Msrb1","Neat1","Asprv1","Ube2h","Ets2"
"66","Fcer1g","B2m","Shfm1","Fcer1g","Picalm"
"67","Csf3r","Cst3","Rps9","Eif1","Junb"
"68","Dusp16","Fcer1g","Serf2","Ddx5","Plaur"
"69","Arg2","mt-Co2","Arpc5","Lyn","Arg2"
"70","H3f3a","Junb","Msra","Entpd1","H2-D1"
"71","S100a8","Mbnl2","Mrgpra2b","Fam65b","Lcp1"
"72","Btg2","Rpl34","Gnai2","Lyst","Tpt1"
"73","Tyrobp","Ifitm2","Ly6g","Fam49b","Grina"
"74","Malt1","Cd44","Nedd9","Zfp36l2","Ptprj"
"75","Ptprj","1700112E06Rik","Arpc1b","Gda","Slfn4"
"76","Dennd4a","H2-D1","Arpc2","Arhgap26","Gm42418"
"77","Ptprc","Eif5","Sh3bgrl3","March7","Ctnnb1"
"78","Il1r2","Tra2a","Ftl1","Ssh2","Ddx5"
"79","Lilrb4a","Btg1","Srgn","Ncf2","Hif1a"
"80","Tnfrsf1b","Rps15","Cotl1","Svil","Ddx6"
"81","Lcp1","Rabac1","App","Phf21a","Btbd9"
"82","Litaf","Calm2","Cdc42","Alox5ap","Fau"
"83","Casp4","Fam134b","Actr3","Pim1","Nedd9"
"84","Tpd52","Dusp1","Ostf1","H3f3b","Ccr1"
"85","Rps9","Gm10076","Stfa2","Taldo1","Rabgef1"
"86","Hcar2","Rps27a","Gda","Snap23","Cd53"
"87","Samsn1","Rbm39","Hmgb2","Il1rap","Osbpl9"
"88","Sema4d","Gab2","Cfl1","Fxyd5","Baz2b"
"89","Tpt1","mt-Nd4","Fcer1g","Coro1a","Sh2d3c"
"90","Fau","Serf2","Mrpl33","Cers6","Ankrd33b"
"91","S100a11","Actg1","Eif1","Lst1","Lyn"
"92","Ehd1","Gm2a","Msrb1","B2m","Ctsd"
"93","Gm42418","Fnip1","Iqgap1","S100a6","Arpc3"
"94","Ncf1","Il1b","BC117090","Cd44","Lilr4b"
"95","Irf1","Actb","Arpc3","Osm","Igf1r"
"96","Ier5","Rbm3","Tkt","Stat3","App"
"97","Wfdc17","AF251705","Cd14","Steap4","Fcer1g"
"98","Rsad2","Sik3","Aldoa","Ndel1","Sdcbp"
"99","Txn1","Cox4i1","Mxd1","Akap13","Rab7"
"100","Snap23","Ubc","Stfa2l1","Lsp1","Ncf2"
