"","SC78_6_factor1","SC78_6_factor2","SC78_6_factor3","SC78_6_factor4","SC78_6_factor5","SC78_6_factor6","SC78_6_factor7"
"32","Tpt1","Arhgap26","Ctnnb1","Mxd1","Ptma","Malat1","Cd52"
"33","P4hb","Arhgap15","Clec4d","Spag9","Rps13","Cd52","Fau"
"34","Prdx5","Socs3","Cyth1","Mcl1","Rps3a1","Mgst1","Eif1"
"35","Tmsb4x","Pag1","Mxd1","Actb","Serf2","H3f3a","Prdx5"
"36","Slc2a1","Gcnt2","Btbd9","Rnf149","Rps14","Arhgdib","Rac2"
"37","H2-D1","Phf21a","Gm42418","Dusp1","Fcer1g","mt-Atp6","Txn1"
"38","Ccrl2","Gm42418","Wfdc17","Ifitm2","Rpl41","Tspo","Pfn1"
"39","Fau","Gpcpd1","Sorl1","Irak2","H3f3a","G0s2","Lcn2"
"40","Tiparp","Fam49b","Ptprc","Nlrp3","Atf3","Aldh2","Taldo1"
"41","Zfp292","Tpd52","Lyn","2810474O19Rik","Map1lc3b","Cd177","Lrg1"
"42","Bnip3","Stk17b","Cxcl2","Eif1","Rpl8","mt-Co3","H2-D1"
"43","Emilin2","Skap2","Il1b","Ifitm1","Rps23","Tkt","Anxa1"
"44","Pnrc1","Rnf149","Lmnb1","Pde4b","Rps8","Rac2","Coro1a"
"45","Junb","Ubb","App","Tnfaip3","Ifitm2","mt-Co2","Mcl1"
"46","Cd9","Mxd1","Plek","Il1rn","Btg1","Pfn1","Cd14"
"47","Neat1","Cd84","Tpd52","Btg2","Dusp1","Hp","Arpc3"
"48","Egln3","Actb","Fam107b","B2m","Cox8a","Cyba","Slc16a3"
"49","Tra2a","Ipcef1","Diaph1","H3f3b","Rpl30","Tpt1","Trem1"
"50","Sdcbp","Srgn","Tpm4","Tnfaip2","Rpl39","Anxa2","Btg1"
"51","Gab2","Celf2","Hif1a","Ptafr","Hnrnpf","Arpc1b","Fcer1g"
"52","Il1b","Hdc","Lilrb4a","Ets2","Pfn1","Rplp0","Gm5483"
"53","Ppp1r3b","Trps1","Rnf149","Clec4d","Junb","Prr13","Ubb"
"54","P4ha1","Fam65b","Hectd1","Btg1","Il1r2","Gpx1","Junb"
"55","Plin2","Iqgap1","Tmsb4x","Tpt1","Rpl10","Eef1a1","BC100530"
"56","Bsg","Litaf","Fam134b","Marcks","Actb","Ftl1","H3f3b"
"57","Fxyd5","Mcl1","mt-Co3","Dennd4a","H2-D1","Myl6","Arpc1b"
"58","H3f3a","Cers6","Slc7a11","Pik3ap1","Rpl18","Coro1a","Mcemp1"
"59","Kpna4","Msrb1","Lyst","Fcer1g","Calm2","Sh3bgrl3","Stfa2l1"
"60","Fcer1g","Lcp1","Snx18","Lmnb1","Eef1a1","Mmp9","Dusp1"
"61","Lilrb4a","Dock2","Cdk17","S100a8","Cxcr4","Lrg1","mt-Co1"
"62","Npepps","Marcks","Ptprj","Kdm6b","Gabarap","Asprv1","Irg1"
"63","B2m","Ftl1","Notch2","Neat1","Fxyd5","Stfa3","Anxa2"
"64","Btg1","Ccnd3","mt-Co2","Arg2","Arpc1b","Pkm","Fxyd5"
"65","Pim1","Zfp36l2","Fth1","Il1r2","Pfdn5","Rps9","Csf3r"
"66","Litaf","Cmip","Btg1","Trem1","Rps21","Tyrobp","Cyba"
"67","H2-K1","Osbpl9","Emilin2","Dusp16","Rpl13a","Cebpb","Lcp1"
"68","Gm42418","Arhgap24","mt-Atp6","Csf3r","Atp6v0e","Vim","Map1lc3b"
"69","Mbnl2","Lyn","Ddx6","H2-K1","Ddx5","Atxn10","Pim1"
"70","Cstb","Usp32","Plaur","H3f3a","Gng5","Cd14","Tpd52"
"71","Actg1","Bcl6","Map2k4","Nfkb1","Btf3","Rps27a","Grina"
"72","Cd274","Tra2a","Sp140","Antxr2","Hist1h2bc","R3hdm4","Clic1"
"73","Fnip1","Syk","Il1rap","Litaf","Rpl37a","Arpc2","Hmgb2"
"74","Il1r2","Hp","Litaf","Lilrb4a","Arpc3","Dstn","Itm2b"
"75","Ctsd","Prkcb","Dock2","Casp4","Fgl2","Plaur","Ddx5"
"76","Cd53","mt-Co3","Samsn1","Tyrobp","Cd52","Txn1","Ctsd"
"77","Ostf1","Lrg1","Klhl2","Ptprj","Txn1","Sri","Cotl1"
"78","Ptgs2","Mbnl2","Actr3","S100a11","Rpl21","Vasp","Cdc42"
"79","Samhd1","Arg2","Osbpl9","Gm42418","Gm2a","Itm2b","Glrx"
"80","Phf21a","Atrnl1","Lamp2","Ubb","AF251705","Eif1","Ccl6"
"81","Suco","Suco","Lcp1","Ddx5","Cyba","Ostf1","Mxd1"
"82","Jun","Arih1","Fbxo11","Slc7a11","Jund","H2-D1","Gabarap"
"83","Osbpl9","Gda","Ccnl1","Pnrc1","Atp2b1","Cotl1","Lsp1"
"84","Gadd45b","Fth1","Ncf2","Cd9","S100a9","Srgn","Pglyrp1"
"85","Clec4d","mt-Co2","Arhgap15","Sema4d","Rbm3","Rps4x","Cfl1"
"86","Gabarap","Ppp3ca","Mcl1","Samsn1","Calm1","Rpsa","Pkm"
"87","Mxd1","Btg1","Braf","C5ar1","Ifrd1","Glrx","Gnai2"
"88","Pgk1","App","Jdp2","Sgms2","Rabac1","Gpi1","Jund"
"89","Hk2","Rab8b","Adam8","Ehd1","Btg2","Pygl","Arpc2"
"90","Smox","Il1r2","Kpna4","Ptprc","Cdc42","Gnai2","Aldoa"
"91","Igf1r","Osm","Myh9","Ccl3","Cfl1","Ldha","Atp6v1g1"
"92","Grina","Zfand5","Ets2","Lrg1","Rpl34","Fcer1g","Myl6"
"93","Stfa2l1","Fbxl5","Iqgap1","H2-Q7","Rpl19","Taldo1","Rps16"
"94","Ccr1","Ifitm2","Pik3ap1","Tpd52","Cox4i1","Arpc3","Zyx"
"95","Ctsb","Mtus1","Agpat9","Picalm","Gm10076","Shfm1","Plaur"
"96","Nampt","March7","Trem1","Cd44","Oaz1","Serf2","Stx11"
"97","Irg1","Camk1d","Trps1","Abtb2","Rpl38","Msrb1","Litaf"
"98","Hmox1","Gab2","Itpkb","Snap23","Eif5a","Mcemp1","Fcgr3"
"99","Alcam","Klf6","Ptbp3","Rps9","Gm5150","Arpc5","Btg2"
"100","Fbxl5","mt-Atp6","March7","Pfn1","Ifitm1","mt-Cytb","Rnf149"
"101","Bcl2l1","Ncf2","Csf3r","Hcar2","Rps11","Cdc42","Lmnb1"
"102","Gbp2b","Kdm7a","Pbx1","Slfn2","Xylt1","Lcp1","Rpl9"
"103","Fam134b","Map3k5","Suco","Ccnl1","Rplp1","Ubb","Selplg"
"104","Ubc","Lsp1","Plin2","Wfdc17","S100a11","Gm8730","Arg2"
"105","Ankrd33b","Cebpb","Ddx5","Erbb2ip","Itm2b","Uba52","Gpx1"
"106","Slfn4","Lilrb4a","Cd53","Fau","D8Ertd738e","Rps29","Clec4e"
"107","Tpd52","Grina","Zcchc6","Ier5","Rpl11","Calm1","Hdc"
"108","Ifitm1","Herc4","Lilr4b","Entpd1","Rplp2","Ifitm1","Gm5150"
"109","Ccnl1","Il1rap","Grina","Ninj1","H2-K1","Adpgk","Emilin2"
"110","Ccl3","Lmnb1","Rabgef1","Sod2","Pnrc1","Gm5483","Prr13"
"111","Rlf","Hmgb2","Ifitm1","Lcp1","Chchd2","Actr3","Arpc5"
"112","Hsp90aa1","Steap4","Ppp1r3b","Nfe2l2","Sub1","Pgd","Calm1"
"113","Rab7","H3f3a","Por","Rab8b","Rhoa","Cd9","Gda"
"114","Lgals3","Jund","Zfand3","Ppp1r15a","B2m","Slfn4","Spi1"
"115","Arid5b","Ltb","Eif1","Ncf1","Mcl1","Ctsd","Gmfg"
"116","Zfp36","Rps9","Ccr1","Msrb1","Arf1","Clic1","Il1r2"
"117","Tyrobp","Fgr","Pim1","Chst11","Zfp36l2","Ncf4","Myl12b"
"118","Tmem189","Xylt1","Arhgap26","Lcp2","Atp6v1g1","Aldoa","Ccr1"
"119","Fcgr3","Igf1r","Rbms1","Hspa5","Brk1","Rpl19","Tgfbi"
"120","Msra","Adgre5","Fem1c","Kpna4","Arpc2","Cfl1","Oaz1"
"121","Ifitm3","Nup98","Rab7","Tnfrsf1b","Gadd45b","Cnn2","Mrgpra2b"
"122","Fnip2","Tbc1d15","Gm26740","Gsap","Ubc","Anxa11","Rpl37"
"123","Klf6","Abtb2","Ifitm2","Lst1","Rps7","Mrgpra2b","Sat1"
"124","Cd14","Clk1","Fxyd5","Txn1","Mir142hg","Actn1","Arhgdib"
"125","Irak2","Txnip","Cnnm2","Isg15","Rpl37","Rpl7","Ncf4"
"126","Ap3s1","Mctp2","Fosl2","Bcl2l11","Rpl24","Esd","Cd9"
"127","Soat1","Gadd45a","Zeb2","Cdk2ap2","Ppp1r15a","Oaz1","Mrpl33"
"128","Tlr4","Whsc1l1","Arg2","Ankrd33b","Srsf5","Upp1","Pla2g7"
"129","Wsb1","Atp8a1","Wbp1l","Nr4a1","Ppia","Cap1","Asprv1"
"130","Sat1","Pla2g7","Bcl2l1","Jund","Sh3bgrl3","Myl12b","Clec4d"
"131","Higd1a","Jmjd1c","Ralgapa1","Smox","Cytip","Glipr2","Ube2d3"
"132","Chmp4b","Gadd45b","H3f3b","Csf1","Ctsd","Gmfg","Ier3"
"133","Csf1","Ndel1","Dusp16","Klf2","Alox5ap","Pnkp","Smox"
"134","Pfkl","Pip5k1b","Gab2","Gabarap","Hmgb2","Rps20","Actr3"
"135","Ddx5","Lamp2","H3f3a","Ccr1","Myl12b","AA467197","Atg3"
"136","Rbpj","S100a11","S100a11","Lpcat2","Supt4a","Mapk13","Entpd1"
"137","Egr1","Ncor1","Inpp5d","Cdc42ep2","Dynll1","Rps11","Rps10"
"138","Tmbim6","Rsrc2","Pde7b","Adam17","H2afj","Eno1","Sh3bgrl3"
"139","Wwp2","Pim1","Dennd4a","Grina","Inpp5d","Hmgb2","Rps27"
"140","Rtp4","Tmem164","Arih2","Ctsb","Atp5l","Mbd2","Mmp9"
"141","Lyst","Coro1a","Irg1","Atp2b1","Rbm39","Mcl1","Eno1"
"142","Samsn1","Selplg","Ankrd33b","Rap1b","Pim1","Grina","Serf2"
"143","Xylt1","Rbm39","Hpcal1","Osbpl9","Clic1","Msra","Gng5"
"144","Csf3r","Pde4b","Col4a3bp","Skap2","Spag9","Fau","C5ar1"
"145","Zeb2","Numb","Ctsd","Ddx3x","Tceb2","1110008F13Rik","Ncf2"
"146","Polr2a","Atxn1","Myo1d","Sik3","Rac2","Cd24a","mt-Co3"
"147","Cers6","Anxa1","Gk","Cd53","Rps2","Gnb2","Rpl18a"
"148","Hectd1","Nfkbiz","Vps4b","Rab20","Rpl35a","mt-Nd4","Rps29"
"149","Ifrd1","Snap23","Etf1","Lilr4b","Rpl13","Rps10","Tarm1"
"150","Parp14","Cd300lf","Prkcb","Rab11fip1","Ncf4","Arpc4","Chil1"
"151","Plek","Plek","Trib1","Rel","Ddit3","Arhgap15","Slc2a1"
"152","Gbp2","H2-D1","Dgat1","Lyn","Csf1","Chil1","Ostf1"
"153","Elmo1","Klhl2","Chd7","Arpc3","Hspa5","Fbxl5","Vasp"
"154","Slc16a3","Ankrd44","Top1","Emilin2","Atox1","Iqgap1","Sub1"
"155","Sorl1","Ddx5","Dhrs9","Traf3","Rps15","H3f3b","Ndel1"
"156","App","Actg1","Clec4e","Adgre5","Vamp8","Mettl9","Atxn10"
"157","Slfn2","Hif1a","Rab8b","Ubc","Ube2b","Ccnd3","Ypel3"
"158","Zfp36l2","Elmo1","Tiparp","Mir142hg","Lrg1","Ceacam10","Gpsm3"
"159","Gbe1","Rapgef6","Rlf","Ncf4","Bri3","Rps12","Cd44"
"160","Cd300lf","D1Ertd622e","Anxa11","Rabgef1","Cotl1","Rpl9","Pnrc1"
"161","Nfil3","Gm20388","Sh2d3c","Fxyd5","Dnaja1","Rhoa","Rplp0"
"162","Actb","Susd6","Skap2","Fgr","Rsrp1","Timp2","Cst3"
"163","Nfkbia","Braf","Mbnl2","Steap4","Selk","Spi1","AB124611"
"164","Lilr4b","Hsp90aa1","Pag1","Slc16a3","Ier2","Stx11","mt-Atp6"
"165","Alkbh5","Tbc1d14","Ell2","Oser1","Wnk1","Cdkn2d","Iqgap1"
"166","Irf1","Hcar2","Ehd1","Malt1","Litaf","Rpl13","Shfm1"
"167","Slc3a2","Chst11","Ago2","Ndel1","Cd44","Rps16","Picalm"
"168","Isg15","Mctp1","4932438A13Rik","Tra2a","Myl6","Gng5","Rhoa"
"169","Arg2","Spi1","Noct","Cdc42","Rps6","Itgam","Ldha"
"170","Lmnb1","Sfxn5","Tnrc6b","Srsf5","Syf2","Mxd1","Cxcr2"
"171","Ifitm2","Ier5","Gtdc1","Relb","Jdp2","Tpm3-rs7","Rpl17"
"172","Lamp2","Ankrd33b","Gcnt2","Fgl2","H2afz","Ube2d3","Sgms2"
"173","Bhlhe40","Actr3","Lrrfip1","Trps1","Dennd4a","Padi4","Upp1"
"174","Dusp1","Dmxl2","Slfn4","Igsf6","Fam32a","Cd47","Steap4"
"175","Spag9","Hdac4","Vav3","Cmip","Hp","Rps3","Snap23"
"176","Ptbp3","Ccnl1","Plk3","Snx20","Ssu72","Ncf1","mt-Co2"
"177","Ankrd12","Vim","Hilpda","Neurl3","Kpna4","Hck","Cap1"
"178","Btg2","Jak1","Pitpna","N4bp1","Rpl26","Atp6v1g1","Stfa2"
"179","Etf1","Sell","Vmp1","Plaur","Eef1b2","Hspa8","Cytip"
"180","Bnip3l","Ankrd11","Pxn","Fbxo11","Rps25","Slfn2","Ier5"
"181","Ctsz","Tyrobp","Dusp1","Sorl1","Sh3glb1","Mrpl33","Rhov"
"182","Atp6v1a","Pglyrp1","Eif4a1","Vasp","Morf4l1","Anxa3","Stk17b"
"183","Pik3ap1","Dusp16","Elmo1","Actr3","Rps26","Rps15a","Fam32a"
"184","Rps27","Rassf3","Whsc1l1","Cd52","Hmgb1","Rpl23","Cox8a"
"185","S100a11","Fcer1g","Chd2","Tmbim6","Lmnb1","Rpl37a","Eif4ebp1"
"186","Il1f9","Rbm47","Gda","Zfand3","Plek","Itgb2","Gnb2"
"187","Diaph1","Vav3","Atrnl1","mt-Co3","Ubl5","Fam65b","Ptprc"
"188","Ppp1r15a","Rgs2","Cltc","Fosl2","Rap1b","Rps19","Osm"
"189","Ascc3","Ier2","Mir142hg","Susd6","Uba52","Sub1","Sh3glb1"
"190","Cxcl3","Sat1","Rab20","Csrnp1","Eif4a1","Plp2","Rap1b"
"191","Calm2","Zfp36l1","Arih1","Rab7","Atp6v1f","Rap1b","Rpl41"
"192","Ets2","Sdcbp","Fndc3b","Syk","Laptm5","Gpsm3","B2m"
"193","Atp2b1","Sh2d3c","Basp1","Slc15a3","G0s2","Vsir","Pfdn5"
"194","Hif1a","Emilin2","Fcer1g","Rbm39","Dazap2","Lbr","BC117090"
"195","Rsrp1","Samhd1","Sdcbp","Tax1bp1","Sat1","Myh9","Isg15"
"196","Pag1","Rlf","Kdm7a","Fbxl5","Ier5","Trem1","Gpi1"
"197","Zfand3","Atg3","Nrd1","Il1rap","1810058I24Rik","Gabarap","Pygl"
"198","Txn1","Fam134b","Sp100","Arih2","Naca","Rpl34","Adam8"
"199","Dedd2","Txn1","Ftl1","Msn","Plin2","Stfa2l1","Arpc4"
"200","Kdm3a","Alox5ap","Tax1bp1","Cst3","Cd300a","Hdc","Uba52"
"201","Cdc42","Cmah","Bcl2l11","Cfl1","Emb","Plac8","Selk"
"202","Gsn","Tspo","Atp2b1","Etf1","Ccr1","Gyg","Rhog"
"203","Sik3","Tnrc6b","Aff4","Dusp2","Atp5e","Samhd1","Osbpl9"
"204","Clec4e","Apbb1ip","Sntb2","Ell2","Chst11","Fcgr3","Lst1"
"205","Il1rn","Plcl2","Tyrobp","Mirt1","Nudt4","Slc16a3","Sri"
"206","Stat3","Nfil3","Slc15a3","Samhd1","Cnbp","Ltb4r1","Slpi"
"207","Msrb1","Notch2","Cyp4f18","Cd300lf","Ptgs2","Ggt1","Vim"
"208","Rab20","Fyb","Capza1","Trib1","Tmem59","Gclm","Eef1a1"
"209","Ddit3","Arid4b","Pdlim5","Calm1","Arhgdib","Fpr1","Ube2b"
"210","Rbm39","Mir142hg","Cd300lf","Tgoln1","Taldo1","Flna","Cd300lf"
"211","1700112E06Rik","Mapkapk2","Rbm39","Rhoa","Scand1","Rps13","Emb"
"212","Gna13","Msn","Dusp5","mt-Atp6","Snap23","Gm42418","Sorl1"
"213","Ninj1","Il17ra","Slc11a1","Ctsz","Serp1","Sat1","Lilrb4a"
"214","Eif5","Fxyd5","Jmjd1c","Fndc3b","Eif5","Ddx5","Samsn1"
"215","Il15","Ddx3x","S100a6","Cxcr4","Cstb","Rps3a1","H2-K1"
"216","Hspa5","Tsc22d3","Stx11","Hp","Mbnl2","Rpl28","Ddx6"
"217","Map1lc3b","Mmp9","Pafah1b1","Calm2","Arpc5","Ppp1ca","Lilr4b"
"218","Agpat9","Serinc3","Msn","Ddx6","Tspo","Litaf","Chmp4b"
"219","Gng5","Slc40a1","Mrpl33","Rps29","Tmed2","Sh3glb1","Cyp4f18"
"220","Igtp","Zyx","Sepn1","Prdx5","Runx1","Capzb","Supt4a"
"221","Ctss","Med13l","Hp","Cd274","Cd84","Cox4i1","Rac1"
"222","Rgcc","Sirpb1a","Slc2a1","Nab1","Lamp1","Actr2","Gm42418"
"223","Gla","Jun","Npepps","Irf1","Prdx5","Pabpc1","Gadd45a"
"224","Card19","Cdkn2d","2810403A07Rik","Txnrd1","Rps12","Lyn","Lyn"
"225","Snap23","Taldo1","C5ar1","Arpc1b","Slc25a5","Fis1","Hif1a"
"226","Rps9","Ctsb","Msra","Chd2","Atg3","Gsr","Cnn2"
"227","Mirt1","Ifngr1","Qsox1","Rac2","Coro1a","App","App"
"228","Tmem140","Ctsd","Kras","Rnf19b","Jun","Trem3","Atp6v0e"
"229","Rhoa","Lst1","Usp32","Ctnnb1","Ptp4a1","Rps5","Igfbp6"
"230","Ier5","Gm26825","Tes","March7","Tpd52","Tmbim6","Smpdl3a"
"231","Sap18","Itgal","Ap2b1","Klf6","Atp6v0b","Lilrb4a","Capzb"
"232","Rps29","Polr2a","H2-D1","Arf4","Gmfg","Fpr2","Arf5"
"233","Gbp7","Fcgr3","Arpc3","Trem3","Nedd8","Il1b","Mbd2"
"234","Hk3","Dnm2","Sec24b","Cap1","Srsf7","Qsox1","Fis1"
"235","2810474O19Rik","Baz2b","Fgr","Igfbp6","Ets2","Tln1","Rps12"
"236","Bri3","Gadd45g","Fbxl5","Zc3h12a","Arpc4","Atp5f1","Glipr2"
"237","Sh2d3c","Ptpn12","Irak2","Arid5b","Rac1","Arf5","Ier2"
"238","Gda","Cux1","Rsrp1","Icam1","Hist1h1c","Ncf2","Samhd1"
"239","Nktr","Il4ra","Ddx3x","Gnb1","Etf1","Gda","Tpm3-rs7"
"240","Atp11b","Nfe2l2","C130026I21Rik","Map1lc3b","Shfm1","Lsp1","Rps13"
"241","Ddx3x","Gm5150","Gfod1","Gmfg","Cox6b1","G6pdx","Rpl7"
"242","mt-Co3","Tgfbi","Clk1","Tnf","Hnrnpk","Psap","Tmbim6"
"243","Prkce","Rap1b","Sell","Arpc2","Spi1","Flot1","Rps3"
"244","Arpc2","Foxo3","Klf7","Iqgap1","Csf3r","Rps8","Atp5l"
"245","Ifi47","Csrnp1","Kdm6b","Sdcbp","Srp14","Pgk1","Plek"
"246","Cmip","Oser1","Arhgap24","Gpbp1","Neat1","Junb","Antxr2"
"247","Zfp36l1","Cask","Syk","Il1f9","Rpl14","Rps7","Marcks"
"248","Irgm1","Sephs2","Coro1a","Baz2b","Ctsz","Dhrs7","Cmip"
"249","Selk","Pip4k2a","Samhd1","Fas","Ube2d3","AB124611","Calm2"
"250","Slfn1","Arid4a","Nab1","Gtdc1","Sntb2","Pilra","Por"
"251","Rsad2","Etf1","Stat3","Igf1r","Atp6ap2","Rps14","Sdcbp"
"252","Apbb1ip","Entpd1","Kdm2a","Ube2d3","Rheb","Ptprc","Adipor1"
"253","Cited2","Cd44","Dopey2","Sat1","Ostf1","Rpl6","Sh2d3c"
"254","Gpi1","Ptpn1","Rap1b","Gm17056","Ndel1","Ptpn1","Fosl2"
"255","Rab8b","Tnfaip2","Tra2a","Mefv","Coq10b","Cmah","Rps14"
"256","Pfkfb3","Ptpre","Srsf5","Gpr132","Cd47","Rpl11","Cd33"
"257","Tet2","S100a6","Stk40","Laptm5","Clta","Rps21","H2-T23"
"258","Cd24a","Pacs1","Kctd12","Ifnar2","Fus","Cox8a","Hcst"
"259","Jak1","Irf1","Atp11b","Nfkbie","Rpl22","Clec4e","Nedd9"
"260","Tgoln1","Asap1","Smchd1","Zc3hav1","Tnfaip2","Rab8b","Tspan13"
"261","Ube2d3","Cd52","Cap1","Fam49b","Rap1a","Rpl18a","Rpl37a"
"262","Rpl10","Hspa8","Slc22a15","Coro1a","Alcam","Skap2","Scand1"
"263","Picalm","2810474O19Rik","Mapkapk2","Ier2","Cox7a2","Npepps","Trem3"
"264","Rsrc2","Dock8","Mxi1","Bcl6","Mdh2","Rac1","Hck"
"265","Marcks","Rabgef1","2810474O19Rik","Ifitm3","Rps5","Fam49b","Skap2"
"266","Kmt2e","Fau","Tlr4","Tgif1","Atf4","Hpcal1","R3hdm4"
"267","Fus","Prr5l","Arpc2","Tlr4","Abracl","Nedd9","Zfp36"
"268","Rap1b","Ccrl2","mt-Nd4","Pdlim5","Sec61b","Cmip","Pilra"
"269","Tnfrsf23","Egr1","Junb","Coq10b","Arf5","Dach1","Arf1"
"270","Ranbp2","Map1lc3b","Atp6v0d1","Socs3","Slc3a2","Chchd2","Ets2"
"271","Rnf149","Mbd5","Ankrd11","Plk3","Gab2","Sqrdl","Rpl27a"
"272","Skap2","Atp6v0a1","Slc6a6","Fam134b","Hdc","Unc119","Gcnt2"
"273","Arpc3","B2m","Csf2rb","Gnai2","Stk17b","Rpl35a","Ptprj"
"274","Lcp1","Wipf1","Gsk3b","Sntb2","C5ar1","Dbi","Serp1"
"275","Tax1bp1","Ubc","Fam65b","Themis2","Wfdc17","Flot2","Sell"
"276","Atp6v0d1","Atp6v1a","Stk17b","Lamp2","Ptprc","Ier2","Dazap2"
"277","Dusp5","Fnip1","Celf2","Pde7b","Hsp90aa1","Emilin2","Prok2"
"278","H2-T23","Dock11","Fmnl1","Tgm2","Gnb2","Rpl27a","Chst11"
"279","Lpp","Zfand3","Btg2","Myl12b","Rpl6","Arf1","H2afj"
"280","Sf3b1","Igsf6","Jund","Clk1","Ube2i","Lrrk2","Tpm4"
"281","Tbc1d15","Sbno2","Msrb1","Cxcr2","Myl12a","C5ar1","Cd53"
"282","Stat1","Nrd1","Cfap43","Xylt1","Sdcbp","Rpl10","Fbxl5"
"283","Whsc1l1","Adipor1","Sf3b1","Cks2","Gnai2","Rps23","Ppp1r2"
"284","Celf2","Lilr4b","Pla2g7","Spi1","March7","Bst1","Cdkn2d"
"285","Fndc3b","Cytip","Tnrc18","Irak3","Ppp1r2","Hacd4","Ppp1r3b"
"286","Rhob","Pfn1","Hsd11b1","Rbpj","Vapa","Osm","Anp32a"
"287","Gls","Tspan13","Fnip1","Gm5150","Il15","Smpdl3a","Rpl23"
"288","Erbb2ip","Rsrp1","Cd84","Myl6","Grb2","Pirb","Ube2h"
"289","Sgms2","Por","Pitpnc1","Nfkbid","Ctsb","Ppp1r2","D8Ertd738e"
"290","Gys1","Nipbl","Tpt1","Lsp1","1700112E06Rik","Cst3","Xylt1"
"291","Serinc3","Cd53","Map3k5","Cdkn1a","Trem1","Asnsd1","Fos"
"292","Sell","Sirpa","Pfn1","Arpc5","Psenen","Tpm3","Rps24"
"293","Rac1","Cdc42","Wdfy3","Pkm","Gpx4","Rpl37","Rpl10"
"294","Rabgef1","Ttc7","Abtb2","Snx18","Cd9","Hmgn2","Ubl5"
"295","Btbd9","Dhrs9","Atxn1","Basp1","Rps15a","Rplp2","Snx20"
"296","Fndc3a","St3gal4","Kmt2e","Alcam","Ifngr1","Pten","1110008F13Rik"
"297","Vamp4","Prr13","Synj1","Egr1","Ost4","Scand1","Snx18"
"298","Tnrc6b","Xpr1","Atg2a","Dazap2","Anp32a","Il1f9","Grb2"
"299","Sh3glb1","Itga4","Selk","Gng5","Ypel3","Gadd45a","Psap"
"300","Herc6","Lpcat2","Tgoln1","Gk","Kdm6b","Ubl5","Lamp2"
