"","SC78_6_factor1","SC78_6_factor2","SC78_6_factor3","SC78_6_factor4","SC78_6_factor5","SC78_6_factor6","SC78_6_factor7"
"32","Tpt1","Arhgap26","Ctnnb1","Mxd1","Ptma","Malat1","Cd52"
"33","P4hb","Arhgap15","Clec4d","Spag9","Rps13","Cd52","Fau"
"34","Prdx5","Socs3","Cyth1","Mcl1","Rps3a1","Mgst1","Eif1"
"35","Tmsb4x","Pag1","Mxd1","Actb","Serf2","H3f3a","Prdx5"
"36","Slc2a1","Gcnt2","Btbd9","Rnf149","Rps14","Arhgdib","Rac2"
"37","H2-D1","Phf21a","Gm42418","Dusp1","Fcer1g","mt-Atp6","Txn1"
"38","Ccrl2","Gm42418","Wfdc17","Ifitm2","Rpl41","Tspo","Pfn1"
"39","Fau","Gpcpd1","Sorl1","Irak2","H3f3a","G0s2","Lcn2"
"40","Tiparp","Fam49b","Ptprc","Nlrp3","Atf3","Aldh2","Taldo1"
"41","Zfp292","Tpd52","Lyn","2810474O19Rik","Map1lc3b","Cd177","Lrg1"
"42","Bnip3","Stk17b","Cxcl2","Eif1","Rpl8","mt-Co3","H2-D1"
"43","Emilin2","Skap2","Il1b","Ifitm1","Rps23","Tkt","Anxa1"
"44","Pnrc1","Rnf149","Lmnb1","Pde4b","Rps8","Rac2","Coro1a"
"45","Junb","Ubb","App","Tnfaip3","Ifitm2","mt-Co2","Mcl1"
"46","Cd9","Mxd1","Plek","Il1rn","Btg1","Pfn1","Cd14"
"47","Neat1","Cd84","Tpd52","Btg2","Dusp1","Hp","Arpc3"
"48","Egln3","Actb","Fam107b","B2m","Cox8a","Cyba","Slc16a3"
"49","Tra2a","Ipcef1","Diaph1","H3f3b","Rpl30","Tpt1","Trem1"
"50","Sdcbp","Srgn","Tpm4","Tnfaip2","Rpl39","Anxa2","Btg1"
"51","Gab2","Celf2","Hif1a","Ptafr","Hnrnpf","Arpc1b","Fcer1g"
"52","Il1b","Hdc","Lilrb4a","Ets2","Pfn1","Rplp0","Gm5483"
"53","Ppp1r3b","Trps1","Rnf149","Clec4d","Junb","Prr13","Ubb"
"54","P4ha1","Fam65b","Hectd1","Btg1","Il1r2","Gpx1","Junb"
"55","Plin2","Iqgap1","Tmsb4x","Tpt1","Rpl10","Eef1a1","BC100530"
"56","Bsg","Litaf","Fam134b","Marcks","Actb","Ftl1","H3f3b"
"57","Fxyd5","Mcl1","mt-Co3","Dennd4a","H2-D1","Myl6","Arpc1b"
"58","H3f3a","Cers6","Slc7a11","Pik3ap1","Rpl18","Coro1a","Mcemp1"
"59","Kpna4","Msrb1","Lyst","Fcer1g","Calm2","Sh3bgrl3","Stfa2l1"
"60","Fcer1g","Lcp1","Snx18","Lmnb1","Eef1a1","Mmp9","Dusp1"
"61","Lilrb4a","Dock2","Cdk17","S100a8","Cxcr4","Lrg1","mt-Co1"
"62","Npepps","Marcks","Ptprj","Kdm6b","Gabarap","Asprv1","Irg1"
"63","B2m","Ftl1","Notch2","Neat1","Fxyd5","Stfa3","Anxa2"
"64","Btg1","Ccnd3","mt-Co2","Arg2","Arpc1b","Pkm","Fxyd5"
"65","Pim1","Zfp36l2","Fth1","Il1r2","Pfdn5","Rps9","Csf3r"
"66","Litaf","Cmip","Btg1","Trem1","Rps21","Tyrobp","Cyba"
"67","H2-K1","Osbpl9","Emilin2","Dusp16","Rpl13a","Cebpb","Lcp1"
"68","Gm42418","Arhgap24","mt-Atp6","Csf3r","Atp6v0e","Vim","Map1lc3b"
"69","Mbnl2","Lyn","Ddx6","H2-K1","Ddx5","Atxn10","Pim1"
"70","Cstb","Usp32","Plaur","H3f3a","Gng5","Cd14","Tpd52"
"71","Actg1","Bcl6","Map2k4","Nfkb1","Btf3","Rps27a","Grina"
"72","Cd274","Tra2a","Sp140","Antxr2","Hist1h2bc","R3hdm4","Clic1"
"73","Fnip1","Syk","Il1rap","Litaf","Rpl37a","Arpc2","Hmgb2"
"74","Il1r2","Hp","Litaf","Lilrb4a","Arpc3","Dstn","Itm2b"
"75","Ctsd","Prkcb","Dock2","Casp4","Fgl2","Plaur","Ddx5"
"76","Cd53","mt-Co3","Samsn1","Tyrobp","Cd52","Txn1","Ctsd"
"77","Ostf1","Lrg1","Klhl2","Ptprj","Txn1","Sri","Cotl1"
"78","Ptgs2","Mbnl2","Actr3","S100a11","Rpl21","Vasp","Cdc42"
"79","Samhd1","Arg2","Osbpl9","Gm42418","Gm2a","Itm2b","Glrx"
"80","Phf21a","Atrnl1","Lamp2","Ubb","AF251705","Eif1","Ccl6"
"81","Suco","Suco","Lcp1","Ddx5","Cyba","Ostf1","Mxd1"
"82","Jun","Arih1","Fbxo11","Slc7a11","Jund","H2-D1","Gabarap"
"83","Osbpl9","Gda","Ccnl1","Pnrc1","Atp2b1","Cotl1","Lsp1"
"84","Gadd45b","Fth1","Ncf2","Cd9","S100a9","Srgn","Pglyrp1"
"85","Clec4d","mt-Co2","Arhgap15","Sema4d","Rbm3","Rps4x","Cfl1"
"86","Gabarap","Ppp3ca","Mcl1","Samsn1","Calm1","Rpsa","Pkm"
"87","Mxd1","Btg1","Braf","C5ar1","Ifrd1","Glrx","Gnai2"
"88","Pgk1","App","Jdp2","Sgms2","Rabac1","Gpi1","Jund"
"89","Hk2","Rab8b","Adam8","Ehd1","Btg2","Pygl","Arpc2"
"90","Smox","Il1r2","Kpna4","Ptprc","Cdc42","Gnai2","Aldoa"
"91","Igf1r","Osm","Myh9","Ccl3","Cfl1","Ldha","Atp6v1g1"
"92","Grina","Zfand5","Ets2","Lrg1","Rpl34","Fcer1g","Myl6"
"93","Stfa2l1","Fbxl5","Iqgap1","H2-Q7","Rpl19","Taldo1","Rps16"
"94","Ccr1","Ifitm2","Pik3ap1","Tpd52","Cox4i1","Arpc3","Zyx"
"95","Ctsb","Mtus1","Agpat9","Picalm","Gm10076","Shfm1","Plaur"
"96","Nampt","March7","Trem1","Cd44","Oaz1","Serf2","Stx11"
"97","Irg1","Camk1d","Trps1","Abtb2","Rpl38","Msrb1","Litaf"
"98","Hmox1","Gab2","Itpkb","Snap23","Eif5a","Mcemp1","Fcgr3"
"99","Alcam","Klf6","Ptbp3","Rps9","Gm5150","Arpc5","Btg2"
"100","Fbxl5","mt-Atp6","March7","Pfn1","Ifitm1","mt-Cytb","Rnf149"
