"","SC78_8_factor1","SC78_8_factor2","SC78_8_factor3","SC78_8_factor4","SC78_8_factor5","SC78_8_factor6","SC78_8_factor7","SC78_8_factor8"
"83","Osm","Samsn1","Map2k4","Rps27a","H3f3a","Prkcb","Sik3","Map1lc3b"
"84","Gadd45a","Sema4d","Atp2b1","Tnfaip2","Lmnb1","Rps14","Cmip","Oaz1"
"85","Snap23","Msrb1","Lamp2","Alox5ap","Trafd1","Map4k4","Grina","Mrpl33"
"86","Coro1a","Ncf1","Eif1","Rpl39","Plek","Rps29","Emilin2","Calm1"
"87","Arhgap15","H3f3a","Cdk17","Serf2","Cxcl2","Itsn2","Osbpl9","H3f3b"
"88","Txn1","Fgr","Ralgapa1","Arpc3","Ier3","mt-Nd3","Rabgef1","Glrx"
"89","Ipcef1","Btg2","Pde7b","Xylt1","Oas1a","Gdi2","mt-Co1","Uba52"
"90","Gm42418","Casp4","Dennd4a","Csf3r","Prdx5","Cyth1","Dennd4a","Cd9"
"91","Gab2","Fcer1g","Pim1","Ptprc","S100a8","Rbm39","Ankrd33b","Shfm1"
"92","Fau","Lcp2","Ets2","Tpd52","Sat1","Rpl36","Isg15","Rpl37"
"93","Pag1","Hcar2","Cd53","Egr1","Rab7","Rpl7a","Taldo1","Rps29"
"94","Lmnb1","Tnfrsf1b","Ccnl1","Chst11","Irf1","Rpl30","Tspo","Atp6v1g1"
"95","Igf1r","C5ar1","Gcnt2","Rps10","Tpd52","Peli1","Lilrb4a","Stfa2l1"
"96","Polr2a","H2-Q7","Ppp1r3b","Cd9","Neat1","Ambra1","Map1lc3b","Gpx1"
"97","Plek","2810474O19Rik","Ccr1","Cox8a","Ddx5","Rpl24","Ncf2","Nedd9"
"98","Fcer1g","Ankrd33b","Itpkb","Samsn1","Cd52","Rpl22l1","Ddx6","Gabarap"
"99","Ddx5","Ccl3","Lyst","H2-K1","Grina","Clint1","Clec4e","Mmp9"
"100","Gm5150","B2m","Arhgap15","Selk","Zfp36","Kansl1","Hmgb2","Rps16"
