"","SC78_9_factor1","SC78_9_factor2","SC78_9_factor3","SC78_9_factor4","SC78_9_factor5"
"127","Cd53","Cd53","Pbx1","Skap2","Myl12b"
"128","Lyst","Anxa1","Gm2a","Il1rap","Cap1"
"129","App","Bcl2l1","Cd300a","Kdm7a","Actn1"
"130","Picalm","Ptprj","Tpd52","Cd33","Clic1"
"131","Ddx3x","Rdh12","Calm2","Gm26825","Rps16"
"132","Cstb","Jund","Rhoa","Fam49b","Grina"
"133","Csf1","Arhgap15","Hspa5","Anxa2","Plaur"
"134","Hsp90aa1","Igf1r","Pfn1","Gnai2","Rpl19"
"135","Rbm39","Hilpda","Akap13","Arhgap24","H3f3b"
"136","Hmox1","Ier3","Iqgap1","Phf21a","Cd24a"
"137","Erbb2ip","Lamp2","Rpl37a","Cd84","Ldha"
"138","Antxr2","Rps29","Hist1h2bc","Prdx5","Mrpl33"
"139","Tpi1","Gm42418","Cd44","Gcnt2","Aldoa"
"140","Elmo1","Clec4e","Gng5","Cdc42","Gng5"
"141","Ero1l","Mcemp1","Rps11","Mcemp1","Ctsd"
"142","Csrnp1","Notch2","Rpl8","Fam65b","Pnkp"
"143","Egr1","Gapdh","Gm5150","Lyst","Dhrs7"
"144","Msrb1","Kpna4","Gm20388","Pygl","Arhgap15"
"145","Oser1","Adam8","Cytip","Arhgap26","Mcl1"
"146","Ostf1","Rabgef1","Zfand5","Fgr","Rpl23"
"147","Fbxl5","Gabarap","Rnf149","Emb","Rpl9"
"148","Ccr1","Rps27","Apbb1ip","Rpl37","G0s2"
"149","Adam17","Lsp1","Rbm3","Adgre5","Gnb2"
"150","Smox","Clic1","Rpl34","Ndel1","Ifitm1"
"151","Hdc","Rbm39","Rps8","Ccr1","Cd14"
"152","Slfn2","Sub1","Coro1a","Atg3","Mrgpra2b"
"153","Dennd4a","Pnrc1","Ubc","Samhd1","Ceacam10"
"154","Klf6","Cdc42","Fam49b","Gab2","Rpl34"
"155","Bcl2l11","Suco","Rpl18","Cpd","Rps11"
"156","Atf3","Txn1","Gm42418","Spi1","mt-Cytb"
"157","2810474O19Rik","Sat1","Itm2b","Arpc2","Gm42418"
"158","Sema4d","Gda","S100a8","Lilrb4a","Rps3"
"159","Rsrc2","Fbxl5","Rsrp1","Mmp8","Rhoa"
"160","Fcgr3","Etf1","Srsf5","Snap23","Iqgap1"
"161","Xylt1","Sdcbp","Gabarap","Ipcef1","Fpr2"
"162","Tbc1d15","Mrpl33","Cdc42","Tsc22d3","Mbd2"
"163","Lilr4b","Rsrp1","Igfbp6","Cd44","Uba52"
"164","P4hb","Cfl1","Egr1","Zfp36l2","Mapk13"
"165","Atp2b1","Arpc5","Cxcr2","Igf1r","Pirb"
"166","Ninj1","Rac2","Cd52","Gmfg","Vsir"
"167","Ctsd","Kdm6b","Rpl37","Osbpl9","Rpl41"
"168","1700112E06Rik","C5ar1","Rpl21","Fcgr3","Cd47"
"169","mt-Atp6","Cxcr2","Rps5","Zfand5","Myh9"
"170","Hif1a","Pla2g7","Atp6v0e","Rap1b","Flna"
"171","Stat3","Ppp1r3b","Lmnb1","Actr3","Rpl39"
"172","Sat1","Pik3ap1","AF251705","Arpc1b","Spi1"
"173","Nlrp3","Cd300lf","Wfdc17","Rps27","Eno1"
"174","Phf21a","Por","Igf1r","Usp32","1110008F13Rik"
"175","Csf3r","Prdx5","Cdk2ap2","Lamp2","Unc119"
"176","Lamp2","Snap23","Pfdn5","Gpx1","Rps3a1"
"177","Atp6v1a","Lrg1","Ddx3x","Itm2b","Rps15a"
"178","Sgms2","Myl6","Emb","Ncf4","Cox4i1"
"179","Serinc3","Selk","Ube2h","Ier5","Rps13"
"180","Sik3","Cyba","Rpl13a","Mctp2","Ube2d3"
"181","Rpl41","Rbms1","Ctnnb1","Clic1","Ncf2"
"182","Eif5","Diaph1","Sub1","Marcks","Gabarap"
"183","Ptp4a1","Eif4a1","Arpc3","Clec4d","Gpsm3"
"184","Ncf1","Arpc1b","H2-K1","Kpna4","Arpc4"
"185","Calm2","Baz2b","Slfn2","Steap4","Rpl28"
"186","Tmbim6","Trem3","Rpl10","Gabarap","Gsr"
"187","Ctsz","Zcchc6","Ndel1","Mmp9","Plac8"
"188","Gng5","Rab7","March7","Hsp90aa1","Cmah"
"189","Trem1","Map2k4","Hnrnpf","Klf6","Rap1b"
"190","Rlf","Pde7b","Chst11","Plek","Mxd1"
"191","Slc2a1","Ube2d3","Arg2","Ptpn1","Plp2"
"192","Stfa2l1","March7","Dusp16","Trem1","Hmgn2"
"193","mt-Co2","Clk1","Ctsd","March7","Sat1"
"194","Bnip3","Rpl41","Rps25","Hspa8","Dach1"
"195","Fos","Ankrd33b","Rps28","Il13ra1","Syne1"
"196","Polr2a","Cyp4f18","Cfl1","Ctsd","Rpl37"
"197","Zfp292","Hck","Sat1","Pde4b","Fam65b"
"198","Gla","Spi1","Ncf2","Cytip","Fis1"
"199","Clk1","Gpcpd1","Arpc1b","Plaur","Timp2"
"200","Rps16","Fcgr3","Rpl24","Lilr4b","Klf2"
"201","Arih2","Fam134b","Fus","Emilin2","Atp6v1g1"
"202","Hectd1","Lrrfip1","Rpl11","Rpl41","Rps8"
"203","Cmip","Tiparp","Itga4","B2m","Rps5"
"204","Rab20","Rab20","Calm1","Osm","Ltb4r1"
"205","Rpl23","Hmgb2","Ccr1","Syk","Lamtor4"
"206","Lyn","Ncf4","Pnpla2","Cyp4f18","Tpm3-rs7"
"207","March7","Ehd1","Dazap2","Myl12b","Glipr2"
"208","Cdc42","Rpl37","Spi1","Mrpl33","Hspa8"
"209","C5ar1","Slc7a11","Fgr","Eif4ebp1","Lsp1"
"210","Cd24a","Ostf1","Inpp5d","Tgfbi","Rps19"
"211","Zfp36l1","Stat3","Atp2b1","Glipr2","Ier2"
"212","Rbpj","Fem1c","Ppp3ca","Bcl6","Rpl35a"
"213","Slc16a3","Mir142hg","Hist1h1c","Ostf1","Ppp1ca"
"214","Lcp1","Rps16","Arpc2","Atrnl1","Rpl17"
"215","Fus","Gnai2","Tra2a","Adam19","Sh3glb1"
"216","Nfe2l2","Skap2","Txn1","Atxn10","Rplp2"
"217","Nfil3","Cd33","Rpl13","Pten","Atp5f1"
"218","Rplp2","Glrx","H2afj","Klhl2","Rps14"
"219","H2-T23","Lyst","Cd300lf","C5ar1","Cdkn2d"
"220","Arpc3","Taldo1","Gm26825","Aldoa","Actr2"
"221","Ap3s1","Rpl9","Gadd45b","Sell","Rps28"
"222","Atf4","Atp6v1g1","Gls","Rps16","Esd"
"223","Wsb1","Pafah1b1","Rpl35a","Slpi","Rplp1"
"224","Tnfaip2","Gmfg","Son","Zfp36l1","Samhd1"
"225","Chmp4b","Cotl1","Ppp1r15a","Rab8b","Lyn"
"226","Srsf5","Btbd9","Tnfaip2","Myl6","Hck"
"227","P4ha1","Ubc","Dock2","Cfl1","Slc2a3"
"228","Efhd2","Calm1","Myl6","Gadd45a","H2afj"
"229","Ankrd12","Chmp4b","Laptm5","Asprv1","Limd2"
"230","Klf2","Coq10b","Oaz1","Gpi1","Lbr"
"231","Pfn1","Gng5","Cox4i1","Sub1","Fam49b"
"232","Ddit3","Nfkbiz","Rps7","Txnip","Rps23"
"233","Rpl18a","Trib1","Gmfg","Whsc1l1","Rpl13"
"234","Rps10","Sh3glb1","Pip4k2a","Cd53","Fcgr3"
"235","Cox8a","Pkm","Ncf4","Celf2","Dbnl"
"236","S100a11","Braf","Klf13","G0s2","Slfn2"
"237","Atp6v0d1","Sh2d3c","Camk1d","Chil1","Rpl6"
"238","Fndc3b","Rab8b","Myo1f","AB124611","Mctp1"
"239","Fam162a","Rhoa","Pip5k1b","Herc4","Rpl38"
"240","Arih1","Qsox1","C5ar1","Rpl9","Padi4"
"241","Kdm6b","Anxa11","Etf1","Slfn2","Rpl32"
"242","Rpl27a","Tax1bp1","Mbnl2","Glrx","Scand1"
"243","Abtb2","Ptbp3","Bcl6","Trps1","mt-Nd4"
"244","Tgoln1","Gcnt2","Sh3bgrl3","Cd14","Rps7"
"245","Per1","Ube2b","Rgs2","Clec4e","Pira2"
"246","Ube2d3","Pglyrp1","Selplg","Cap1","Gda"
"247","Il1rn","Fam107b","Syk","Cdkn2d","Tln1"
"248","Casp4","Capzb","Tmcc1","Serf2","Ccnd3"
"249","Gm5483","Hectd1","Clk1","Tbc1d14","Junb"
"250","Gm17056","Cap1","Myl12b","Dock2","Ddx5"
"251","Wwp2","Serf2","Eif5","Arhgdib","Psap"
"252","Ifitm2","Rpl18a","Alox5ap","Prr13","Itgb2"
"253","Samhd1","2810474O19Rik","2810474O19Rik","Gm20388","G6pdx"
"254","Skap2","Slc15a3","Hectd1","Cotl1","Dbi"
"255","Iqgap1","Bcl2l11","Ucp2","Sdcbp","Tmcc1"
"256","Rap1b","Fgr","Spag9","Hcst","Ubl5"
"257","Abca1","Myl12b","Rps12","Rbm39","Capza1"
"258","Ncf4","Rhov","Rps15","BC117090","Rpl18a"
"259","Zfand3","Themis2","Ankrd44","Notch2","Gsn"
"260","Nktr","Fbxo11","Klhl2","Ube2d3","Capzb"
"261","Tmem189","Pxn","Taldo1","Camk1d","Rps21"
"262","Wfdc17","Agpat9","Celf2","Slc2a3","Ptprc"
"263","Rhoa","Dazap2","Ezr","Fyb","Rps25"
"264","Optn","Selplg","Vim","Calm2","Rpl27a"
"265","Rpl17","Anxa2","Cirbp","Rhoa","Clec4a2"
"266","Jund","Ptp4a1","Tbc1d15","Serinc3","Fpr1"
"267","Pfkp","Slc22a15","Cask","Sfxn5","Lrrk2"
"268","Arf4","Sepn1","Atp6ap2","Rps10","Npepps"
"269","Atp6ap2","Arih2","Atg3","Dhrs9","Myo1f"
"270","Upp1","Tra2a","Marcks","Hck","Rpl10"
"271","Sf3b1","Cox8a","Tmem59","Rbm47","Upp1"
"272","Isg15","Sp140","Fam134b","Calm1","Chchd2"
"273","Rpl10","Atg2a","Btf3","Eno1","Arf1"
"274","Dedd2","Marcks","Rac2","Sgms1","Arf5"
"275","Lcn2","Cytip","H2afz","Atxn1","Sub1"
"276","Sh2d3c","Top1","Ptp4a1","Smpdl3a","Flot1"
"277","Ptbp3","Slc2a1","Ostf1","Map3k5","Skap2"
"278","Arpc2","Slc11a1","Herc4","Gpsm3","Tgfbi"
"279","Inpp5d","Atp11b","Atp5l","Klf13","Cox6c"
"280","Gadd45a","Ifitm3","Eef1a1","Gng5","Osm"
"281","Fmnl2","Arf5","Ssu72","Arpc5","Stx11"
"282","Gsap","Tlr4","Cxcr4","Ppp3ca","Ckap4"
"283","Cited2","Vps4b","Gnai2","Tspan13","Hacd4"
"284","Tax1bp1","Vmp1","Gpx1","Dazap2","Vdac2"
"285","Sod2","Rps10","Jmjd1c","Pip5k1b","Rpl11"
"286","Ifitm3","Capza1","Ddit3","Rlf","Fbxl5"
"287","Pde4b","Slc25a3","Foxp1","St3gal4","Gyg"
"288","Ppp1r3b","Srsf5","Gm10076","Rpl18a","Lims1"
"289","Fnip2","Zfand3","Vamp8","Sirpa","Atp5l"
"290","Jak1","Hpcal1","Msn","Apbb1ip","Cybb"
"291","Ptprj","Mbnl2","Grina","Gm5150","Anxa3"
"292","Rbm3","Wbp1l","Kdm7a","Sh3glb1","Rbm3"
"293","Chd7","Pde4b","Ube2b","Cst3","Trem3"
"294","Bri3","Samhd1","Rpl26","Adipor1","Lst1"
"295","Cd44","Tmbim6","Cd244","Ypel3","Ndufb7"
"296","Morf4l1","Arf4","Arih1","Cux1","AB124611"
"297","Cers6","Myh9","Rsrc2","Ldha","Flot2"
"298","Hmgb2","Oaz1","Nudt4","Ucp2","Lyst"
"299","Rplp1","Sell","Cd47","Il18rap","Cmip"
"300","Calm1","Ralgapa1","Rps15a","R3hdm4","Abracl"
