"","SC78_8_factor1","SC78_8_factor2","SC78_8_factor3","SC78_8_factor4"
"72","Ccr1","Pde4b","Lsp1","Lst1"
"73","Lyn","Kpna4","Lyn","Rps7"
"74","H2-D1","Ddx5","Arpc1b","Rbm25"
"75","Fau","Samsn1","Prdx5","Rpl35a"
"76","Emilin2","Ptafr","Fxyd5","Mbnl2"
"77","Ptprc","Ubb","Ddx5","Pip4k2a"
"78","App","Dusp16","Jund","Fus"
"79","Ptprj","Hcar2","Sorl1","Itga4"
"80","Csf3r","Chst11","Gnai2","Fau"
"81","Lcp1","Il1rn","Gpcpd1","Klf2"
"82","Rabgef1","Txn1","Grina","Rps15"
"83","Pik3ap1","Pnrc1","Lyst","mt-Nd1"
"84","Grina","Fxyd5","Prr13","Mir142hg"
"85","Tiparp","Wfdc17","Kpna4","Ptk2b"
"86","Osbpl9","Ptprj","Osbpl9","Il1r2"
"87","Txn1","Lrg1","Arhgdib","Hnrnpa2b1"
"88","Cyth1","Slc7a11","Lmnb1","Morf4l1"
"89","Arg2","Jund","Itm2b","Rsrc2"
"90","Kpna4","2810474O19Rik","Ddx6","1700112E06Rik"
"91","Ncf2","Ankrd33b","Cmip","Foxp1"
"92","Tpm4","Trem1","Gcnt2","Srrm2"
"93","Ankrd33b","Tnfaip3","Tpt1","Rps11"
"94","Ctnnb1","Entpd1","Rnf149","Gsk3b"
"95","Sp140","Snap23","Fam65b","Hnrnpf"
"96","Sorl1","Cd9","Sat1","Rps24"
"97","Il1rap","H2-K1","Zyx","Osbpl8"
"98","Rab7","Cd44","Cxcl2","B2m"
"99","Braf","Lilrb4a","Svil","Ranbp2"
"100","Igf1r","Lcp1","Osm","Ambra1"
"101","Lamp2","Antxr2","Gadd45a","Rpl24"
"102","Lilr4b","Rab8b","Map1lc3b","Rps16"
"103","Basp1","Ppp1r15a","Spi1","Gab2"
"104","Hp","Ier5","Neat1","Tpt1"
"105","Cd53","Picalm","Cdc42","Rps26"
"106","Ifitm1","Rabgef1","Ncf2","Tnrc6b"
"107","Actr3","Isg15","Cers6","Hectd1"
"108","Gm42418","Nfkb1","Atp6v1g1","Ncf2"
"109","Ddx6","Erbb2ip","Arpc3","Nipbl"
"110","March7","Pfn1","Myl6","Ptprc"
"111","Pde7b","Hp","Atg3","Jmjd1c"
"112","Jdp2","Gm42418","Gmfg","Rpl36"
"113","Pnrc1","Sgms2","Skap2","Ankrd44"
"114","Mir142hg","Abtb2","Klf2","Peli1"
"115","Mrpl33","C5ar1","Lst1","Pan3"
"116","Stk17b","Sorl1","Fam49b","Btg1"
"117","Gab2","Arpc3","Pkm","Cytip"
"118","Fam134b","Smox","Slc16a3","Camk1d"
"119","Ccnl1","Xylt1","Arpc2","Rpl19"
"120","Hif1a","Slfn2","Gpx1","Rpl21"
"121","Cyp4f18","Hspa5","Arhgap15","Tsc22d3"
"122","Plk3","Coq10b","Snap23","Rpl13"
"123","Ell2","Nfe2l2","Mctp1","Arid4b"
"124","Fosl2","Gabarap","Trem1","Gm20388"
"125","Arpc2","Grina","Plaur","Cox8a"
"126","Iqgap1","Fgl2","Tmcc1","Igf1r"
"127","Dennd4a","Ddx6","Lilrb4a","Ddit3"
"128","Suco","Tnfrsf1b","Fbxl5","Atf7ip"
"129","Lrg1","Ccnl1","App","Zfand5"
"130","Ralgapa1","Rps27","Myl12b","Eif1"
"131","Pfn1","Cd52","Pim1","Klf6"
"132","Stx11","Rap1b","Mmp9","Vps13b"
"133","Gabarap","Cmip","Gabarap","Cdc42"
"134","Adam8","Slc16a3","Entpd1","Prrc2c"
"135","Clec4e","Fgr","Mrpl33","Arid1b"
"136","Sdcbp","Emilin2","Actr3","Uvrag"
"137","Ier3","Ccr1","Ctsd","Nufip2"
"138","Trib1","Fos","Ier5","Apbb1ip"
"139","Por","Actr3","Socs3","Rpl7"
"140","Snx18","Gpcpd1","Gm5483","Lyn"
"141","Cd52","Alox5ap","Samsn1","Arhgap26"
"142","Alox5ap","Ehd1","Cdkn2d","Fcer1g"
"143","Dusp16","Ncf4","Ube2h","Brd2"
"144","Etf1","Skap2","Akap13","Dhx40"
"145","Fem1c","Ctnnb1","Mcemp1","Il1b"
"146","Gcnt2","Nr4a1","Lyz2","Celf2"
"147","Myo1d","Ell2","Marcks","Gm10076"
"148","Atp2b1","Rac2","Rap1b","Skap2"
"149","Ctsd","Lcp2","Clic1","Tyrobp"
"150","mt-Co1","Rab7","Fcgr3","Ier2"
"151","Taldo1","Lyn","Gm5150","Rsrp1"
"152","Map2k4","Ndel1","Gm42418","Fgl2"
"153","C5ar1","Ddx3x","Arpc5","Gm42418"
"154","Hectd1","Sema4d","Pag1","Wipf1"
"155","Ppp1r3b","Cst3","Stfa2l1","Ago2"
"156","Tspo","Cdk2ap2","Pla2g7","Egr1"
"157","Fam107b","Lsp1","Emilin2","Top1"
"158","Selk","Casp4","Cd9","Cd47"
"159","Kdm6b","Etf1","Selplg","Ltb"
"160","Notch2","Sik3","Ostf1","Sorl1"
"161","Map1lc3b","Gmfg","Rpl37","Srgn"
"162","Rab20","Steap4","Pbx1","Rpl26"
"163","Arih2","Atp2b1","Plek","Junb"
"164","Nfkbiz","Gab2","Mrgpra2b","Rpl28"
"165","Gda","Gm5150","Ccr1","Son"
"166","Ubb","Ncf1","Stat3","Rapgef6"
"167","2810474O19Rik","Osbpl9","Ncf4","Rpl14"
"168","Tlr4","Ifitm3","Ndel1","Rps15a"
"169","Vps37b","Sat1","Cd300lf","Pitpna"
"170","Rdh12","Adgre5","Il1rap","Ppp3ca"
"171","Vps4b","Gcnt2","Cfl1","Fam49b"
"172","Jund","Ninj1","B2m","Hspa8"
"173","Diaph1","Rps29","Sell","Ddx5"
"174","Slc15a3","Suco","Celf2","Btg2"
"175","Slfn4","Ccl3","Glrx","Gadd45g"
"176","Slc11a1","Pla2g7","Serf2","Prkcb"
"177","Arpc5","Pde7b","Ssh2","Whsc1l1"
"178","Hmgb2","Fosl2","Pygl","Itch"
"179","Snap23","Hmgb2","Cd44","Pfn1"
"180","Zcchc6","Pbx1","Zfand5","Actb"
"181","Csf2rb","Iqgap1","Sh3bgrl3","Cnbp"
"182","Lst1","Cxcr4","Sdcbp","Eif5"
"183","Vmp1","Arpc1b","Antxr2","AF251705"
"184","Lyst","Taldo1","Slfn4","Fnip1"
"185","Agpat9","Tra2a","mt-Co1","Aff1"
"186","Myl6","Tiparp","Clec4d","Dyrk1a"
"187","Coro1a","Mir142hg","Sfxn5","Bri3"
"188","Rap1b","Rel","Cst3","Msn"
"189","Ptgs2","Fndc3b","Usp32","Dynll1"
"190","Cd300lf","Atf3","Gpsm3","Chd7"
"191","Sepn1","Ubc","Gng5","Calm1"
"192","Dhrs9","Csrnp1","Cotl1","Ptbp3"
"193","Cdc42","Stk17b","Arhgap24","Btf3"
"194","Sat1","Coro1a","Tgfbi","Hnrnpc"
"195","Tnfaip2","Arih2","Rps16","Pak2"
"196","Plin2","Slc15a3","Kdm7a","Diaph2"
"197","Trem3","Syk","Xylt1","H3f3a"
"198","Nlrp3","Map1lc3b","Cytip","Ptma"
"199","Cdk17","Oser1","Cd84","Zbtb20"
"200","Sntb2","Igf1r","Slfn2","Rps6"
