"","SC78_1_factor1","SC78_1_factor2","SC78_1_factor3","SC78_1_factor4","SC78_1_factor5","SC78_1_factor6","SC78_1_factor7"
"40","Samsn1","H3f3b","Cd14","Csf3r","Arpc3","Chst11","Retnlg"
"41","Pik3ap1","Msrb1","Ankrd44","Clec4e","Gapdh","Cd14","G0s2"
"42","Litaf","Dennd4a","Entpd1","Kdm6b","H2-D1","Xylt1","Stk17b"
"43","Rnf149","H2-D1","Itsn2","Nlrp3","Btg1","Plaur","Taldo1"
"44","Pde7b","S100a11","S100a11","Marcksl1","Fau","Mxd1","Hdc"
"45","Ptprc","Mxd1","Runx1","Cd9","H3f3b","Fau","Litaf"
"46","Ptgs2","Ptafr","Arid4a","Irak2","Fxyd5","Tpd52","Gpcpd1"
"47","Dusp1","Tnfaip2","Elmo1","Ifitm2","Fcer1g","Cxcl2","Jund"
"48","Baz2b","Pik3ap1","Ssh2","Btg2","Coro1a","Csf3r","Sorl1"
"49","Mxd1","Irak2","Ptprc","Mcl1","Cdc42","Ets2","Lyst"
"50","Dusp16","Hdc","Fam49b","Slc7a11","Arpc2","Ndel1","H3f3a"
"51","Cxcl2","H3f3a","G0s2","Litaf","Arhgap15","Neat1","Fxyd5"
"52","Actg1","Cd9","Iqgap1","H3f3b","Ndel1","Mcl1","Tpd52"
"53","Gcnt2","S100a8","Dock11","Lcp1","Itm2b","Alcam","Gcnt2"
"54","Ndel1","Lmnb1","Lilrb4a","Arg2","Cmip","Lst1","Rnf149"
"55","Nfkbiz","Bcl2a1b","Pcbp2","Spag9","Mcl1","Ptprc","Tmcc1"
"56","Junb","Rnf149","Rasa3","Nfkb1","Sp140","Btg2","Lmnb1"
"57","Rabgef1","Mapkapk2","H2-D1","H3f3a","Ifitm2","Ccr1","Arg2"
"58","Igf1r","Csf3r","Irak2","Ets2","Cfl1","Rps9","Txn1"
"59","Lyst","Ddx5","Sp100","Antxr2","Grina","Slc7a11","Slc7a11"
"60","Plaur","Litaf","Luc7l2","Ptprc","Txn1","Fcer1g","Fam65b"
"61","Osbpl9","Ehd1","Ddx3x","Fxyd5","Rac2","Cmip","Lsp1"
"62","Rab8b","Ier5","Itga4","Dusp16","Mxd1","Trem1","Ptgs2"
"63","Ptprj","Fau","Msra","Ptprj","Junb","Tpt1","H3f3b"
"64","Fam134b","Ccl3","Antxr2","Il1r2","Litaf","Ddx5","Fcer1g"
"65","App","Lst1","App","Lmnb1","Plek","Emilin2","Plek"
"66","Pbx1","Ptgs2","Tpd52","Tpd52","Cd52","Plk3","Cxcr2"
"67","Irg1","Ptprj","Lamp2","Dennd4a","Baz2b","Samsn1","Cd44"
"68","Cyth1","Icam1","Dock5","Pde4b","Clec4d","Ncf2","Iqgap1"
"69","Irak2","Il1r2","Slc7a11","Samsn1","Mrpl33","Ankrd33b","Xylt1"
"70","Slc16a3","Rps9","S100a6","Slc16a3","Rps9","Isg15","Zfp36l2"
"71","Btg1","Ankrd33b","Tyrobp","Birc3","Cyth1","Sik3","Ccrl2"
"72","Ets2","Btg2","Cxcl2","Gadd45b","Chst11","Arpc3","Coro1a"
"73","Braf","Clec4d","Igf1r","Chst11","Lmnb1","Rnf149","Ifitm2"
"74","Lilr4b","Dusp2","Zeb2","Trem1","Tpm4","Jund","Ndel1"
"75","Pim1","Ets2","Junb","Ifrd1","Fam107b","Sorl1","Ddx5"
"76","Gab2","Chst11","Arih1","Ptafr","Notch2","Lcp1","Entpd1"
"77","Arih2","Arg2","Coro1a","Neat1","Taldo1","Taldo1","Hp"
"78","Pde4b","Fcer1g","Gls","Lilrb4a","Irg1","Mir142hg","Skap2"
"79","Btg2","Tnfrsf1b","Ptprj","Tnfaip2","Btg2","Dennd4a","Atf3"
"80","Mir142hg","Rab8b","Atp2b1","Marcks","Dusp1","Kpna4","Ccl6"
"81","Ralgapa1","Erbb2ip","H3f3b","Fcer1g","Gnai2","Irg1","Cd9"
"82","Elmo1","Cd44","Sorl1","Ddx5","Rhoa","Braf","Anxa2"
"83","Ctnnb1","Samsn1","Ankrd33b","Pik3ap1","Lsp1","Fgl2","Igf1r"
"84","Mctp1","Pfn1","Son","Zfp36","Hp","Osbpl9","Cmip"
"85","Kdm6b","Abtb2","Pde4b","Actr3","Rab7","Kdm6b","Marcks"
"86","Gm42418","Jund","Pbx1","Mapkapk2","Mgst1","Txn1","Pim1"
"87","Cyp4f18","B2m","Lyn","Plaur","Lyst","Atp2b1","Svil"
"88","Zcchc6","Ncf1","Basp1","Ehd1","Hdc","Osm","Arhgap15"
"89","Emilin2","Lcp1","Cd9","C5ar1","Myl6","Lilrb4a","Fgl2"
"90","Mcl1","Tpt1","Mrpl33","Rps9","Arpc5","Btbd9","Fam49b"
"91","Vmp1","Hcar2","Samsn1","Ier3","Ncf2","Tnfaip2","Pbx1"
"92","Chd2","Ier3","Tlr4","Ndel1","Il1r2","Mrpl33","Hmgb2"
"93","Ell2","Cd52","Nptn","B2m","Arhgdib","Etf1","Itgal"
"94","Ccr1","Nr4a1","Laptm5","Mir142hg","Trem1","Ctnnb1","Snap23"
"95","Ccnl1","Marcks","Dusp1","Vasp","Mcemp1","Ptgs2","Pglyrp1"
"96","Slc15a3","C5ar1","Osbpl8","Adgre5","Lcp1","Trib1","Klf6"
"97","Trps1","Zfp36","Tnfaip2","Jund","Picalm","Gab2","Fcgr3"
"98","Ago2","Ctsz","Csde1","Lst1","Pim1","Rab7","Adgre5"
"99","Myo1d","Rel","Spag9","Snap23","Map2k4","Fosl2","B2m"
"100","Lrrc8d","Hspa5","Crebbp","Taldo1","Slc7a11","Cd53","Gm42418"
