"","SC78_5_factor1","SC78_5_factor2","SC78_5_factor3","SC78_5_factor4","SC78_5_factor5","SC78_5_factor6"
"39","Slfn8","Ddx6","Ier3","Pfn1","Rps13","Smox"
"40","Isg20","Litaf","Nlrp3","Rac2","Spag9","Sik3"
"41","Ddx58","Tyrobp","Ptprj","Cyba","Fgl2","Litaf"
"42","Tmsb4x","Gcnt2","Pik3ap1","Atxn10","Gadd45b","Irg1"
"43","H2-T23","Hmgb2","Hdc","Hp","Rps23","H3f3a"
"44","Ifih1","Gpcpd1","Rab8b","Txn1","Rpl35a","Mcl1"
"45","Ftl1","Ubb","Dusp1","Ifitm3","Rpl18","Samsn1"
"46","Samd9l","Klf2","Ifitm2","Ccl6","Rpl17","Plek"
"47","Trafd1","Ifitm2","Spag9","Malat1","Mir142hg","Csf3r"
"48","Cebpb","Neat1","Nfkb1","H3f3a","Rpl21","Slc7a11"
"49","Ccrl2","Hp","Dusp16","Anxa2","Dennd4a","Ifitm2"
"50","Ascc3","Ifitm1","Il1rn","Tyrobp","Cdk2ap2","Cmip"
"51","Mxd1","Arg2","Eif1","Plaur","Xylt1","Emilin2"
"52","S100a9","Fau","Erbb2ip","Glrx","Rpl37a","Ndel1"
"53","Rnf213","Lmnb1","Dennd4a","Itm2b","Rps16","Tyrobp"
"54","H3f3b","Marcks","Clec4d","Myl6","Inpp5d","Msrb1"
"55","Tor1aip1","Skap2","B2m","mt-Cytb","Cebpb","Lilrb4a"
"56","Hdc","Plek","Btg1","Lcp1","Egr1","Trem1"
"57","G0s2","Iqgap1","Wfdc17","Ifitm2","Rpl13a","Sorl1"
"58","Oas2","Gm42418","Msrb1","Taldo1","Ankrd12","Rps9"
"59","Ly6e","H2-D1","Marcks","Vasp","Rpl30","Pim1"
"60","Igtp","Osbpl9","H3f3a","Arhgap15","Fth1","Ptprc"
"61","Nampt","Cmip","Csf3r","Pkm","Eif1","Neat1"
"62","Il1r2","Ube2h","Rps9","R3hdm4","Runx1","Fxyd5"
"63","Fcer1g","Grina","Ifitm1","Rplp0","Srgn","Pik3ap1"
"64","Pim1","Txn1","Arg2","Gpx1","Neat1","Picalm"
"65","Zc3hav1","Jund","Lcp1","Ly6g","Cst3","Ets2"
"66","Psmb8","Zfp36l2","H2-D1","Shfm1","B2m","Plaur"
"67","Chmp4b","Gda","Ets2","Msra","mt-Co2","Isg15"
"68","Btg1","Fam65b","Lmnb1","Serf2","Tyrobp","Ptprj"
"69","Plek","Fcer1g","Ptprc","Arpc5","Junb","Junb"
"70","Junb","Ddx5","Slc7a11","Asprv1","Tra2a","Ctnnb1"
"71","Eif1","Ssh2","Malt1","Rps9","Fcer1g","Arg2"
"72","Actb","Lyst","Sgms2","Gnai2","Rpl34","Lcp1"
"73","Zbp1","Fam49b","Tyrobp","Nedd9","Mbnl2","Tpt1"
"74","Usp18","Svil","H3f3b","Arpc1b","Rabac1","Hif1a"
"75","Sdcbp","Eif1","Sema4d","Mrgpra2b","Rps15","Grina"
"76","Kpna4","Arhgap26","Tnfaip2","Sh3bgrl3","1700112E06Rik","Gm42418"
"77","Actg1","Entpd1","Tpd52","Arpc2","Eif5","Btbd9"
"78","Mcl1","Ncf2","Btg2","Cotl1","Calm2","Ddx6"
"79","Tmbim6","Lyn","S100a11","Ftl1","Ifitm2","Ddx5"
"80","Cmpk2","March7","2810474O19Rik","Stfa2","H2-D1","H2-D1"
"81","Casp4","Phf21a","Fau","App","mt-Nd4","Nedd9"
"82","Ifitm1","Alox5ap","Ehd1","Cdc42","Dusp1","Rabgef1"
"83","Neat1","Taldo1","Fcer1g","Ostf1","Gm2a","Sh2d3c"
"84","Lmnb1","Il1rap","Samsn1","Srgn","Gm10076","Baz2b"
"85","Fgl2","Cers6","Litaf","Actr3","Cd44","Fau"
"86","Tnfaip2","Coro1a","Tpt1","Gda","Btg1","Ccr1"
"87","Sppl2a","Fxyd5","Antxr2","Cfl1","Rbm39","Cd53"
"88","Psmb9","Snap23","H2-K1","BC117090","Rps28","Osbpl9"
"89","Txn1","S100a6","Nr4a1","Fcer1g","Rbm3","Igf1r"
"90","Rab7","Osm","Tnfrsf1b","Hmgb2","Rpl11","Ctsd"
"91","Zfp36","H3f3b","Ncf1","Tkt","Serf2","Arpc3"
"92","Prdx5","Pim1","Lilrb4a","Mrpl33","Fam134b","Ankrd33b"
"93","Tap1","Lst1","Snap23","Eif1","Ubc","App"
"94","Grina","Akap13","C5ar1","Aldoa","Ccrl2","Lyn"
"95","Tyrobp","Stat3","Chst11","Arpc3","AF251705","Lilr4b"
"96","Tapbp","Tmcc1","Il1r2","Actn1","Rps27a","Ncf2"
"97","Ubb","Cd44","Hcar2","Msrb1","Il1b","S100a6"
"98","Ifitm2","Ndel1","Ddx5","Iqgap1","Gab2","Sdcbp"
"99","Msrb1","Lsp1","Gm42418","Gmfg","Gm42418","Sp140"
"100","Lilrb4a","Steap4","Ier5","Cd14","Dock2","Rab7"
