"","SC78_5_factor1","SC78_5_factor2","SC78_5_factor3","SC78_5_factor4","SC78_5_factor5","SC78_5_factor6"
"39","Slfn8","Ddx6","Ier3","Pfn1","Rps13","Smox"
"40","Isg20","Litaf","Nlrp3","Rac2","Spag9","Sik3"
"41","Ddx58","Tyrobp","Ptprj","Cyba","Fgl2","Litaf"
"42","Tmsb4x","Gcnt2","Pik3ap1","Atxn10","Gadd45b","Irg1"
"43","H2-T23","Hmgb2","Hdc","Hp","Rps23","H3f3a"
"44","Ifih1","Gpcpd1","Rab8b","Txn1","Rpl35a","Mcl1"
"45","Ftl1","Ubb","Dusp1","Ifitm3","Rpl18","Samsn1"
"46","Samd9l","Klf2","Ifitm2","Ccl6","Rpl17","Plek"
"47","Trafd1","Ifitm2","Spag9","Malat1","Mir142hg","Csf3r"
"48","Cebpb","Neat1","Nfkb1","H3f3a","Rpl21","Slc7a11"
"49","Ccrl2","Hp","Dusp16","Anxa2","Dennd4a","Ifitm2"
"50","Ascc3","Ifitm1","Il1rn","Tyrobp","Cdk2ap2","Cmip"
"51","Mxd1","Arg2","Eif1","Plaur","Xylt1","Emilin2"
"52","S100a9","Fau","Erbb2ip","Glrx","Rpl37a","Ndel1"
"53","Rnf213","Lmnb1","Dennd4a","Itm2b","Rps16","Tyrobp"
"54","H3f3b","Marcks","Clec4d","Myl6","Inpp5d","Msrb1"
"55","Tor1aip1","Skap2","B2m","mt-Cytb","Cebpb","Lilrb4a"
"56","Hdc","Plek","Btg1","Lcp1","Egr1","Trem1"
"57","G0s2","Iqgap1","Wfdc17","Ifitm2","Rpl13a","Sorl1"
"58","Oas2","Gm42418","Msrb1","Taldo1","Ankrd12","Rps9"
"59","Ly6e","H2-D1","Marcks","Vasp","Rpl30","Pim1"
"60","Igtp","Osbpl9","H3f3a","Arhgap15","Fth1","Ptprc"
"61","Nampt","Cmip","Csf3r","Pkm","Eif1","Neat1"
"62","Il1r2","Ube2h","Rps9","R3hdm4","Runx1","Fxyd5"
"63","Fcer1g","Grina","Ifitm1","Rplp0","Srgn","Pik3ap1"
"64","Pim1","Txn1","Arg2","Gpx1","Neat1","Picalm"
"65","Zc3hav1","Jund","Lcp1","Ly6g","Cst3","Ets2"
"66","Psmb8","Zfp36l2","H2-D1","Shfm1","B2m","Plaur"
"67","Chmp4b","Gda","Ets2","Msra","mt-Co2","Isg15"
"68","Btg1","Fam65b","Lmnb1","Serf2","Tyrobp","Ptprj"
"69","Plek","Fcer1g","Ptprc","Arpc5","Junb","Junb"
"70","Junb","Ddx5","Slc7a11","Asprv1","Tra2a","Ctnnb1"
"71","Eif1","Ssh2","Malt1","Rps9","Fcer1g","Arg2"
"72","Actb","Lyst","Sgms2","Gnai2","Rpl34","Lcp1"
"73","Zbp1","Fam49b","Tyrobp","Nedd9","Mbnl2","Tpt1"
"74","Usp18","Svil","H3f3b","Arpc1b","Rabac1","Hif1a"
"75","Sdcbp","Eif1","Sema4d","Mrgpra2b","Rps15","Grina"
"76","Kpna4","Arhgap26","Tnfaip2","Sh3bgrl3","1700112E06Rik","Gm42418"
"77","Actg1","Entpd1","Tpd52","Arpc2","Eif5","Btbd9"
"78","Mcl1","Ncf2","Btg2","Cotl1","Calm2","Ddx6"
"79","Tmbim6","Lyn","S100a11","Ftl1","Ifitm2","Ddx5"
"80","Cmpk2","March7","2810474O19Rik","Stfa2","H2-D1","H2-D1"
"81","Casp4","Phf21a","Fau","App","mt-Nd4","Nedd9"
"82","Ifitm1","Alox5ap","Ehd1","Cdc42","Dusp1","Rabgef1"
"83","Neat1","Taldo1","Fcer1g","Ostf1","Gm2a","Sh2d3c"
"84","Lmnb1","Il1rap","Samsn1","Srgn","Gm10076","Baz2b"
"85","Fgl2","Cers6","Litaf","Actr3","Cd44","Fau"
"86","Tnfaip2","Coro1a","Tpt1","Gda","Btg1","Ccr1"
"87","Sppl2a","Fxyd5","Antxr2","Cfl1","Rbm39","Cd53"
"88","Psmb9","Snap23","H2-K1","BC117090","Rps28","Osbpl9"
"89","Txn1","S100a6","Nr4a1","Fcer1g","Rbm3","Igf1r"
"90","Rab7","Osm","Tnfrsf1b","Hmgb2","Rpl11","Ctsd"
"91","Zfp36","H3f3b","Ncf1","Tkt","Serf2","Arpc3"
"92","Prdx5","Pim1","Lilrb4a","Mrpl33","Fam134b","Ankrd33b"
"93","Tap1","Lst1","Snap23","Eif1","Ubc","App"
"94","Grina","Akap13","C5ar1","Aldoa","Ccrl2","Lyn"
"95","Tyrobp","Stat3","Chst11","Arpc3","AF251705","Lilr4b"
"96","Tapbp","Tmcc1","Il1r2","Actn1","Rps27a","Ncf2"
"97","Ubb","Cd44","Hcar2","Msrb1","Il1b","S100a6"
"98","Ifitm2","Ndel1","Ddx5","Iqgap1","Gab2","Sdcbp"
"99","Msrb1","Lsp1","Gm42418","Gmfg","Gm42418","Sp140"
"100","Lilrb4a","Steap4","Ier5","Cd14","Dock2","Rab7"
"101","Gadd45b","Anxa1","Cd274","Mxd1","Hspa5","Fcer1g"
"102","2810474O19Rik","B2m","Ankrd33b","Fbxl5","Plek","Gab2"
"103","Cd300lf","Pag1","Trem1","Stfa2l1","Fnip1","Braf"
"104","Smox","Anxa2","Pnrc1","Cnn2","Cox4i1","Lyst"
"105","Sat1","Zyx","Cd44","Myl12b","H2-K1","Cyth1"
"106","Litaf","Trem1","Cd9","Psap","Ptprc","March7"
"107","Ets2","Emilin2","Traf3","H2-D1","D8Ertd738e","Ifitm1"
"108","Btg2","Celf2","Rel","Gpi1","Actb","Txn1"
"109","Lyn","Map3k5","Rabgef1","Pygl","Arih1","Suco"
"110","Cd53","Usp32","Entpd1","Dstn","Fus","Lamp2"
"111","H2-Q4","Pla2g7","Lst1","mt-Nd4","Laptm5","Btg2"
"112","Lamp2","Tspo","Abtb2","Clic1","Rpl26","mt-Co1"
"113","Usp25","Arhgap15","Txn1","Hpcal1","Cd300a","Slfn4"
"114","Gm42418","Xylt1","Slfn2","Uba52","Sik3","Fosl2"
"115","Lst1","Antxr2","Fgr","Rps24","Rps9","Tpm4"
"116","Clec2d","Selplg","Nfe2l2","Lsp1","Actg1","Por"
"117","Csf3r","Igf1r","Actr3","Timp2","Hsp90aa1","Il1rap"
"118","Cd52","Gm5150","Picalm","Grina","Rps3a1","Actr3"
"119","Ifit3b","Nup98","Neat1","Gm42418","Pfn1","Dennd4a"
"120","Spag9","Lilrb4a","Adam17","Fau","Msn","Jdp2"
"121","Clec4d","Cytip","Lrg1","Lbr","Pnrc1","Hectd1"
"122","9930111J21Rik2","Coq10b","Smox","Adam8","Ppp1r15a","Etf1"
"123","H3f3a","Cd84","Lcp2","Spi1","mt-Co1","Fem1c"
"124","Epsti1","Gadd45a","Casp4","Rpl37","Rps26","Gcnt2"
"125","Picalm","Chst11","Ppp1r15a","Ncf4","Ifrd1","Fam134b"
"126","Rnf114","Ccr1","H2-Q7","Glipr2","Alcam","Trib1"
"127","Cers6","Suco","Rap1b","Cap1","Rpl28","Vps4b"
"128","Dusp1","Fbxl5","Dusp2","Myh9","Ranbp2","Iqgap1"
"129","Xylt1","Nfkbiz","Pfn1","Atp6v1g1","Elmsan1","Adam8"
"130","Cxcl2","Socs3","Jund","Lrg1","Ddit3","Atp2b1"
"131","Ier3","Sat1","Hspa5","Mctp1","Tnfaip2","Mbnl2"
"132","Tspo","Irg1","Sorl1","Rps29","Ddx5","Mir142hg"
"133","Tpt1","Tpt1","Kpna4","Cxcl2","Ddx3x","Pnrc1"
"134","Irgm2","Map1lc3b","Iqgap1","Tpt1","Hnrnpf","Ccnl1"
"135","Trem1","App","Ddx3x","Eno1","Rps25","Ralgapa1"
"136","Marcks","Sell","Lpcat2","Osm","Klf6","Map2k4"
"137","Dtx3l","Ipcef1","N4bp1","Fam65b","Btg2","Mrpl33"
"138","Fxyd5","Etf1","Ninj1","Rps12","Stat3","Pag1"
"139","Gsap","G0s2","Bcl2l11","Calm1","Skap2","Gda"
"140","Ifi47","Ier5","Grina","Rpl34","Ctsb","Pde7b"
"141","Dclre1c","Klf6","Vasp","Gng5","Camk1d","Cyp4f18"
"142","Hcar2","Clec4d","Gsap","Oaz1","Ptk2b","Stk17b"
"143","Gabarap","Adgre5","Fndc3b","Ubb","Dhx40","B2m"
"144","Csrnp1","Slc16a3","Sod2","Rpl9","Pfdn5","2810474O19Rik"
"145","Tlr4","Cd52","Slc16a3","Itgb2","Mcl1","Slc15a3"
"146","Whsc1l1","Pfn1","Ccnl1","Gpsm3","Igfbp6","Fnip1"
"147","Irf2","Sdcbp","Cd52","Sri","Gng5","Mctp1"
"148","Ptgs2","Tspan13","Rab11fip1","Ube2d3","Per1","Selk"
"149","Ccr1","Rps27a","Rbpj","Rps10","Hdc","Cd300lf"
"150","Fau","Atg3","Ctsz","Hck","Fxyd5","Stx11"
"151","Pfn1","Mctp2","Ddx6","Rdh12","Litaf","Jund"
"152","Tmem140","Cd300lf","Lyn","Rhoa","Rsrp1","Tgoln1"
"153","Sik3","Syk","Emilin2","Cd9","Eef1a1","Gabarap"
"154","Ptprc","Zfand5","Hp","Zyx","Rps7","Plk3"
"155","Klf6","Rac2","Cmip","Pgd","Ctsz","Diaph1"
"156","Cd14","Pbx1","Rps27","Lyn","Pum2","Ptafr"
"157","Csf1","Rap1b","Fxyd5","Slfn4","Hspa8","Notch2"
"158","Cd44","Tgfbi","Ncf4","Hspa8","Atp6v0e","Dusp5"
"159","Stat2","Cdc42","Mapk6","Fpr2","Morf4l1","Coro1a"
"160","Samsn1","Tbc1d15","Fbxo11","1110008F13Rik","Kdm6b","Hp"
"161","S100a11","Samsn1","Dock2","Pnkp","Rpl24","Agpat9"
"162","Parp10","Gab2","Gabarap","Cers6","Msrb1","Snap23"
"163","Rnf149","Arih1","Csrnp1","Mbd2","Tiparp","Clec4e"
"164","Arg2","Rab8b","Ccl3","Eef1a1","Rps11","Arpc2"
"165","Basp1","Lamp2","Cdc42","Cebpb","Gabarap","Ddx3x"
"166","Tpd52","Arhgap24","Rac2","Ptprc","Hnrnpc","Ell2"
"167","Tra2a","Pglyrp1","Snx20","Cox4i1","Itga4","Kdm6b"
"168","Msn","Ets2","Adgre5","Actr2","Elmo1","Alox5ap"
"169","Fcgr4","Ccnd3","Lsp1","Kdm7a","H3f3a","Tlr4"
"170","Itm2b","Kdm7a","Ctnnb1","Pten","Gls","Sp100"
"171","Oas1a","Sh2d3c","Arih2","Chil1","March7","Ier3"
"172","Irf9","Sfxn5","Coq10b","Slc16a3","Calm1","Sepn1"
"173","Ier5","Fgr","Arpc3","Cxcr2","Fam49b","Taldo1"
"174","Trim12c","Cd9","Alox5ap","Rpl37a","Cox8a","Snx18"
"175","Tspan13","Atp6v1g1","Cyba","Lrrk2","Zfp36","Csf2rb"
"176","Gab2","Samhd1","Gpbp1","Snx18","mt-Nd2","Map1lc3b"
"177","Oasl2","Dock2","Igsf6","Fpr1","Btbd9","Kctd12"
"178","mt-Co3","Actr3","Rps16","Itgam","Rps15a","Ubb"
"179","Irak2","Braf","Arhgap26","Hacd4","Polr2a","Pla2g7"
"180","Ctsd","Spi1","Relb","Lilrb4a","Arpc1b","Arih2"
"181","Zeb2","Pde4b","Coro1a","Flna","Sntb2","Pfn1"
"182","Ddx5","Adipor1","Ccr1","Cyp4f18","Ankhd1","Lsp1"
"183","Nfkbia","Clk1","Slc15a3","Il1f9","Mapkapk2","Marcks"
"184","Fcgr3","Bcl6","Rab7","Capza1","Pip4k2a","Hmgb2"
"185","Ctsb","Ccnl1","Fas","Rab8b","Map1lc3b","Plin2"
"186","Helz2","Mtus1","Rps29","Vsir","Lncpint","Basp1"
"187","Fbxl5","Gnai2","Atp2b1","Slfn2","Eif5a","Sell"
"188","Ptafr","Hcar2","Icam1","Lyst","Cd52","mt-Co2"
"189","Gbp5","Notch2","Ell2","Mcl1","Celf2","Lrg1"
"190","Tnfrsf1a","Cdkn2d","Nadk","Gnb2","Tceb2","Zcchc6"
"191","Pkm","Mrpl33","Taldo1","Tmcc1","Cmip","Arhgap15"
"192","Tnfrsf1b","mt-Co1","Igf1r","Rap1b","Hectd1","Sat1"
"193","Pnrc1","Trps1","Gmfg","Hcst","Ccnl1","Dgat1"
"194","Tnrc6b","Ctsd","Snx18","Rps16","Uba52","Zyx"
"195","Clic4","Camk1d","Zfand3","Dhrs7","Csf3r","Rbms1"
"196","Ccnl1","Tra2a","Hmgb2","Vim","Ago2","Vps37b"
"197","Atp2b1","Csrnp1","Hck","Rpl35a","Sorl1","Ppp1r3b"
"198","Themis2","Fcgr3","Txnrd1","Lrrfip1","Rps24","Sntb2"
"199","Emilin2","Arpc3","mt-Atp6","Gabarap","Klf2","C5ar1"
"200","Trim30b","Gmfg","Ubb","Pilra","Ier2","mt-Co3"
"201","Il1rn","Atrnl1","Zc3h12a","Stk17b","Dusp5","Anxa11"
"202","Inpp5d","Gabarap","Cst3","Cd33","Ptbp3","Inpp5d"
"203","Cd9","Rbm39","Gpcpd1","Samhd1","1810058I24Rik","Smchd1"
"204","Vasp","Fgl2","Cfl1","A530064D06Rik","Cpeb2","Cap1"
"205","Fam134b","Cd53","Gpr132","Sat1","Cd244","Cd52"
"206","Ctss","Slfn4","Steap4","Sh3glb1","Uvrag","Ier5"
"207","Cdk2ap2","Serinc3","Osbpl9","Picalm","Atp6v0d1","Zeb2"
"208","Zcchc2","Klhl2","Syk","Sgms2","Lamp1","Vmp1"
"209","S100a8","Ankrd33b","Cdk2ap2","Atp11b","Ankrd44","Nudt4"
"210","Chst11","Mapkapk2","Susd6","Rps11","Srrm2","Rbm39"
"211","Xaf1","Egr1","Irak3","Fis1","Cd53","Arpc5"
"212","Mbnl2","Ddx3x","Skap2","Capzb","Rpl36","Cdk17"
"213","Rps9","Ltb","Sik3","Prok2","Zfand5","Tnfrsf1b"
"214","Trps1","Mmp9","Fosl2","Aldh2","Ets2","Gpcpd1"
"215","Peli1","Ncor1","Il1f9","H3f3b","Atox1","Dusp16"
"216","Ltb","Pkm","Tax1bp1","Arpc4","Rsrc2","Tiparp"
"217","Atf3","Ppp3ca","Irf1","Lilr4b","Jund","Rap1b"
"218","Slc15a3","Whsc1l1","Lyst","Ddx5","Etf1","Lst1"
"219","Cxcr2","Dmxl2","Nfkbid","Cd300lf","Gnb1","Mirt1"
"220","Ptk2b","Slc40a1","Asprv1","Upp1","mt-Nd1","Skap2"
"221","Fnip1","Ccrl2","Map1lc3b","Cd24a","Ccnd3","Serinc3"
"222","Lilr4b","Cd33","Pla2g7","Ctsd","Mirt1","Cdc42"
"223","Socs3","Slc7a11","S100a6","Rpl27a","Pdlim5","Slc11a1"
"224","Ncf4","Mbnl2","Oser1","Svil","Stag1","Rab20"
"225","Fos","Mir142hg","Msn","Esd","Ambra1","Bcl2l1"
"226","Prkce","Slpi","Etf1","Trem3","Gpx1","Samhd1"
"227","Il1rap","Mctp1","Rps27a","Atp5l","Sh3bgrl3","Arhgap26"
"228","Cst3","Itgal","Lilr4b","Trem1","Nr4a1","Hcar2"
"229","Sp140","Abtb2","Ndel1","4932438A13Rik","Erbb2ip","Tnfaip2"
"230","Ankrd33b","Ccl6","Trib1","Diaph1","Gnaq","Ptbp3"
"231","Shisa5","Cyba","Stfa2l1","Pbx1","Myl6","Cltc"
"232","mt-Co1","Fam134b","Fbxl5","Arg2","Cd47","Tspo"
"233","Steap4","Wfdc21","Trem3","Ifitm1","Slc38a1","Dock2"
"234","Snap23","Rsrc2","Bcl2a1b","Ptpn1","Etv6","Anxa2"
"235","Snx20","Smox","Fam65b","AB124611","Eef2","Rtp4"
"236","Stat3","Lilr4b","mt-Co3","Bst1","Ptpn6","Csrnp1"
"237","Arid5b","Tnfaip2","Cd300lf","Ncf2","Wipf1","Nfkbiz"
"238","Tdrd7","Baz2b","Baz1a","Pag1","Fos","Atp6v0d1"
"239","Lcp1","Arpc2","Nab1","Rpl28","Tbc1d15","H2-K1"
"240","Tgoln1","Cap1","Mrgpra2b","Azin1","Ssh2","Ube2d3"
"241","Slfn3","H2-K1","Chd2","Ldha","Rap1b","Il1rn"
"242","Marcksl1","Prr5l","Bcl3","Tpm3","Lmnb1","Myl6"
"243","Jund","Ptpn12","Tgoln1","Tarm1","Serinc3","Rac2"
"244","Ankfy1","Amica1","Nfkbie","Cpd","Rhoa","Adipor1"
"245","Lgals9","Gapdh","Zc3hav1","Tpm3-rs7","Psap","Rps27"
"246","Cmip","Prkcb","Ctsb","Hdc","Tsc22d3","Syk"
"247","Osbpl9","Rabgef1","Vps37b","Nadk","Bri3","Srsf5"
"248","Sell","Herc4","Cxcr4","Cox8a","Jak1","Gm5150"
"249","Fosl2","Cxcr4","Gm5150","Slc2a3","Tra2b","Rab8b"
"250","Cyba","Ifitm3","Mir142hg","H2afj","Srsf5","Nlrp3"
"251","Zcchc6","Msn","Suco","Mtus1","Cdc42","Wnk1"
"252","Rab20","Prr13","Rbms1","Ehd1","Arih2","Atp6v1g1"
"253","Susd6","Rab7","App","Tpm4","Cstb","Ubc"
"254","Clec4e","Hif1a","Ifnar2","Fam49b","Atp6v1f","Anxa1"
"255","mt-Co2","Themis2","Xylt1","Sell","Diaph2","Fndc3b"
"256","Nedd9","Ier2","Ubc","Junb","Picalm","Dopey2"
"257","Psme1","Ptgs2","Tlr2","Fgr","Tnrc6b","Klhl2"
"258","Upp1","Rlf","Cd300a","Ubl5","Rpl37","Chmp4b"
"259","Birc3","C5ar1","Gtdc1","Selplg","Dynll1","Gapdh"
"260","Etf1","Raf1","Tgif1","Cmip","Rbm25","Usp32"
"261","Ppp1r15a","Myl6","Nr4a3","Hipk1","Atp6v1a","Ube2b"
"262","Dusp5","Arpc1b","Baz2b","Hmgn2","Brk1","Ptp4a1"
"263","Etv6","Dusp16","Mrpl33","Clec4e","Ptgs2","Msra"
"264","Sp110","Kras","Spi1","Rps7","Gna13","Rps27a"
"265","Ube2d3","Hdac4","Themis2","Ndel1","Pitpna","Clk1"
"266","Csf2rb","Dazap2","Gcnt2","Fcgr3","Ctnnb1","Atg2a"
"267","Pik3ap1","Pygl","Neurl3","Lims1","Dnm2","Irak2"
"268","Ubc","Rps16","Chil1","Ppp1ca","Txn1","Pafah1b1"
"269","Gm4070","Fosl2","Ctsd","Litaf","Cd24a","Coq10b"
"270","Psme2","2810474O19Rik","Fgl2","Rps14","Itm2b","Fam107b"
"271","Cxcr4","Stfa2l1","Pglyrp1","Tln1","Eif4a1","Top1"
"272","AW011738","Rps27","Rbm39","Tmbim6","Cfl1","Tspan13"
"273","Egr1","Elmo1","Stk17b","Notch2","Chst11","Eif4a1"
"274","Cap1","Apbb1ip","Btbd9","Myo1f","Pbx1","Glrx"
"275","Abr","Isg15","Mirt1","Rps3a1","Slc38a2","Tax1bp1"
"276","Mapkapk2","Kctd12","mt-Co2","Ywhaz","Vamp8","Gmfg"
"277","Cd47","mt-Co3","Rab20","C5ar1","Gla","Cd84"
"278","Gbp3","Ubc","Il1rap","Limd2","Slc3a2","Egr1"
"279","Ifrd1","Sirpa","Sf3b1","Rps13","Cd84","Klra2"
"280","Atp6v1g1","Il13ra1","Clk1","Rap1gap2","Ppp3ca","Kras"
"281","Dennd4a","Emb","Prdx5","Ddx6","Btf3","Fmnl1"
"282","Rap1b","Ube2b","Cd53","Fmnl1","Trpm7","Wfdc21"
"283","Gm12185","Itm2b","Cdc42ep2","Anxa11","Igf1r","Myo1d"
"284","Tax1bp1","Hsp90aa1","Il10ra","Dhrs9","Atf7ip","Ifrd1"
"285","Gla","Jmjd1c","Anxa2","Ccnd3","Neurl3","Pkm"
"286","Sec24b","Txnip","Cap1","Prkcb","Dclre1c","Fbxl5"
"287","Ccl4","mt-Co2","Gnai2","Atp8b4","Chchd2","Themis2"
"288","Rab8b","Ypel3","Snx10","Cd44","Peli1","Arpc1b"
"289","Actr2","Pten","Arf4","Scand1","Gsk3b","Slc2a1"
"290","Map1lc3b","Rgs2","Pde7b","Arf5","Oaz1","Capza1"
"291","Plaur","Ube2d3","Tmbim6","Rpl7","Gm10073","Slc25a3"
"292","Skap2","Arpc5","Myl12b","Baz2b","Braf","Gtdc1"
"293","Pla2g7","Klf3","Jak1","Rps3","Ppp2ca","4932438A13Rik"
"294","Fem1c","Trim30a","Isg15","Tgfbi","Clta","Stat3"
"295","1600014C10Rik","Tbc1d14","Trps1","Fam107b","Kras","Tgfbi"
"296","Runx1","Ctnnb1","Sh2d3c","Ncor1","Cox6b1","Trps1"
"297","Lcp2","Il1f9","Slc2a6","Smpdl3a","Nudt4","Dazap2"
"298","Ifit1bl2","Pip5k1b","Anxa1","Atg3","Rab7","Fbxo11"
"299","H2-T24","St8sia4","Arpc2","Hcls1","Itsn2","Myh9"
"300","Ifi35","Susd6","Jdp2","Rnf144a","Rps6","Zfp36"
