"","SC78_6_factor1","SC78_6_factor2","SC78_6_factor3","SC78_6_factor4","SC78_6_factor5"
"84","Dusp1","Mcemp1","Igf1r","Mir142hg","Osbpl9"
"85","Osbpl9","Taldo1","Ctnnb1","Kpna4","Gda"
"86","Ccnl1","R3hdm4","Ccr1","Cd14","Pfn1"
"87","Btg2","Ostf1","Lyn","Gm2a","Gm5150"
"88","Ccr1","Arpc3","App","Ets2","Ncf2"
"89","2810474O19Rik","Ldha","Hif1a","Hspa5","Fam49b"
"90","Hdc","Sri","Cd52","Tnfaip2","Fxyd5"
"91","Gab2","Ngp","Ncf2","Wnk1","Selplg"
"92","Ctsb","Vasp","Samsn1","Inpp5d","Cxcl2"
"93","Grina","Serf2","Fau","Lmnb1","H3f3b"
"94","Gabarap","Fcer1g","Txn1","Chst11","Rac2"
"95","Fbxl5","Pygl","mt-Co3","Eef1a1","Cd84"
"96","Csf3r","Ubb","Tpm4","Srsf5","Osm"
"97","Lmnb1","Rpl7","Ddx6","Ubc","Lyn"
"98","Arg2","Gnai2","Baz2b","Rps27a","Stat3"
"99","Tpd52","Cdc42","Ets2","Rbm39","mt-Co3"
"100","Gm5483","Aldoa","Osbpl9","Rpl21","Fam65b"
