"","SC78_1_factor1","SC78_1_factor2","SC78_1_factor3","SC78_1_factor4","SC78_1_factor5"
"59","Gcnt2","Ptprc","Diaph2","Fth1","Dennd4a"
"60","Lsp1","Trem1","Fus","Lyst","Arg2"
"61","Plek","Rps9","Ankrd33b","App","Tnfaip2"
"62","Arg2","Tpt1","Hnrnpa2b1","Irg1","Ets2"
"63","Slc7a11","Fcer1g","Entpd1","Btg1","Sgms2"
"64","Xylt1","Arpc3","mt-Nd4","Rab8b","Ptprj"
"65","Fcer1g","Ncf2","Arid4a","Irak2","Ptafr"
"66","H3f3b","Emilin2","Clint1","Pbx1","Ehd1"
"67","Fam49b","Ddx5","Antxr2","Slc16a3","Entpd1"
"68","Arhgap15","Lst1","Btbd9","Rabgef1","Il1r2"
"69","Cd44","Samsn1","Crebbp","Osbpl9","Pik3ap1"
"70","Ccl6","Irg1","Mrpl33","Pim1","Ddx5"
"71","Fam65b","Taldo1","Jak1","Ets2","Samsn1"
"72","Anxa2","Lcp1","Lyz2","Kdm6b","Fxyd5"
"73","Ndel1","Rnf149","Pitpnc1","Cyth1","Slc7a11"
"74","Hp","Plk3","Irg1","Igf1r","Tnfaip3"
"75","Skap2","Ankrd33b","Zswim6","Pde4b","Ptprc"
"76","Zfp36l2","Sorl1","Pfn1","Actb","Mapkapk2"
"77","Cxcr2","Mir142hg","Plek","Btg2","Rps9"
"78","Cd9","Jund","Laptm5","Fam134b","Fcer1g"
"79","Ddx5","Btbd9","Hdc","Actr3","Chst11"
"80","Pbx1","Txn1","Serf2","Arg2","Tpd52"
"81","Entpd1","Isg15","Ppp3ca","Mcl1","Ier5"
"82","Ifitm2","Lilrb4a","Tmed2","Csf3r","Fau"
"83","Cmip","Kpna4","Mir142hg","Emilin2","Marcks"
"84","Igf1r","Dennd4a","Ube2d2a","Gab2","Zfp36"
"85","Atf3","Grina","Rtn3","Mir142hg","Slc16a3"
"86","Ccrl2","Rab7","H3f3b","Ell2","Ier3"
"87","Gm42418","Mrpl33","Kmt2c","Ctnnb1","Lst1"
"88","Ptgs2","Osbpl9","Itsn2","Gm42418","Trem1"
"89","Klf6","Trib1","Sp140","Lilr4b","C5ar1"
"90","Itm2b","Atp2b1","Gng5","Abtb2","B2m"
"91","Pglyrp1","Ctnnb1","Pafah1b1","Braf","Antxr2"
"92","Hmgb2","Tpm4","Rab2a","Ralgapa1","Jund"
"93","Fcgr3","Nedd9","Uvrag","Tmsb4x","Neat1"
"94","Marcks","Picalm","Rac2","Trib1","Dusp16"
"95","Svil","Osm","H2-D1","Elmo1","Rab8b"
"96","Pfn1","Etf1","Brd4","Tpm4","Actr3"
"97","Map3k5","Fosl2","Sept7","Arih2","Vasp"
"98","B2m","Braf","Cd9","Cyp4f18","Tnfrsf1b"
"99","Itgal","Pfn1","Apbb1ip","Ccnl1","Fgr"
"100","Pim1","Cd53","Ankrd44","Zcchc6","Lilrb4a"
"101","Antxr2","Sp140","Fau","Slc15a3","Tpt1"
"102","Lyn","Lyn","Xylt1","Fosl2","Plaur"
"103","Dock2","Kdm6b","Tyrobp","Ccr1","Bcl2a1b"
"104","Snap23","Tnfaip2","Ube2d3","Mctp1","Snap23"
"105","Cd84","Gcnt2","Rps27","Vmp1","Adgre5"
"106","Adgre5","Rabgef1","Atp2b1","Eif1","Mir142hg"
"107","Stat3","Cyp4f18","Rhoa","Lcp1","Abtb2"
"108","Samhd1","Gab2","Chd7","Mirt1","Pfn1"
"109","Grina","Gabarap","App","Nlrp3","Rel"
"110","Fgl2","Sdcbp","Camk1d","Rap1gap2","Txn1"
"111","Anxa1","Ptgs2","Eif5","Mapkapk2","Taldo1"
"112","Celf2","Vps37b","Rps27a","Chd2","Rap1b"
"113","Mbnl2","Cyth1","Srrm2","Cd53","Nr4a1"
"114","Sat1","Itm2b","Wdr26","Ptafr","Dusp2"
"115","Zyx","Baz2b","Cstb","Fbxo11","Ankrd33b"
"116","Osbpl9","Ell2","Nktr","Cd14","Ninj1"
"117","Cytip","Cd52","Cdk17","Sp140","Gabarap"
"118","Ddx6","March7","Ccnd3","Smox","Ncf1"
"119","Sh2d3c","Ccl6","Rps16","Ago2","2810474O19Rik"
"120","Rap1b","Lilr4b","Ssh2","2810474O19Rik","Cd52"
"121","Pla2g7","Coq10b","Baz2b","Usp32","Emilin2"
"122","Cxcr4","Alox5ap","Kmt2e","Fxyd5","Rabgef1"
"123","Mmp9","Lsp1","Lamp2","Tnfrsf1b","Ndel1"
"124","Rps27","Arpc2","Cyth1","Fam65b","Atp2b1"
"125","Samsn1","Arg2","Ago2","H2-D1","Hspa5"
"126","Tgfbi","Actr3","Tlr4","Anxa11","H2-K1"
"127","Etf1","Pnrc1","Hnrnpk","Ncf2","Lsp1"
"128","Rps27a","D8Ertd738e","Diaph1","Trps1","Ell2"
"129","Pag1","Adgre5","Arfgef1","Rab7","Pnrc1"
"130","Fyb","Ccnl1","Stag2","March7","Ccr1"
"131","Psap","Nudt4","Slfn2","S100a6","Fgl2"
"132","Apbb1ip","Pik3ap1","Cfl1","Osm","Erbb2ip"
"133","Gnai2","Egr1","Slc7a11","Myo1d","Nadk"
"134","Clec4d","Fem1c","Prkcb","Vps37b","Trib1"
"135","Spi1","Fam134b","Junb","Ddx3x","Slc15a3"
"136","Alox5ap","Rap1b","Lyn","Ddx6","Alox5ap"
"137","Trem1","Fgl2","Gapdh","Il1rap","Nfe2l2"
"138","Ltb","Iqgap1","Pik3ap1","Trem1","Cmip"
"139","Gadd45a","Hp","Slc16a3","Ccrl2","Arpc2"
"140","Fgr","Coro1a","Alcam","Rbms1","Sorl1"
"141","Ccr1","Pla2g7","Eif1","Ddx5","Hcar2"
"142","Rab8b","Arpc1b","Dock11","Snap23","Picalm"
"143","Gm5150","Arpc5","Abi1","Stx11","Nr4a3"
"144","Gmfg","Selk","Zeb2","Cers6","Ddx3x"
"145","Cap1","Csrnp1","Notch2","Camk1d","Ncf4"
"146","Nr4a1","Snap23","H3f3a","Zfand3","Iqgap1"
"147","March7","Anxa2","Irak2","Fbxl5","Xylt1"
"148","Cdc42","Myl6","Msra","Ifrd1","Lilr4b"
"149","Mctp1","Adam8","Igf1r","Bcl2l11","Ncf2"
"150","Tnfaip2","C5ar1","Lilrb4a","Notch2","Kpna4"
"151","Elmo1","Sepn1","Nedd9","Nup98","Grina"
"152","Sfxn5","Nlrp3","Cox8a","Inpp5d","Mrpl33"
"153","Pip5k1b","Por","Jdp2","Fem1c","Coro1a"
"154","Phf21a","Clec4e","Rpl37a","Cdk17","Cfl1"
"155","Ier5","Smox","Ddx5","Por","Coq10b"
"156","Usp32","Cap1","mt-Nd2","Gda","Btbd9"
"157","Lilrb4a","Myl12b","Jmjd1c","Fndc3b","Icam1"
"158","Hcar2","Ier3","Inpp5d","Il1rn","Cyba"
"159","Arpc2","B2m","Dgkd","Mbnl2","Arpc1b"
"160","Arpc1b","Tgm2","Sec61b","Lrrc8d","Pla2g7"
"161","Nfkbiz","Fos","Chd1","Snx18","Rac2"
"162","Arhgdib","Ptprj","Osbpl9","Rab20","Arpc3"
"163","Tbc1d15","Ddx6","Rps9","Clec4e","Cxcr4"
"164","Arhgap26","Nfkbiz","Ythdc1","Ppp1r3b","Itm2b"
"165","Ets2","Il1rn","Taok1","Sema4d","Ccl3"
"166","Il1rap","Tnfrsf1b","Basp1","Egr1","Sik3"
"167","Kras","Slc15a3","Ythdf3","Suco","Cap1"
"168","Gabarap","Ptafr","Csnk1a1","Sp100","Gmfg"
"169","Myo1f","Fmnl1","Shfm1","Wnk1","Spi1"
"170","Selplg","Ddx3x","Ppp1cb","Tnrc6b","Tgm2"
"171","Cyba","Tiparp","Myl12b","Fam107b","Slfn2"
"172","Emb","Retnlg","Msn","Tmcc1","Ctnnb1"
"173","Myl12b","Igf1r","Ptbp3","Etf1","Ccnl1"
"174","Mapkapk2","Inpp5d","Sorl1","Marcks","Isg15"
"175","Sell","Gnai2","Gpx1","mt-Atp6","Lyn"
"176","Atg3","Map1lc3b","Susd6","Dhrs9","Ppp1r15a"
"177","Fbxl5","Ier5","Pxk","Hif1a","Fosl2"
"178","Osm","Tlr4","Ppp1r12a","Plk3","Gpr132"
"179","Rps29","Kctd12","Arid4b","Map2k4","Myl12b"
"180","Gda","Gng5","Ptprc","mt-Co3","Sema4d"
"181","Gab2","Rps27","Ankrd12","Tlr4","Hp"
"182","Whsc1l1","Vmp1","Prex1","Dgat1","Ddx6"
"183","Ssh2","Hectd1","Zhx2","Gnaq","Nedd9"
"184","Map1lc3b","Zfp36","Ddx3x","Cd80","Gcnt2"
"185","Lyz2","Gm42418","Iqgap1","Stk17b","Cd300a"
"186","H2-K1","Rac2","Cul3","Iqgap1","Gnai2"
"187","Ipcef1","Mapkapk2","Smox","Tgoln1","Zc3h12a"
"188","Sik3","Cxcr4","Itpr2","Gtdc1","Cd53"
"189","Akap13","Dhrs9","Ubb","Sdcbp","Rab11fip1"
"190","Tsc22d3","Cdc42","Cdk13","Diaph1","Gm42418"
"191","Cd52","Stk17b","Ptpn1","Eml1","Rab20"
"192","Vav3","Jdp2","Rab21","Zswim6","Snx20"
"193","Prdx5","Srsf5","Msrb1","Stat3","Fem1c"
"194","Chst11","Zcchc6","Lcn2","Cd300lf","Rab7"
"195","Plaur","Ier2","Calm1","Basp1","Snx18"
"196","Trps1","Anxa11","Sub1","Aff4","Neurl3"
"197","Cd300lf","Slc11a1","Arpc3","Itgal","Hck"
"198","Ankrd33b","Cyba","Pbx1","Msra","Ier2"
"199","Serinc3","Zyx","Tpd52","Trem3","Smox"
"200","Ccnl1","Arih2","Rap1b","Pum2","Arih2"
