"","SC78_4_factor1","SC78_4_factor2","SC78_4_factor3","SC78_4_factor4","SC78_4_factor5","SC78_4_factor6","SC78_4_factor7"
"33","Ets2","Sik3","Rps10","Osm","H2-D1","Gcnt2","Il1rn"
"34","S100a8","Mxd1","Rpl27a","H2-D1","Cd14","Cxcr2","Plek"
"35","Hdc","Plek","Rps3a1","Mcemp1","Hdc","H2-D1","S100a8"
"36","Csf3r","Irg1","Rps3","Cd9","Clec4d","Lst1","Ftl1"
"37","Spag9","Pim1","Fth1","Hp","Pim1","Fam49b","Ehd1"
"38","Kpna4","Btbd9","Rpl34","Mxd1","Mir142hg","Fam65b","Tnfaip2"
"39","Tpd52","Lmnb1","Rpl26","Samsn1","Slc16a3","Skap2","Eif1"
"40","Btg1","Lyn","Rps23","Grina","Fxyd5","Ssh2","Hdc"
"41","H2-D1","Rnf149","Rps15","Rps9","Fau","Cebpb","Rab8b"
"42","Rnf149","Eif1","Kansl1","Il1r2","Alcam","Ubb","Ptprj"
"43","Cxcr4","Cd53","Rps14","Arpc3","Lst1","Mxd1","Btg1"
"44","Entpd1","Litaf","Fau","Txn1","Litaf","Entpd1","Dusp1"
"45","Wnk1","Lilrb4a","Rpl30","Pfn1","Isg15","H3f3a","H2-D1"
"46","Rabgef1","Slc16a3","Srgn","Mgst1","Junb","Ncf2","Ptafr"
"47","Ptgs2","Samsn1","Ftl1","Wfdc21","Mxd1","Plek","Spag9"
"48","Ddx5","H3f3b","Rps12","Fau","Tpd52","Tmcc1","Tyrobp"
"49","S100a11","Ftl1","Actg1","Itm2b","Lmnb1","Lyn","Clec4d"
"50","Tyrobp","Baz2b","Rpl18","Litaf","Kpna4","Lyst","Cd9"
"51","Dennd4a","Kpna4","Rps13","Anxa1","H3f3a","Mcl1","Dusp16"
"52","Cd9","Ptprc","Rps27","Btg1","Pfn1","Cmip","Pik3ap1"
"53","Sik3","Pik3ap1","G0s2","Lmnb1","Sik3","Jund","Marcks"
"54","Samsn1","Atp2b1","Rpl28","Lcp1","Ccr1","Cd44","Ptgs2"
"55","Irg1","Emilin2","Uqcrh","Dusp1","Fcer1g","Fau","Rel"
"56","Slc16a3","Junb","Eif1","Mctp1","Ndel1","Arg2","Csf3r"
"57","Clec4d","Sorl1","Rps11","Gda","Cmip","Taldo1","Vasp"
"58","Fau","Ankrd33b","Rps27a","H3f3b","S100a6","S100a6","Sgms2"
"59","Ptprc","Ndel1","Cfl1","Mmp9","Rps9","Celf2","Ptprc"
"60","Egr1","Smox","Nfkb1","Sgms2","Ets2","Hdc","Mcl1"
"61","Btg2","Tpd52","Rpl18a","Fxyd5","Atp2b1","Lcp1","Ifitm2"
"62","Mxd1","Ccr1","Rpl7","Mcl1","Trib1","Gpcpd1","Ets2"
"63","Chst11","Tyrobp","Rpl21","Cyba","Cd53","Rnf149","Erbb2ip"
"64","Pik3ap1","Gcnt2","Rps26","Fcer1g","Btg2","Tpd52","Ifrd1"
"65","Coq10b","Fxyd5","S100a9","Gapdh","Sorl1","Xylt1","Lmnb1"
"66","Ifrd1","H2-D1","Cebpb","Cd52","Csf3r","Litaf","Arg2"
"67","Mbnl2","Fam134b","Ssh2","Arhgdib","Sdcbp","Marcks","Ncf1"
"68","Suco","Ets2","Arhgap15","Tpt1","C5ar1","B2m","H3f3b"
"69","Fam134b","Csf3r","Rpl9","Rac2","Wnk1","Lsp1","Mapkapk2"
"70","Ptafr","Map2k4","Cst3","Clec4d","Fgl2","Lmnb1","Cd44"
"71","Antxr2","Snx18","Rps6","Arhgap15","Mcl1","Slc7a11","Nr4a1"
"72","Csrnp1","Cyth1","H3f3b","Irg1","Rnf149","Dock2","Msrb1"
"73","Rps9","Arg2","Btg1","Antxr2","Ptprc","Fxyd5","Samsn1"
"74","Ifitm2","Nfkbiz","Marcksl1","Mmp8","Fam134b","Eif1","Ccl3"
"75","Etf1","Picalm","Rpl11","Hmgb2","Rps27","Map3k5","Ier5"
"76","Rab7","March7","Runx1","Msra","Ddx5","Ccnd3","Fgr"
"77","Sorl1","Gab2","Fcer1g","Anxa2","Mrpl33","Pla2g7","B2m"
"78","Lst1","Ctnnb1","Rps28","Osbpl9","Ptafr","Zfp36l2","S100a11"
"79","Sdcbp","S100a11","Fam107b","Taldo1","Taldo1","Iqgap1","2810474O19Rik"
"80","Fxyd5","Lcp1","Pim1","Lyn","Sgms2","Coro1a","Zfp36"
"81","Vps37b","Ccnl1","Zeb2","Ndel1","Ncf2","Camk1d","Litaf"
"82","Pnrc1","Lilr4b","Atf7ip","Trem1","Picalm","Mctp1","Neat1"
"83","Emilin2","Slc15a3","H3f3a","Hdc","Neat1","Myo1f","Nadk"
"84","Slc7a11","Rab7","Il1b","Pim1","Gabarap","Ccl6","Chst11"
"85","Tnfaip2","Arhgap15","Uba52","Alox5ap","Lyn","Ppp3ca","Dennd4a"
"86","H3f3a","Tlr4","B2m","Plek","Ctnnb1","Hp","H3f3a"
"87","Sh2d3c","Ncf2","Ptprc","Rps27a","Arpc3","Gm42418","Slc7a11"
"88","B2m","Rabgef1","Nfkbiz","Entpd1","Arpc2","Adgre5","Trem1"
"89","Fgl2","Diaph1","H2-D1","Lsp1","Cd300lf","Phf21a","Ier3"
"90","Ctsd","Braf","Kdm6b","Cd44","Txn1","Cxcr4","Lcp1"
"91","Fnip1","Tpm4","mt-Nd4l","Arpc1b","Fem1c","Txn1","Abtb2"
"92","Arg2","Sp140","Rps2","Junb","Lilr4b","G0s2","Tnfrsf1b"
"93","Snap23","S100a6","Elmo1","mt-Co1","Plk3","Igf1r","Adgre5"
"94","Gm43661","Mcl1","Osbpl8","Gnai2","Dennd4a","Svil","Btg2"
"95","Isg15","Basp1","Junb","Pglyrp1","Sp140","Antxr2","Lilrb4a"
"96","Picalm","Adam8","Eef1b2","Prr13","Ccnl1","Ddx5","C5ar1"
"97","Gab2","Dennd4a","Msn","Adam8","Btbd9","Snap23","Ctsz"
"98","Braf","Ralgapa1","H2-K1","Ddx5","B2m","Ipcef1","Rps9"
"99","Osbpl9","Grina","Hnrnpf","Arpc2","Nudt4","Cd9","Cd274"
"100","Ubb","Mir142hg","Samsn1","Ubb","Ier3","Trem1","Ninj1"
"101","Trem1","Lyst","Rpl19","Sat1","Samsn1","Pag1","Actr3"
"102","Mapkapk2","Dock2","Tnfrsf1b","Ctsd","Lilrb4a","Pim1","Bcl2a1b"
"103","Jund","Btg2","Cd9","Lyst","Gab2","Pfn1","Plaur"
"104","Cmip","Actr3","Vti1a","Fbxl5","Tpm4","Cers6","Ddx5"
"105","Txn1","Mrpl33","Dennd4a","Cmip","Rab7","Akap13","Fcer1g"
"106","Lcp1","Sdcbp","Ncf2","Picalm","Antxr2","Cd52","Il1r2"
"107","Tpt1","Fosl2","Cdc42","Slc7a11","Trem1","Hmgb2","Malt1"
"108","Map1lc3b","Trem1","Ddx5","Gmfg","Emilin2","Ndel1","Nedd9"
"109","Ccr1","Ddx6","Sgms1","Ccr1","Cd52","Pglyrp1","Snap23"
"110","Fos","Pbx1","Rps9","Trib1","Hectd1","Selplg","Icam1"
"111","Ndel1","Stx11","Fxyd5","Arg2","Diaph1","Syk","Lst1"
"112","Ddx3x","Igf1r","Rac2","Serf2","Tlr4","Nfkbiz","Fxyd5"
"113","Ubc","H3f3a","Uvrag","Arpc5","Ctsd","Itgal","S100a6"
"114","Alcam","Msrb1","Atp2b1","Ets2","Itpkb","Elmo1","Zc3h12a"
"115","Sgms2","Ier3","Nfkbia","Cotl1","Egr1","Apbb1ip","Slfn2"
"116","Gadd45b","Il1rn","Alcam","Tpd52","Actr3","Samsn1","Rab11fip1"
"117","Inpp5d","Osbpl9","Tyrobp","Xylt1","Rpl9","Nedd9","Tpt1"
"118","Dusp5","Ppp1r3b","Prkcb","Ncf2","Cdk2ap2","Ltb","Hspa5"
"119","Kdm6b","Cdk17","S100a8","Ifitm2","Basp1","Retnlg","N4bp1"
"120","Fem1c","Trib1","Rpl36","Sik3","Rps29","Clec4d","Ankrd33b"
"121","Lyst","Por","Cox7c","Mir142hg","March7","Ccrl2","Rap1b"
"122","Gabarap","Cd300lf","Arpc2","Tpm4","Sp100","Cap1","Entpd1"
"123","Plaur","Osm","Oaz1","Cdc42","Slc7a11","Spi1","Sema4d"
"124","Serinc3","Myo1d","Btg2","Stfa2l1","Ier2","Gab2","Lyn"
"125","Rap1b","Rap1gap2","Plek","Alcam","Arhgap15","Usp32","H2-K1"
"126","Ccl3","Tgm2","Ptma","Pkm","Csf1","Ccr1","Gsap"
"127","Ctnnb1","Gm26740","Gab2","Ptprc","Myl6","Ifitm2","Fau"
"128","Ncf2","Ptgs2","Vasp","Klra2","Trem3","March7","Antxr2"
"129","Arhgap15","Plk3","Gnai2","Btg2","Sat1","Fcer1g","Snx18"
"130","Ccnl1","Ccl6","Gm10076","Sorl1","H2-K1","Ifi27l2a","Txn1"
"131","Tnfrsf1b","Slc22a15","Cxcl2","Actr3","Pla2g7","Rap1b","Tpd52"
"132","Lilrb4a","Eml1","Taok1","Mrpl33","Spi1","Fgl2","Lcp2"
"133","H2-K1","Etf1","Prrc2c","Lilr4b","Selk","Emb","Hck"
"134","Basp1","Mctp1","Rapgef6","Myl6","Cyba","Mrpl33","Lsp1"
"135","Ptk2b","Arpc3","Calm1","Ankrd33b","Smox","Sell","Ddx3x"
"136","Slc15a3","Fem1c","Asprv1","Baz2b","Lyst","H3f3b","Cmip"
"137","Plk3","Fbxo11","Rplp0","Ralgapa1","Iqgap1","Mmp9","Traf3"
"138","Tgoln1","Arpc2","Irg1","Cd14","Gpr35","Cytip","Dock2"
"139","Srsf5","Mirt1","Diaph2","Iqgap1","Vmp1","Fgr","Picalm"
"140","Irak2","Hectd1","Stat3","Snap23","Ehd1","Slfn2","Iqgap1"
"141","S100a6","Ell2","Rab11fip1","Cap1","Cst3","Rps27a","Emilin2"
"142","Fcer1g","Ptafr","Hdc","Lst1","Rap1gap2","Asap1","Ell2"
"143","Ptp4a1","Notch2","Sf3b1","Glrx","Serf2","Anxa2","Trem3"
"144","Alox5ap","Cyp4f18","Eif5","Dennd4a","Rap1b","Prkcb","Jund"
"145","Ppp1r15a","Zeb2","Ptprj","Ptprj","Nedd9","Alox5ap","Pfn1"
"146","Nudt4","Irak2","Sp100","Cfl1","Kdm6b","Klf6","Rbpj"
"147","Btbd9","Snap23","Rpl24","mt-Atp6","Cotl1","Il1rap","Nfe2l2"
"148","Gcnt2","2810474O19Rik","Stk17b","Rps29","Gcnt2","Tsc22d3","Neurl3"
"149","Atp6v0d1","Wnk1","Ptpre","Mrgpra2b","Tnfaip2","Mir142hg","Rabgef1"
"150","Ddit3","Suco","Rps15a","Zyx","Lsp1","Pten","Irak3"
"151","Csf1","Fcer1g","Cytip","Stk17b","Gm42418","Ptgs2","Skil"
"152","Ier5","Ptprj","Serf2","Rdh12","Jund","Ncor1","Bcl2l11"
"153","Stk17b","Jdp2","Lamp1","Cers6","Lcp1","Zyx","Pla2g7"
"154","Adam17","4932438A13Rik","Clta","Rpl37","Arpc5","Rassf3","Cd52"
"155","Per1","Kctd12","Btbd9","Spi1","Chmp4b","Chst11","Smox"
"156","Gm42418","Tiparp","Rpl6","Ube2b","Fosl2","Ier5","Sod2"
"157","Fndc3b","Nlrp3","Kpna4","Zfp36","Slc15a3","Fcgr3","Arhgap15"
"158","Rps27","Dusp16","Neat1","App","Rac2","Ptpre","Rab20"
"159","Acsl1","Inpp5d","Rac1","Anxa11","Arih2","Ptpn12","Kpna4"
"160","Stat3","Rbms1","Peli1","Selk","Cxcr4","Gm5150","Bcl3"
"161","Cd53","Il1rap","Dock2","Rap1b","Igf1r","Cyba","Ccnl1"
"162","Zfp36l2","Ddx5","Rpl37","Ncf4","Coro1a","Alcam","Jak2"
"163","Tra2a","Stk17b","Gm42418","Rab8b","Irg1","Slpi","Relb"
"164","Cdk2ap2","Rps9","Qk","Vasp","Myo1d","H2-K1","Ncf4"
"165","Sat1","Mbnl2","Rps25","Ddx6","Mapkapk2","Tpt1","Spi1"
"166","Sgpl1","1700112E06Rik","Dock8","Map1lc3b","Cyp4f18","Slc9a9","Rps27"
"167","Dock2","Anxa11","Ly6e","Gabarap","Cyth1","Polr2a","H2-Q7"
"168","Cst3","Slc11a1","Hmha1","Lilrb4a","Sepn1","Osbpl9","Zfand3"
"169","Pbx1","Iqgap1","Mxd1","Ostf1","Baz2b","Cd101","Gm42418"
"170","Tbc1d15","Arih2","Irak2","Pygl","Pnrc1","Arhgdib","Vmp1"
"171","Cd14","Eea1","Gpbp1","Shfm1","Eif4a1","Hmha1","Nr4a3"
"172","Trib1","Pde7b","Celf2","Sdcbp","Cap1","Slc40a1","Slc16a3"
"173","Ier3","Kdm6b","Whsc1l1","Rabgef1","Ppp1r2","Lilrb4a","Alox5ap"
"174","Nr4a1","Rap1b","Cd44","Fosl2","Alox5ap","Rab8b","Rac2"
"175","Elmo1","Tnfrsf1b","Gm8730","Dnaja1","Lamb3","Tnfaip2","Sorl1"
"176","Iqgap1","Myh9","Pfn1","Csf3r","Gm26740","Amica1","Jak1"
"177","Arfgef2","Ddx3x","Fbxo11","Myl12b","Mirt1","Psap","Tlr2"
"178","Gla","Agpat9","Ubb","Notch2","Fmnl1","Ddx3x","Hcar2"
"179","March7","Gda","Laptm5","Sp140","Smchd1","Hspa8","Taldo1"
"180","Fosl2","Msra","Msrb1","Pbx1","Inpp5d","Klf3","Mir142hg"
"181","Gpcpd1","Egr1","Mbnl2","4932438A13Rik","Ubb","Slfn4","Gpr132"
"182","Adgre5","Vmp1","AF251705","Emilin2","Etf1","Itm2b","Gpbp1"
"183","Rsrc2","Klra2","Tgm2","Fos","Itm2b","Atp2b1","Bcl2a1d"
"184","Ccl6","Sh2d3c","Fam49b","Aldoa","Pik3ap1","1700112E06Rik","Trib1"
"185","Coro1a","Dhrs9","Ccnl1","C5ar1","Rps27a","Pde4b","Snx20"
"186","Pfn1","Tpt1","Dusp1","Gm42418","Grina","Nr4a1","Ier2"
"187","Lamp2","Lst1","Apbb1ip","Gng5","Tnrc18","Sdcbp","Pnrc1"
"188","Por","Nudt4","Hnrnpc","Hcar2","Gmfg","Baz2b","Gcnt2"
"189","Arih2","B2m","Rpl13","Kpna4","Tnfrsf1b","Pygl","Ccr1"
"190","Lyn","Ptk2b","Pafah1b1","Clec4e","Irak2","Emilin2","Fgl2"
"191","Osm","Sell","Itgb2","Gadd45a","Dhrs9","Braf","Cyba"
"192","Tiparp","Ptbp3","Rps7","Etf1","Pbx1","Grina","Fbxo11"
"193","Nlrp3","Fam107b","Nr4a1","Jund","Laptm5","Zfp608","Casp4"
"194","Klf6","Ifitm2","Fcho2","Fmnl1","Gng5","Ube2h","Tgif1"
"195","Taldo1","Pag1","Fam32a","Suco","Braf","Jmjd1c","Nfkbie"
"196","Map3k5","Dgat1","Lyn","Gpsm3","Ppp1r3b","Ankrd44","Arpc2"
"197","Igf1r","Klhl2","Lyz2","Sema4d","D8Ertd738e","Cd300a","Cd53"
"198","Pdlim5","Fndc3b","Naca","Rab7","Cd80","Sat1","Etf1"
"199","Ifi27l2a","Taldo1","Dusp16","Rap1gap2","Arpc1b","Themis2","Cst3"
"200","Osgin1","Zcchc6","Gnb1","Cd53","Il1rn","Arpc2","Cd300a"
