"","SC78_4_factor1","SC78_4_factor2","SC78_4_factor3","SC78_4_factor4","SC78_4_factor5","SC78_4_factor6","SC78_4_factor7"
"33","Ets2","Sik3","Rps10","Osm","H2-D1","Gcnt2","Il1rn"
"34","S100a8","Mxd1","Rpl27a","H2-D1","Cd14","Cxcr2","Plek"
"35","Hdc","Plek","Rps3a1","Mcemp1","Hdc","H2-D1","S100a8"
"36","Csf3r","Irg1","Rps3","Cd9","Clec4d","Lst1","Ftl1"
"37","Spag9","Pim1","Fth1","Hp","Pim1","Fam49b","Ehd1"
"38","Kpna4","Btbd9","Rpl34","Mxd1","Mir142hg","Fam65b","Tnfaip2"
"39","Tpd52","Lmnb1","Rpl26","Samsn1","Slc16a3","Skap2","Eif1"
"40","Btg1","Lyn","Rps23","Grina","Fxyd5","Ssh2","Hdc"
"41","H2-D1","Rnf149","Rps15","Rps9","Fau","Cebpb","Rab8b"
"42","Rnf149","Eif1","Kansl1","Il1r2","Alcam","Ubb","Ptprj"
"43","Cxcr4","Cd53","Rps14","Arpc3","Lst1","Mxd1","Btg1"
"44","Entpd1","Litaf","Fau","Txn1","Litaf","Entpd1","Dusp1"
"45","Wnk1","Lilrb4a","Rpl30","Pfn1","Isg15","H3f3a","H2-D1"
"46","Rabgef1","Slc16a3","Srgn","Mgst1","Junb","Ncf2","Ptafr"
"47","Ptgs2","Samsn1","Ftl1","Wfdc21","Mxd1","Plek","Spag9"
"48","Ddx5","H3f3b","Rps12","Fau","Tpd52","Tmcc1","Tyrobp"
"49","S100a11","Ftl1","Actg1","Itm2b","Lmnb1","Lyn","Clec4d"
"50","Tyrobp","Baz2b","Rpl18","Litaf","Kpna4","Lyst","Cd9"
"51","Dennd4a","Kpna4","Rps13","Anxa1","H3f3a","Mcl1","Dusp16"
"52","Cd9","Ptprc","Rps27","Btg1","Pfn1","Cmip","Pik3ap1"
"53","Sik3","Pik3ap1","G0s2","Lmnb1","Sik3","Jund","Marcks"
"54","Samsn1","Atp2b1","Rpl28","Lcp1","Ccr1","Cd44","Ptgs2"
"55","Irg1","Emilin2","Uqcrh","Dusp1","Fcer1g","Fau","Rel"
"56","Slc16a3","Junb","Eif1","Mctp1","Ndel1","Arg2","Csf3r"
"57","Clec4d","Sorl1","Rps11","Gda","Cmip","Taldo1","Vasp"
"58","Fau","Ankrd33b","Rps27a","H3f3b","S100a6","S100a6","Sgms2"
"59","Ptprc","Ndel1","Cfl1","Mmp9","Rps9","Celf2","Ptprc"
"60","Egr1","Smox","Nfkb1","Sgms2","Ets2","Hdc","Mcl1"
"61","Btg2","Tpd52","Rpl18a","Fxyd5","Atp2b1","Lcp1","Ifitm2"
"62","Mxd1","Ccr1","Rpl7","Mcl1","Trib1","Gpcpd1","Ets2"
"63","Chst11","Tyrobp","Rpl21","Cyba","Cd53","Rnf149","Erbb2ip"
"64","Pik3ap1","Gcnt2","Rps26","Fcer1g","Btg2","Tpd52","Ifrd1"
"65","Coq10b","Fxyd5","S100a9","Gapdh","Sorl1","Xylt1","Lmnb1"
"66","Ifrd1","H2-D1","Cebpb","Cd52","Csf3r","Litaf","Arg2"
"67","Mbnl2","Fam134b","Ssh2","Arhgdib","Sdcbp","Marcks","Ncf1"
"68","Suco","Ets2","Arhgap15","Tpt1","C5ar1","B2m","H3f3b"
"69","Fam134b","Csf3r","Rpl9","Rac2","Wnk1","Lsp1","Mapkapk2"
"70","Ptafr","Map2k4","Cst3","Clec4d","Fgl2","Lmnb1","Cd44"
"71","Antxr2","Snx18","Rps6","Arhgap15","Mcl1","Slc7a11","Nr4a1"
"72","Csrnp1","Cyth1","H3f3b","Irg1","Rnf149","Dock2","Msrb1"
"73","Rps9","Arg2","Btg1","Antxr2","Ptprc","Fxyd5","Samsn1"
"74","Ifitm2","Nfkbiz","Marcksl1","Mmp8","Fam134b","Eif1","Ccl3"
"75","Etf1","Picalm","Rpl11","Hmgb2","Rps27","Map3k5","Ier5"
"76","Rab7","March7","Runx1","Msra","Ddx5","Ccnd3","Fgr"
"77","Sorl1","Gab2","Fcer1g","Anxa2","Mrpl33","Pla2g7","B2m"
"78","Lst1","Ctnnb1","Rps28","Osbpl9","Ptafr","Zfp36l2","S100a11"
"79","Sdcbp","S100a11","Fam107b","Taldo1","Taldo1","Iqgap1","2810474O19Rik"
"80","Fxyd5","Lcp1","Pim1","Lyn","Sgms2","Coro1a","Zfp36"
"81","Vps37b","Ccnl1","Zeb2","Ndel1","Ncf2","Camk1d","Litaf"
"82","Pnrc1","Lilr4b","Atf7ip","Trem1","Picalm","Mctp1","Neat1"
"83","Emilin2","Slc15a3","H3f3a","Hdc","Neat1","Myo1f","Nadk"
"84","Slc7a11","Rab7","Il1b","Pim1","Gabarap","Ccl6","Chst11"
"85","Tnfaip2","Arhgap15","Uba52","Alox5ap","Lyn","Ppp3ca","Dennd4a"
"86","H3f3a","Tlr4","B2m","Plek","Ctnnb1","Hp","H3f3a"
"87","Sh2d3c","Ncf2","Ptprc","Rps27a","Arpc3","Gm42418","Slc7a11"
"88","B2m","Rabgef1","Nfkbiz","Entpd1","Arpc2","Adgre5","Trem1"
"89","Fgl2","Diaph1","H2-D1","Lsp1","Cd300lf","Phf21a","Ier3"
"90","Ctsd","Braf","Kdm6b","Cd44","Txn1","Cxcr4","Lcp1"
"91","Fnip1","Tpm4","mt-Nd4l","Arpc1b","Fem1c","Txn1","Abtb2"
"92","Arg2","Sp140","Rps2","Junb","Lilr4b","G0s2","Tnfrsf1b"
"93","Snap23","S100a6","Elmo1","mt-Co1","Plk3","Igf1r","Adgre5"
"94","Gm43661","Mcl1","Osbpl8","Gnai2","Dennd4a","Svil","Btg2"
"95","Isg15","Basp1","Junb","Pglyrp1","Sp140","Antxr2","Lilrb4a"
"96","Picalm","Adam8","Eef1b2","Prr13","Ccnl1","Ddx5","C5ar1"
"97","Gab2","Dennd4a","Msn","Adam8","Btbd9","Snap23","Ctsz"
"98","Braf","Ralgapa1","H2-K1","Ddx5","B2m","Ipcef1","Rps9"
"99","Osbpl9","Grina","Hnrnpf","Arpc2","Nudt4","Cd9","Cd274"
"100","Ubb","Mir142hg","Samsn1","Ubb","Ier3","Trem1","Ninj1"
