"","SC78_6_factor1","SC78_6_factor2","SC78_6_factor3","SC78_6_factor4","SC78_6_factor5","SC78_6_factor6"
"33","Malat1","Mxd1","Tpd52","Lrg1","Hnrnpf","Upp1"
"34","H3f3a","Dusp1","Chst11","Tpd52","Actg1","P4hb"
"35","Cd52","Mapkapk2","Hdc","Btg1","Il1r2","Prdx5"
"36","Mgst1","Ifitm1","Mxd1","Tspo","Rpl30","Slc2a1"
"37","Arhgdib","Ifitm2","Mcl1","Mxd1","Eef1a1","Tiparp"
"38","mt-Atp6","Rnf149","Ftl1","Rnf149","Srgn","H2-D1"
"39","Hp","Spag9","Clec4d","Ptprc","Rpl13a","Emilin2"
"40","Rac2","Eif1","Il1r2","Lcp1","Serf2","Fau"
"41","Pfn1","Pde4b","Ndel1","Cxcr2","Rpl21","Zfp292"
"42","mt-Co3","Nlrp3","Tyrobp","Tyrobp","Rps27a","Junb"
"43","Rplp0","Irak2","Cd9","Alox5ap","Rpl10","Neat1"
"44","Eef1a1","Tnfaip3","Lmnb1","Litaf","Igfbp6","Cd9"
"45","Tpt1","2810474O19Rik","Cmip","Stk17b","Rpl41","Pnrc1"
"46","Cyba","Il1rn","Rnf149","Ddx6","Rps16","Bnip3"
"47","Arpc1b","H3f3b","Rps9","S100a6","Xylt1","Tra2a"
"48","Anxa2","Btg2","Picalm","Hdc","Rpl9","Sdcbp"
"49","mt-Co2","B2m","Msrb1","Ube2h","Ifrd1","Il1b"
"50","Ftl1","S100a8","Csf3r","Sorl1","Tyrobp","Egln3"
"51","Prr13","Tpt1","Sik3","Coro1a","Fcer1g","Gab2"
"52","Tkt","Btg1","H3f3b","Hmgb2","Rps21","Ccrl2"
"53","Rps9","Clec4d","Hp","Lsp1","Fth1","Ppp1r3b"
"54","Coro1a","Fcer1g","Lcp1","Gcnt2","Calm2","Plin2"
"55","Gpx1","Ets2","Tpt1","H2-D1","Btg1","Kpna4"
"56","Cebpb","Ptafr","Irg1","Anxa1","Btf3","Fxyd5"
"57","Lrg1","Tnfaip2","Plaur","Arg2","Rps11","H3f3a"
"58","Rps27a","Marcks","Fxyd5","Txn1","Fgl2","Lilrb4a"
"59","Cd14","Lmnb1","Emilin2","Grina","Msrb1","P4ha1"
"60","Asprv1","Arg2","Pim1","Jund","Junb","Btg1"
"61","Tyrobp","Trem1","Ddx5","Fau","Dusp1","Fcer1g"
"62","Myl6","Pik3ap1","Nedd9","Taldo1","Rpl19","Actg1"
"63","Sh3bgrl3","Dennd4a","Litaf","Gda","Gm2a","Litaf"
"64","Atxn10","Kdm6b","Grina","Iqgap1","H3f3a","Gm42418"
"65","Pkm","Il1r2","Dusp1","Gm42418","Rps9","Pim1"
"66","Gm5483","H3f3a","Arpc3","Socs3","Rpl37a","Npepps"
"67","Ifitm1","H2-K1","Fcer1g","Akap13","Cox8a","Mbnl2"
"68","Mmp9","Csf3r","Tspo","Pim1","Rpl38","Bsg"
"69","Aldh2","Neat1","Ptprc","Il1r2","Map1lc3b","Il1r2"
"70","Txn1","S100a11","H2-D1","Lyst","Inpp5d","Ctsd"
"71","Glrx","Tyrobp","Pfn1","Svil","Rplp1","B2m"
"72","Srgn","Dusp16","Sorl1","G0s2","Hist1h2bc","Fnip1"
"73","Vim","Nfkb1","Coro1a","Cd52","Il1b","Cd53"
"74","H2-D1","Litaf","Igf1r","Fcer1g","Ddx5","H2-K1"
"75","Ngp","Antxr2","Hif1a","Wfdc21","AF251705","Phf21a"
"76","Arpc2","Ptprj","Ctnnb1","Tpt1","Spag9","Suco"
"77","Vasp","Lilrb4a","Lyn","Gpcpd1","H2-D1","Ostf1"
"78","Cotl1","Casp4","Actr3","Neat1","Rpl11","Cstb"
"79","Eif1","Ubb","Gm42418","Lmnb1","Actb","Cd274"
"80","Itm2b","Ddx5","Neat1","Skap2","Rpl34","Samhd1"
"81","Taldo1","Pnrc1","Ncf2","Pla2g7","Atp6v0e","Osbpl9"
"82","Plaur","Gm42418","App","Marcks","Ifitm2","Smox"
"83","Mcemp1","Slc7a11","Plek","Steap4","Gadd45b","Clec4d"
"84","Msrb1","Cd9","Ccr1","Ncf2","Wnk1","Mxd1"
"85","R3hdm4","Samsn1","Cd52","Ddx5","Rplp2","Grina"
"86","Gm8730","C5ar1","Tpm4","Osm","Pfn1","Igf1r"
"87","Ostf1","Wfdc17","Lilrb4a","Osbpl9","Rps7","Alcam"
"88","Gpi1","Lrg1","Arg2","Gm5150","Fxyd5","Gabarap"
"89","Sri","Sgms2","mt-Co3","Fam49b","Rabac1","Ptgs2"
"90","Stfa3","Rps9","Lrg1","Selplg","Ppp1r15a","Ccr1"
"91","Arpc3","Sema4d","Ctsd","Pfn1","Zfp36l2","Jun"
"92","Fcer1g","Ehd1","Junb","Cd84","Rbm39","Stfa2l1"
"93","Uba52","Fau","Baz2b","Fxyd5","Rbm3","Ifitm1"
"94","Gnai2","Ptprc","Fau","Rac2","Dennd4a","Bcl2l1"
"95","Pygl","Pfn1","Txn1","Stat3","Pfdn5","Fbxl5"
"96","Dstn","Tpd52","Wfdc21","Arhgap15","Gm10076","Pgk1"
"97","Serf2","Hcar2","Ptprj","mt-Co3","Gabarap","Ctsb"
"98","Cdc42","Snap23","Clec4e","Pag1","Cox4i1","Fam134b"
"99","Ubb","H2-Q7","Ddx6","Lyn","Eif5a","Tpd52"
"100","Ldha","Ccl3","Samsn1","Map1lc3b","Mir142hg","Nampt"
"101","Lcp1","Ier5","Adam8","Fam65b","Runx1","Irg1"
"102","Arpc5","Slfn2","Alox5ap","Phf21a","Jund","Slfn4"
"103","Shfm1","Picalm","Snx18","Cers6","Rps2","Ankrd33b"
"104","Cd177","Cd44","Osbpl9","Tmcc1","Neat1","Gadd45b"
"105","Rpl7","Lcp1","mt-Co2","H3f3b","Btg2","Hmox1"
"106","Ctsd","Msrb1","Iqgap1","App","Eif4a1","Ccnl1"
"107","Rps29","Entpd1","mt-Atp6","Zyx","Csf1","Hk2"
"108","Aldoa","Sod2","Cyth1","Cmip","Srsf5","Ubc"
"109","Calm1","Rab8b","Lilr4b","mt-Co2","Kpna4","Rlf"
"110","Clic1","Ninj1","Ets2","Spi1","Dynll1","Gbp2b"
"111","Mrgpra2b","Txn1","Lyst","Pbx1","Ubc","Tyrobp"
"112","Rps11","Isg15","Jdp2","Fcgr3","Rps6","Msra"
"113","Upp1","Ccnl1","Jund","Pglyrp1","Gng5","Rab7"
"114","Actr3","Abtb2","Retnlg","Rps27a","Rpl24","Zfp36"
"115","Cfl1","Nfe2l2","Stfa2l1","Zfp36l2","Ppia","Tmem189"
"116","Cnn2","Lst1","Notch2","Ndel1","Mbnl2","Hsp90aa1"
"117","Ncf4","Erbb2ip","Stx11","Ifitm3","Cyba","Arid5b"
"118","Rps4x","Hspa5","Taldo1","Gadd45a","Arpc1b","Lgals3"
"119","mt-Cytb","Chst11","Gapdh","Ctsd","Cd44","Fcgr3"
"120","Cd9","Ppp1r15a","Gda","Snap23","Rpl13","Fnip2"
"121","Glipr2","Smox","Il1rap","Atg3","Rpl35a","Ap3s1"
"122","Oaz1","Gsap","Slc7a11","Sat1","Rsrp1","Klf6"
"123","Myl12b","Bcl2l11","Por","Trem1","Chchd2","Ifitm3"
"124","Mcl1","Ncf1","Lamp2","Arhgap26","H2-K1","Xylt1"
"125","Stx11","Tnfrsf1b","Lsp1","Retnlg","Cdc42","Irak2"
"126","Rps10","Gabarap","Arpc2","mt-Atp6","Hspa5","Sat1"
"127","Fau","Lcp2","Btg2","Ssh2","Ddit3","Cd14"
"128","Eno1","Cdk2ap2","Cdc42","Eif1","B2m","Tlr4"
"129","Pgd","Jund","Mrpl33","Lilrb4a","Chst11","Soat1"
"130","Grina","Ccr1","Sp140","Fbxl5","Rpl26","Ddx5"
"131","Esd","Grina","Ppp1r3b","Ier5","Rps15","Csf3r"
"132","Gmfg","Kpna4","Diaph1","Emilin2","Calm1","Wsb1"
"133","Hmgb2","Cdc42ep2","Pla2g7","Mtus1","D8Ertd738e","Ccl3"
"134","Il1b","Ankrd33b","C5ar1","Rab8b","Rps26","Lyst"
"135","Rpl19","Rap1b","Fosl2","Anxa2","Arpc3","Chmp4b"
"136","Cap1","Lpcat2","Slc2a1","Tgfbi","Arf1","Slc16a3"
"137","Rpl9","Nr4a1","Mcemp1","Arhgap24","Sub1","Samsn1"
"138","Slfn4","Klf2","Kpna4","Cdc42","Plek","Rbpj"
"139","Rps12","Adam17","Cd53","Ipcef1","Txn1","App"
"140","Pnkp","Ctsb","Agpat9","March7","Eif5","Wwp2"
"141","Rps16","Arpc3","Prdx5","Suco","Gab2","Cers6"
"142","Anxa11","Osbpl9","Rabgef1","Actr3","Cd52","Higd1a"
"143","Chil1","Csf1","Pik3ap1","Zfand5","1700112E06Rik","Egr1"
"144","Rps3","Fxyd5","Rac2","Usp32","Brk1","Sorl1"
"145","Mbd2","Rab20","Zyx","Gnai2","Fam134b","Csf1"
"146","Gnb2","Emilin2","Gabarap","Trps1","Alcam","Pfkl"
"147","1110008F13Rik","Skap2","March7","Syk","Rhoa","Hectd1"
"148","H3f3b","Slc16a3","Isg15","Stfa2l1","H2afj","Actb"
"149","Arpc4","Lilr4b","Anxa1","Arpc3","Ctsd","Elmo1"
"150","Timp2","Cd53","Gm5150","Gapdh","Cfl1","Tmbim6"
"151","Spi1","Rel","Sh2d3c","Cd300lf","Mcl1","Zeb2"
"152","Rpsa","Steap4","Clic1","Il1rap","Jdp2","Plek"
"153","Stfa2l1","Atp2b1","Ifitm3","Celf2","Bri3","Zfp36l2"
"154","Iqgap1","Ddx3x","Plin2","Arpc1b","Litaf","Polr2a"
"155","Atp6v1g1","Sik3","Map1lc3b","Ccnd3","Arpc2","Ifrd1"
"156","Mxd1","Lyn","Arpc5","Xylt1","Plin2","Cd300lf"
"157","Msra","Traf3","Cdk17","Cyba","Atox1","Rtp4"
"158","Cdkn2d","Ncf4","Anxa2","Hif1a","Oaz1","Lilr4b"
"159","Actn1","Cdc42","Map2k4","Mmp9","Vamp8","Ifitm2"
"160","Ube2d3","Ubc","Ccnl1","Kdm7a","Fus","Lamp2"
"161","Gng5","Adgre5","Myl6","Slc16a3","Cd84","Lmnb1"
"162","Rhoa","Rab11fip1","Klhl2","Irg1","Laptm5","Nfil3"
"163","Tpm3-rs7","Fgr","Cyp4f18","Entpd1","Ier2","Dusp1"
"164","Rpl37a","Mir142hg","Bcl2l1","Ltb","Sntb2","Spag9"
"165","Trem1","Ndel1","Rps27a","Lst1","Eef1b2","Parp14"
"166","Fbxl5","Oser1","Glrx","Gabarap","Cd300a","Arg2"
"167","Mrpl33","Rabgef1","Fam107b","Fgr","Morf4l1","Slfn2"
"168","AA467197","Snx20","Pkm","Lamp2","Tceb2","Slc3a2"
"169","Rps3a1","Plaur","Arpc1b","Prdx5","Pnrc1","Ptbp3"
"170","Gpsm3","Cd52","Hectd1","Zfp36l1","Lamp1","Gbe1"
"171","Slc16a3","Srsf5","Gcnt2","Ccr1","Selk","Gbp2"
"172","Rpl23","Hp","Suco","Plek","Naca","Alkbh5"
"173","Slfn2","Igsf6","Zcchc6","Cytip","Jun","Isg15"
"174","Rpl28","Relb","Arhgap15","Atrnl1","Hsp90aa1","Irf1"
"175","Rpl34","Malt1","Spi1","Pkm","Cnbp","Btg2"
"176","Hck","Prdx5","Fam134b","Sh2d3c","Ankrd12","S100a11"
"177","Arhgap15","mt-Co3","Sat1","Ier2","Sik3","Etf1"
"178","Sub1","Tmbim6","Cap1","Klf6","Rps25","Ankrd12"
"179","Rps13","Actr3","Pnrc1","Pde4b","Ncf4","Bhlhe40"
"180","Fcgr3","Cst3","Rhov","Ncf4","Ptprc","Nfkbia"
"181","Mettl9","Fgl2","Cfl1","Vim","Cytip","Hif1a"
"182","Mapk13","Vasp","Cd300lf","Gpx1","Atp6ap2","Diaph1"
"183","Hspa8","Cfl1","Etf1","Tra2a","Sh3bgrl3","Atp2b1"
"184","Gabarap","Trps1","Ube2d3","Cd44","Srsf7","Pik3ap1"
"185","Cd24a","Tra2a","Rab7","Hcar2","Rpl37","Pag1"
"186","Ccnd3","Cmip","Snap23","Igf1r","Atp5l","Atp6v1a"
"187","Cd47","Csrnp1","Stk17b","Sell","Dnaja1","Ets2"
"188","Adpgk","Sorl1","Myh9","Rap1b","Nudt4","Bnip3l"
"189","Fpr1","Neurl3","Rap1b","Nfkbiz","Pim1","Ascc3"
"190","Sat1","N4bp1","Dusp16","Prr13","Rap1b","Rps27"
"191","Gyg","Fosl2","Selk","Mbnl2","Lmnb1","Sik3"
"192","Samhd1","Rps29","Ier3","Chst11","H2afz","Ctsz"
"193","Plac8","Fbxo11","Hmgb2","Sdcbp","Slc25a3","Txn1"
"194","Ddx5","Samhd1","Gm5483","Atp6v1g1","Etf1","Rsrp1"
"195","Hdc","Rhoa","Gnai2","Ypel3","Syf2","Kdm3a"
"196","Rps7","Calm1","Selplg","B2m","Ube2b","Calm2"
"197","Rap1b","Fbxl5","Btbd9","Gmfg","Itm2b","Zfand3"
"198","mt-Nd4","Slc15a3","Sdcbp","Adgre5","Uba52","1700112E06Rik"
"199","Cxcl2","Rab7","Skap2","Tspan13","Cstb","Msrb1"
"200","Itgam","Arpc1b","Lrrfip1","Mcemp1","Ssu72","Stat3"
