"","SC78_1_factor1","SC78_1_factor2","SC78_1_factor3","SC78_1_factor4","SC78_1_factor5","SC78_1_factor6"
"29","G0s2","Sik3","Ncf2","Cd9","Birc3","Spag9"
"30","Hdc","H3f3b","Fau","Rnf149","Btg1","Cxcl2"
"31","S100a11","Msrb1","Retnlg","Cxcl2","Nlrp3","H2-D1"
"32","Litaf","Cd14","Btg2","Dusp16","Clec4e","Clec4d"
"33","Dock2","Slc16a3","Rps9","Sik3","Mxd1","Litaf"
"34","Plek","Btbd9","Lcp1","Arhgap15","Kdm6b","Fxyd5"
"35","Cxcl2","Dusp1","Neat1","Mxd1","Tyrobp","Antxr2"
"36","Mir142hg","Fxyd5","S100a6","Ptprc","Ifitm2","Pim1"
"37","Irak2","Chst11","Ubb","Ankrd33b","Ifrd1","Mxd1"
"38","Cmip","Ndel1","Lyst","Btbd9","Pde4b","H3f3a"
"39","Clec4e","Tpt1","H2-D1","Actg1","Rnf149","Tpd52"
"40","Spag9","Plek","Stk17b","Dusp1","S100a11","Sgms2"
"41","Cdk2ap2","H3f3a","Btg1","Lmnb1","Irak2","Ifitm2"
"42","Kmt2e","Cmip","Litaf","Pik3ap1","Msrb1","Chst11"
"43","Ankrd33b","Lmnb1","Eif1","Litaf","H2-D1","Csf3r"
"44","Entpd1","H2-D1","Taldo1","Nfkbiz","Hdc","Lmnb1"
"45","Ccnd3","Junb","Hdc","Lyn","Mcl1","Cd14"
"46","S100a6","Fau","Sorl1","Samsn1","Ptgs2","Xylt1"
"47","H2-D1","Clec4d","Gpcpd1","Ptgs2","Tnfaip3","Ets2"
"48","Mrpl33","Arpc3","G0s2","Junb","Spag9","Slc7a11"
"49","H3f3b","Mcl1","H3f3a","Sorl1","H3f3b","Btg2"
"50","Ankrd44","Hdc","Jund","Picalm","Csf3r","Plaur"
"51","Tpt1","Litaf","Fxyd5","Kpna4","Clec4d","Ndel1"
"52","Runx1","Ifitm2","Rnf149","Dock2","Cd44","Ptprc"
"53","Elmo1","Mxd1","Tpd52","Irg1","Ehd1","Fau"
"54","Lamp2","Fcer1g","Lmnb1","Ptprj","H3f3a","Neat1"
"55","Lilrb4a","Nedd9","Gcnt2","Irak2","Ptprj","Mcl1"
"56","Srrm2","Pim1","Tmcc1","Gcnt2","Cd9","Lst1"
"57","Antxr2","Neat1","Txn1","Fth1","Tnfaip2","Trem1"
"58","Rps16","Btg2","Arg2","Rab8b","Dennd4a","Irg1"
"59","Tyrobp","Pfn1","Slc7a11","Ndel1","Arg2","Rps9"
"60","Junb","Ccr1","Coro1a","Baz2b","Btg2","Ccr1"
"61","Cd9","Tpm4","Lsp1","Lyst","Pik3ap1","Samsn1"
"62","Slc7a11","Ankrd33b","Plek","Pde7b","Ptafr","Rnf149"
"63","Iqgap1","Rab7","Iqgap1","Rabgef1","Lcp1","Cmip"
"64","Tlr4","Sp140","Xylt1","Pim1","Litaf","Fcer1g"
"65","Atp2b1","Baz2b","Fam65b","Pbx1","Lmnb1","Alcam"
"66","Tpd52","Mir142hg","Atf3","Plaur","Ets2","Lcp1"
"67","Rplp1","Rps9","H3f3b","Btg1","Mapkapk2","Ddx5"
"68","Rasa3","Ncf2","Fcer1g","Osbpl9","S100a6","Ncf2"
"69","Coro1a","Emilin2","Cd44","Slc16a3","Marcks","Ptgs2"
"70","Ptprj","Arpc2","Hp","Ets2","Ddx5","Emilin2"
"71","Serf2","Ccl6","Cxcr2","App","Sgms2","Taldo1"
"72","Son","Slc7a11","Skap2","Kdm6b","Samsn1","Dennd4a"
"73","Ptprc","Retnlg","Ccrl2","Pde4b","Ier5","Sorl1"
"74","Fam49b","Ets2","Entpd1","Igf1r","Rel","Jund"
"75","Camk1d","Ptprc","Ddx5","Fam134b","Ptprc","Ankrd33b"
"76","Il1r2","Cyth1","Anxa2","Cyth1","C5ar1","Sik3"
"77","Ddx5","Mrpl33","Ndel1","Lilr4b","Slc7a11","Kdm6b"
"78","Samsn1","Arhgap15","Zfp36l2","Btg2","Dusp16","Tpt1"
"79","Basp1","Lyn","Arhgap15","Mcl1","Rps9","Isg15"
"80","Irg1","Trem1","Ifitm2","Arih2","Ier3","Plk3"
"81","Pde4b","Txn1","Fam49b","Arg2","Fcer1g","Lilrb4a"
"82","Fau","Sorl1","Cd9","Csf3r","Fxyd5","Mir142hg"
"83","App","Ddx5","Igf1r","Emilin2","Rab8b","Kpna4"
"84","H3f3a","Tpd52","Ccl6","Gab2","B2m","Arpc3"
"85","Rps9","Cdc42","Ptgs2","Actb","Chst11","Osbpl9"
"86","Zeb2","Trib1","Cmip","Mir142hg","Fgr","Grina"
"87","Dusp1","Csf3r","Pbx1","Abtb2","Entpd1","Txn1"
"88","Gng5","Lcp1","Svil","Mapkapk2","Il1r2","Ctnnb1"
"89","Ddx3x","Taldo1","Marcks","Nlrp3","Zfp36","Osm"
"90","Zfand3","Picalm","Klf6","Braf","Bcl2a1b","Braf"
"91","Pcbp2","Coro1a","Gm42418","Actr3","Fau","Fos"
"92","Eif1","Hectd1","Pim1","Ell2","Lst1","Atp2b1"
"93","Slc16a3","Samsn1","Fcgr3","Zcchc6","Tpd52","Tnfaip2"
"94","Sp100","Lilrb4a","Hmgb2","Elmo1","Vasp","Fgl2"
"95","Rps27a","Cyp4f18","Pglyrp1","Gm42418","Dusp2","Zfp36"
"96","Msra","Map2k4","Itgal","Ralgapa1","Trem1","Arg2"
"97","Lyn","Grina","B2m","Ctnnb1","Jund","Clec4e"
"98","Msrb1","Jund","Snap23","Tnfrsf1b","Abtb2","Trib1"
"99","Cyth1","Irg1","Osbpl9","Ccnl1","Neat1","Picalm"
"100","Sorl1","Itm2b","Map3k5","Ifrd1","Tnfrsf1b","Fosl2"
